ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName
257,Tuyuca,NA,0.39441,-70.0435,tuyu1244,tue,tuca1253,Tucanoan
258,Aguaruna,NA,-5.30044,-77.9218,agua1253,agr,jiva1245,Chicham
260,Yagua,NA,-3.42913,-72.2186,yagu1244,yad,peba1241,Peba-Yagua
266,Wapishana,NA,2.58744,-59.8021,wapi1253,wap,araw1281,Arawakan
267,Waurá,NA,-13.296,-53.6971,waur1244,wau,araw1281,Arawakan
278,Catuquina,NA,-7.97456,-71.5615,pano1254,knt,pano1259,Pano-Tacanan
285,Movima,NA,-13.8115,-65.6348,movi1243,mzp,movi1243,Movima
288,Aché,NA,-25.5865,-56.4697,ache1246,guq,tupi1275,Tupian
289,Chiriguano,NA,-21.0909,-61.7179,east2555,gui,tupi1275,Tupian
290,Guaraní,NA,-25.6055,-57.0882,para1311,gug,tupi1275,Tupian
292,Wayampi,NA,1.73817,-52.6887,waya1270,oym,tupi1275,Tupian
297,Ayoreo,NA,-19.2201,-60.2175,ayor1240,ayo,zamu1243,Zamucoan
298,Sanapaná (Angaité dialect),NA,NA,NA,anga1316,sap,leng1261,Lengua-Mascoy
299,Sanapaná (Enlhet dialect),NA,-22.1145,-58.907,sana1281,sap,book1242,Bookkeeping
300,Lengua,NA,-22.6559,-58.9053,leng1262,leg,leng1261,Lengua-Mascoy
301,Mocoví,NA,-28.097,-60.4145,moco1246,moc,guai1249,Guaicuruan
302,Pilagá,NA,-25.0058,-60.1537,pila1245,plg,guai1249,Guaicuruan
304,Chorote,NA,-22.1896,-63.2383,iyoj1235,crt,mata1289,Matacoan
306,Wichí,NA,-23.1633,-62.1757,wich1264,mzh,mata1289,Matacoan
307,Nivaclé,NA,-22.8557,-61.7606,niva1238,cag,mata1289,Matacoan
309,Mapudungun,NA,-38.7392,-71.277,mapu1245,arn,arau1255,Araucanian
311,Selknam,NA,-54,-68.5,onaa1245,ona,chon1288,Chonan
314,Toba,NA,-24.4025,-60.4473,toba1269,tob,guai1249,Guaicuruan
316,Andi (Muni dialect),NA,42.75,46.25,muni1255,ani,nakh1245,Nakh-Daghestanian
317,Chechen (Akkin dialect),NA,43.5,45.5,chec1245,che,nakh1245,Nakh-Daghestanian
318,Uncunwee,NA,11.6432,29.8122,ghul1238,ghl,nubi1251,Nubian
401,Central Thai,NA,14.192,100.671,thai1261,tha,taik1256,Tai-Kadai
402,Southern Tai (Songkhla variety),NA,6.85668,99.7031,sout2746,sou,taik1256,Tai-Kadai
403,Thai (Korat variety),NA,6.85668,99.7031,sout2746,sou,taik1256,Tai-Kadai
404,Khamuang (Chiang Mai variety),NA,18.8575,100.207,nort2740,nod,taik1256,Tai-Kadai
409,Shan,NA,21.5995,98.0342,shan1277,shn,taik1256,Tai-Kadai
415,Sui,NA,24.0488,106.563,suii1243,swi,taik1256,Tai-Kadai
500,Aghul (Koshan dialect),NA,41.75,47.6666666667,kosh1245,agx,nakh1245,Nakh-Daghestanian
501,Botlikh (Miarso dialect),NA,42.7658,46.1944,botl1242,bph,nakh1245,Nakh-Daghestanian
503,Dargwa (Chirag dialect),NA,42.25,47.4166666667,chir1284,dar,nakh1245,Nakh-Daghestanian
504,Dargwa (Gapshima Shukti dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
505,Dargwa (Gapshima dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
506,Dargwa (Gubden dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
507,Dargwa (Kadar dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
508,Dargwa (Megeb dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
509,Dargwa (Mekegi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
510,Dargwa (Mugi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
512,"Dargwa (Tsudakhar dialect, Tanty subdialect)",NA,42.25,47.4166666667,cuda1238,dar,nakh1245,Nakh-Daghestanian
513,Dargwa (Tsudakhar dialect),NA,42.25,47.4166666667,cuda1238,dar,nakh1245,Nakh-Daghestanian
514,Dargwa (Urakhi dialect),NA,42.25,47.4166666667,urax1238,dar,nakh1245,Nakh-Daghestanian
515,Dargwa (Usisha dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh-Daghestanian
516,Ingush,NA,42.9525,44.158,ingu1240,inh,nakh1245,Nakh-Daghestanian
517,Bezhta (Khasharkhota dialect),NA,42.0833333333,46.1666666667,khoc1238,kap,nakh1245,Nakh-Daghestanian
