Form,englishPOS,Pron.ID,Freq,Lemma.ID,Number.Of.Pronunciations,Status.Of.Pronunciation,phon,Syllable.Structure,CELEX.Syllables,Number.Of.Syllables,SUBTFreq,language
days,noun,21832,4714,11245,1,P,d1z,[CVVC],[deIz],1,305.73,English
food,noun,34082,4552,17387,1,P,fud,[CVVC],[fu:d],1,154.43,English
street,noun,86510,4546,44928,1,P,strit,[CCCVVC],[stri:t],1,148.18,English
air,noun,1552,4496,874,1,P,8R,[VVC],[E@r*],1,139.02,English
office,noun,59122,4460,31004,1,P,Q-fIs,[V][CVC],[O][fIs],2,203.9,English
age,noun,1359,4437,767,1,P,1_,[VVC],[eIdZ],1,79.2,English
parents,noun,61771,4413,32421,2,P,p8-r@nts,[CVV][CVCCC],[pE@][r@nts],2,140.73,English
bed,noun,6212,4376,3469,1,P,bEd,[CVC],[bEd],1,187.12,English
job,noun,47016,4372,24418,1,P,_Qb,[CVC],[dZOb],1,413,English
seems,verb,78395,4342,40866,1,P,simz,[CVVCC],[si:mz],1,167.55,English
trying,verb,93575,4318,48531,1,P,tr2-IN,[CCVV][VC],[traI][IN],2,448.02,English
business,noun,11084,4234,5772,2,P,bIz-nIs,[CVC][CVC],[bIz][nIs],2,321,English
voice,noun,96815,4159,50465,1,P,v4s,[CVVC],[vOIs],1,86.16,English
feet,noun,31962,4104,17410,1,P,fit,[CVVC],[fi:t],1,120.73,English
person,noun,63404,4090,33321,1,P,p3-sH,[CVV][CS],"[p3:][sn,]",2,212.88,English
months,noun,55718,4052,29012,1,P,mVnTs,[CVCCC],[mVnTs],1,163.02,English
reason,noun,71442,4048,37496,1,P,ri-zH,[CVV][CS],"[ri:][zn,]",2,193.29,English
death,noun,21956,4008,11313,1,P,dET,[CVC],[dET],1,216.69,English
head,noun,40528,4005,20654,1,P,hEd,[CVC],[hEd],1,371.51,English
pounds,noun,66594,3922,34987,1,P,p6ndz,[CVVCCC],[paUndz],1,31.27,English
hours,noun,42467,3881,21719,1,P,6-@z,[VV][VC],[aU][@z],2,214.88,English
class,noun,14986,3793,7740,1,P,kl#s,[CCVVC],[klA:s],1,117.35,English
road,noun,74823,3791,39070,1,P,r5d,[CVVC],[r@Ud],1,111.94,English
wife,noun,99030,3777,51627,1,P,w2f,[CVVC],[waIf],1,348.92,English
line,noun,50423,3764,26160,1,P,l2n,[CVVC],[laIn],1,206.18,English
minutes,noun,54788,3752,28540,1,P,mI-nIts,[CV][CVCC],[mI][nIts],2,273.02,English
boy,noun,9288,3720,4958,1,P,b4,[CVV],[bOI],1,529.82,English
members,noun,53769,3700,27960,1,P,mEm-b@z,[CVC][CVC],[mEm][b@z],2,24,English
police,noun,65721,3694,34532,2,P,p@-lis,[CV][CVVC],[p@][li:s],2,236.16,English
coming,verb,16614,3645,8483,1,P,kV-mIN,[CV][CVC],[kV][mIN],2,527.02,English
table,noun,88808,3645,46090,1,P,t1-bP,[CVV][CS],"[teI][bl,]",2,105.63,English
may,verb,53421,3633,27764,2,P,m1,[CVV],[meI],1,511.37,English
area,noun,3427,3603,1973,1,P,8-r7,[VV][CVV],[E@][rI@],2,74.92,English
students,noun,86840,3587,45073,1,P,stju-dHts,[CCCVV][CSCC],"[stju:][dn,ts]",2,30.67,English
hundred,noun,42795,3568,21913,2,P,hVn-dr@d,[CVC][CCVC],[hVn][dr@d],2,78.73,English
should,verb,80148,3552,41818,4,P,SUd,[CVC],[SUd],1,1061.94,English
city,noun,14799,3548,7643,1,P,sI-tI,[CV][CV],[sI][tI],2,169.1,English
working,verb,99765,3524,51995,1,P,w3-kIN,[CVV][CVC],[w3:][kIN],2,250.49,English
million,noun,54552,3518,28419,1,P,mI-lj@n,[CV][CCVC],[mI][lj@n],2,120.49,English
movement,noun,56292,3426,29316,1,P,muv-m@nt,[CVVC][CVCC],[mu:v][m@nt],2,14.84,English
hair,noun,39503,3420,20128,1,P,h8R,[CVVC],[hE@r*],1,153.55,English
nature,noun,57176,3353,29796,1,P,n1-J@R,[CVV][CVC],[neI][tS@r*],2,45.16,English
town,noun,92295,3328,47900,1,P,t6n,[CVVC],[taUn],1,247.92,English
must,verb,56749,3304,29546,5,P,mVst,[CVCC],[mVst],1,699.24,English
friends,noun,35285,3299,18020,1,P,frEndz,[CCVCCC],[frEndz],1,305.45,English
baby,noun,4771,3281,2738,1,P,b1-bI,[CVV][CV],[beI][bI],2,509.37,English
talking,verb,89103,3267,46221,1,P,t$-kIN,[CVV][CVC],[tO:][kIN],2,497.75,English
action,noun,687,3228,373,1,P,{k-SH,[VC][CS],"[&k][Sn,]",2,61.08,English
service,noun,78996,3204,41244,1,P,s3-vIs,[CVV][CVC],[s3:][vIs],2,79.92,English
dr,noun,26440,3154,13513,1,P,dQk-t@R,[CVC][CVC],[dOk][t@r*],2,297.92,English
paper,noun,61548,3128,32301,1,P,p1-p@R,[CVV][CVC],[peI][p@r*],2,103.35,English
centre,noun,13237,3123,6844,1,P,sEn-t@R,[CVC][CVC],[sEn][t@r*],2,9.9,English
ground,noun,38813,3084,19782,1,P,gr6nd,[CCVVCC],[graUnd],1,72.47,English
period,noun,63197,3056,33204,1,P,p7-r7d,[CVV][CVVC],[pI@][rI@d],2,27.78,English
workers,noun,99756,3020,52006,1,P,w3-k@z,[CVV][CVC],[w3:][k@z],2,11.67,English
need,verb,57350,3002,29906,1,P,nid,[CVVC],[ni:d],1,1294.9,English
story,noun,86294,2992,44823,1,P,st$-rI,[CCVV][CV],[stO:][rI],2,220.78,English
law,noun,49078,2983,25462,1,P,l$,[CVV],[lO:],1,116.31,English
art,noun,3651,2972,2099,1,P,#t,[VVC],[A:t],1,70.8,English
want,verb,97360,2925,50723,1,P,wQnt,[CVCC],[wOnt],1,2759.18,English
floor,noun,33533,2888,17140,1,P,fl$R,[CCVVC],[flO:r*],1,100.63,English
sea,noun,77961,2872,40622,1,P,si,[CVV],[si:],1,59.84,English
son,noun,83267,2858,43324,1,P,sVn,[CVC],[sVn],1,410.76,English
church,noun,14585,2844,7528,1,P,J3J,[CVVC],[tS3:tS],1,69.67,English
effect,noun,27939,2781,14245,1,P,I-fEkt,[V][CVCC],[I][fEkt],2,23.9,English
sun,noun,87610,2689,45469,1,P,sVn,[CVC],[sVn],1,69.67,English
game,noun,36176,2649,18484,1,P,g1m,[CVVC],[geIm],1,233.84,English
heart,noun,40665,2597,20721,1,P,h#t,[CVVC],[hA:t],1,244.18,English
blood,noun,7983,2536,4330,1,P,blVd,[CCVC],[blVd],1,186.12,English
rate,noun,71014,2530,37290,1,P,r1t,[CVVC],[reIt],1,24.92,English
chance,noun,13505,2516,6983,1,P,J#ns,[CVVCC],[tSA:ns],1,241.24,English
known,verb,48194,2512,25009,1,P,n5n,[CVVC],[n@Un],1,123.53,English
waiting,verb,97155,2491,50635,1,P,w1-tIN,[CVV][CVC],[weI][tIN],2,211.12,English
trouble,noun,93391,2471,48439,1,P,trV-bP,[CCV][CS],"[trV][bl,]",2,223.55,English
using,verb,95598,2436,49754,1,P,ju-zIN,[CVV][CVC],[ju:][zIN],2,69.02,English
stage,noun,85006,2428,44192,1,P,st1_,[CCVVC],[steIdZ],1,45.57,English
village,noun,96512,2422,50284,1,P,vI-lI_,[CV][CVC],[vI][lIdZ],2,33.57,English
knowledge,noun,48191,2421,25006,1,P,nQ-lI_,[CV][CVC],[nO][lIdZ],2,25.53,English
sitting,verb,81154,2418,42285,1,P,sI-tIN,[CV][CVC],[sI][tIN],2,94.39,English
mouth,noun,56248,2411,29295,1,P,m6T,[CVVC],[maUT],1,104.41,English
husband,noun,42936,2405,21972,1,P,hVz-b@nd,[CVC][CVCC],[hVz][b@nd],2,194.8,English
music,noun,56695,2391,29514,1,P,mju-zIk,[CCVV][CVC],[mju:][zIk],2,151.65,English
doctor,noun,25734,2376,13150,1,P,dQk-t@R,[CVC][CVC],[dOk][t@r*],2,263.94,English
wall,noun,97263,2374,50680,1,P,w$l,[CVVC],[wO:l],1,70.69,English
window,noun,99181,2372,51712,1,P,wIn-d5,[CVC][CVV],[wIn][d@U],2,86,English
health,noun,40622,2361,20703,1,P,hElT,[CVCC],[hElT],1,40.27,English
language,noun,48711,2357,25260,1,P,l{N-gwI_,[CVC][CCVC],[l&N][gwIdZ],2,35.1,English
bank,noun,5352,2333,3044,1,P,b{Nk,[CVCC],[b&Nk],1,84.98,English
find,verb,32595,2318,16678,1,P,f2nd,[CVVCC],[faInd],1,830.96,English
amount,noun,2291,2281,1321,1,P,@-m6nt,[V][CVVCC],[@][maUnt],2,24.75,English
field,noun,32290,2279,16527,1,P,fild,[CVVCC],[fi:ld],1,70.2,English
truth,noun,93567,2279,48526,1,P,truT,[CCVVC],[tru:T],1,192.18,English
written,verb,100128,2260,52155,1,P,rI-tH,[CV][CS],"[rI][tn,]",2,44.06,English
space,noun,83626,2259,43535,1,P,sp1s,[CCVVC],[speIs],1,66.06,English
glass,noun,37270,2246,19031,1,P,gl#s,[CCVVC],[glA:s],1,60.71,English
hotel,noun,42404,2241,21691,4,P,h5-tEl,[CVV][CVC],[h@U][tEl],2,103.22,English
court,noun,19585,2228,10093,1,P,k$t,[CVVC],[kO:t],1,100.73,English
clothes,noun,15522,2225,7999,2,P,kl5Dz,[CCVVCC],[kl@UDz],1,101.14,English
oil,noun,59203,2217,31057,1,P,4l,[VVC],[OIl],1,41.08,English
sex,noun,79213,2216,41349,1,P,sEks,[CVCC],[sEks],1,152.18,English
earth,noun,27632,2204,14068,1,P,3T,[VVC],[3:T],1,99.49,English
letter,noun,49794,2166,25821,1,P,lE-t@R,[CV][CVC],[lE][t@r*],2,82.61,English
summer,noun,87566,2165,45450,1,P,sV-m@R,[CV][CVC],[sV][m@r*],2,78.67,English
research,noun,73477,2161,38408,3,P,rI-s3J,[CV][CVVC],[rI][s3:tS],2,33.1,English
hall,noun,39650,2160,20224,1,P,h$l,[CVVC],[hO:l],1,51.94,English
programme,noun,68178,2157,35821,1,P,pr5-gr{m,[CCVV][CCVC],[pr@U][gr&m],2,4.61,English
trees,noun,92971,2139,48230,1,P,triz,[CCVVC],[tri:z],1,30.69,English
growth,noun,38934,2120,19835,1,P,gr5T,[CCVVC],[gr@UT],1,6.45,English
role,noun,75016,2102,39171,1,P,r5l,[CVVC],[r@Ul],1,18.22,English
staff,noun,84994,2090,44187,1,P,st#f,[CCVVC],[stA:f],1,32,English
news,noun,57650,2082,30088,1,P,njuz,[CCVVC],[nju:z],1,164.69,English
piece,noun,64122,2082,33730,1,P,pis,[CVVC],[pi:s],1,124.49,English
chapter,noun,13608,2032,7033,1,P,J{p-t@R,[CVC][CVC],[tS&p][t@r*],2,11.84,English
thousand,noun,90740,2032,47135,1,P,T6-zHd,[CVV][CSC],"[TaU][zn,d]",2,69.29,English
size,noun,81230,2015,42342,1,P,s2z,[CVVC],[saIz],1,46.14,English
tell,verb,89925,2008,46641,1,P,tEl,[CVC],[tEl],1,1724.49,English
couple,noun,19545,2006,10076,1,P,kV-pP,[CV][CS],"[kV][pl,]",2,223.41,English
legs,noun,49652,2003,25687,1,P,lEgz,[CVCC],[lEgz],1,55.59,English
sir,noun,81076,1974,42265,2,P,s3R,[CVVC],[s3:r*],1,964.47,English
theory,noun,90455,1955,46958,1,P,T7-rI,[CVV][CV],[TI@][rI],2,28.61,English
garden,noun,36286,1954,18540,1,P,g#-dH,[CVV][CS],"[gA:][dn,]",2,26.55,English
tax,noun,89539,1949,46445,1,P,t{ks,[CVCC],[t&ks],1,14.55,English
river,noun,74791,1938,39054,1,P,rI-v@R,[CV][CVC],[rI][v@r*],2,55.47,English
army,noun,3549,1933,2049,1,P,#-mI,[VV][CV],[A:][mI],2,85.69,English
leaving,verb,49470,1930,25624,1,P,li-vIN,[CVV][CVC],[li:][vIN],2,141.39,English
playing,verb,65040,1912,34177,1,P,pl1-IN,[CCVV][VC],[pleI][IN],2,147.35,English
pressure,noun,67412,1908,35412,1,P,prE-S@R,[CCV][CVC],[prE][S@r*],2,53.12,English
arms,noun,3542,1906,2019,1,P,#mz,[VVCC],[A:mz],1,59.8,English
income,noun,44211,1905,22754,4,P,IN-kVm,[VC][CVC],[IN][kVm],2,7.41,English
picture,noun,64092,1905,33713,1,P,pIk-J@R,[CVC][CVC],[pIk][tS@r*],2,138.45,English
kitchen,noun,47930,1890,24891,3,P,kI-JIn,[CV][CVC],[kI][tSIn],2,58.31,English
degree,noun,22657,1877,11637,1,P,dI-gri,[CV][CCVV],[dI][gri:],2,14.88,English
becomes,verb,6206,1865,3465,2,P,bI-kVmz,[CV][CVCC],[bI][kVmz],2,24.14,English
defence,noun,22498,1843,11560,1,P,dI-fEns,[CV][CVCC],[dI][fEns],2,8.02,English
chair,noun,13404,1840,6936,1,P,J8R,[CVVC],[tSE@r*],1,49.24,English
success,noun,87330,1838,45317,1,P,s@k-sEs,[CVC][CVC],[s@k][sEs],2,27.25,English
choice,noun,14344,1828,7411,1,P,J4s,[CVVC],[tSOIs],1,97.55,English
council,noun,19317,1818,9975,2,P,k6n-sP,[CVVC][CS],"[kaUn][sl,]",2,16.92,English
difference,noun,24069,1801,12339,4,P,dI-fr@ns,[CV][CCVCC],[dI][fr@ns],2,79.73,English
daughter,noun,21751,1797,11204,1,P,d$-t@R,[CVV][CVC],[dO:][t@r*],2,171.35,English
freedom,noun,35028,1794,17883,1,P,fri-d@m,[CCVV][CVC],[fri:][d@m],2,33.1,English
milk,noun,54467,1792,28373,1,P,mIlk,[CVCC],[mIlk],1,42.53,English
moving,verb,56320,1769,29308,1,P,mu-vIN,[CVV][CVC],[mu:][vIN],2,119.69,English
surface,noun,87967,1721,45671,2,P,s3-fIs,[CVV][CVC],[s3:][fIs],2,18.24,English
needs,verb,57376,1705,29907,1,P,nidz,[CVVCC],[ni:dz],1,160.75,English
practice,noun,66704,1702,35050,1,P,pr{k-tIs,[CCVC][CVC],[pr&k][tIs],2,45.69,English
holding,verb,41784,1691,21345,1,P,h5l-dIN,[CVVC][CVC],[h@Ul][dIN],2,69.22,English
section,noun,78264,1685,40798,1,P,sEk-SH,[CVC][CS],"[sEk][Sn,]",2,27.33,English
sight,noun,80655,1685,42046,1,P,s2t,[CVVC],[saIt],1,45.31,English
asked,verb,3808,1677,2205,1,P,#skt,[VVCCC],[A:skt],1,216.25,English
corner,noun,18931,1676,9766,1,P,k$-n@R,[CVV][CVC],[kO:][n@r*],2,52.53,English
marriage,noun,52984,1674,27523,1,P,m{-rI_,[CV][CVC],[m&][rIdZ],2,77.06,English
range,noun,70846,1666,37212,2,P,r1n_,[CVVCC],[reIndZ],1,22.76,English
ball,noun,5145,1664,2944,1,P,b$l,[CVVC],[bO:l],1,104.96,English
weight,noun,98173,1664,51121,1,P,w1t,[CVVC],[weIt],1,36.27,English
station,noun,85434,1658,44404,1,P,st1-SH,[CCVV][CS],"[steI][Sn,]",2,79.08,English
purpose,noun,69500,1651,36537,1,P,p3-p@s,[CVV][CVC],[p3:][p@s],2,35.08,English
coffee,noun,16002,1644,8230,1,P,kQ-fI,[CV][CV],[kO][fI],2,144.53,English
type,noun,94191,1642,48839,1,P,t2p,[CVVC],[taIp],1,60.65,English
strength,noun,86520,1639,44933,2,P,strENT,[CCCVCC],[strENT],1,36.92,English
east,noun,27692,1638,14098,1,P,ist,[VVCC],[i:st],1,49.55,English
born,verb,8952,1634,4798,1,P,b$n,[CVVC],[bO:n],1,83.69,English
science,noun,77403,1632,40371,1,P,s2-@ns,[CVV][VCC],[saI][@ns],2,37.25,English
dinner,noun,24310,1631,12454,1,P,dI-n@R,[CV][CVC],[dI][n@r*],2,202.67,English
skin,noun,81378,1617,42411,1,P,skIn,[CCVC],[skIn],1,44.04,English
colonel,noun,16299,1610,8399,1,P,k3-nP,[CVV][CS],"[k3:][nl,]",2,96.25,English
began,verb,6382,1598,3560,2,P,bI-g{n,[CV][CVC],[bI][g&n],2,32.51,English
king,noun,47855,1598,24848,1,P,kIN,[CVC],[kIN],1,129.25,English
distance,noun,25402,1597,12974,2,P,dI-st@ns,[CV][CCVCC],[dI][st@ns],2,25.61,English
peace,noun,62536,1596,32832,1,P,pis,[CVVC],[pi:s],1,69.61,English
club,noun,15605,1593,8037,1,P,klVb,[CCVC],[klVb],1,98.78,English
scene,noun,77281,1591,40302,1,P,sin,[CVVC],[si:n],1,74.65,English
tea,noun,89583,1589,46467,1,P,ti,[CVV],[ti:],1,58.63,English
hell,noun,40951,1587,20876,1,P,hEl,[CVC],[hEl],1,470.82,English
dj,noun,25694,1583,13126,1,P,"""di-_1",[CVV][CVV],[di:][dZeI],2,4.43,English
gold,noun,37762,1575,19255,1,P,g5ld,[CVVCC],[g@Uld],1,78.94,English
effort,noun,27994,1567,14280,1,P,E-f@t,[V][CVC],[E][f@t],2,19.35,English
keep,verb,47545,1566,24705,1,P,kip,[CVVC],[ki:p],1,702.86,English
meet,verb,53669,1565,27909,1,P,mit,[CVVC],[mi:t],1,352.27,English
feel,verb,31937,1563,16349,1,P,fil,[CVVC],[fi:l],1,627.24,English
film,noun,32514,1546,16636,1,P,fIlm,[CVCC],[fIlm],1,65.25,English
style,noun,86986,1542,45138,1,P,st2l,[CCVVC],[staIl],1,30.08,English
brother,noun,10213,1531,5395,1,P,brV-D@R,[CCV][CVC],[brV][D@r*],2,283.94,English
shop,noun,80003,1525,41748,1,P,SQp,[CVC],[SOp],1,53.55,English
shown,verb,80246,1520,41839,1,P,S5n,[CVVC],[S@Un],1,14.18,English
horse,noun,42277,1518,21619,1,P,h$s,[CVVC],[hO:s],1,92.88,English
team,noun,89627,1514,46490,1,P,tim,[CVVC],[ti:m],1,147.61,English
extent,noun,30838,1508,15762,2,P,Ik-stEnt,[VC][CCVCC],[Ik][stEnt],2,4.06,English
structure,noun,86760,1507,45045,1,P,strVk-J@R,[CCCVC][CVC],[strVk][tS@r*],2,10.18,English
basis,noun,5756,1499,3250,1,P,b1-sIs,[CVV][CVC],[beI][sIs],2,11.94,English
called,verb,11583,1498,6016,1,P,k$ld,[CVVCC],[kO:ld],1,340.02,English
pleasure,noun,65151,1495,34247,1,P,plE-Z@R,[CCV][CVC],[plE][Z@r*],2,80.75,English
teachers,noun,89595,1490,46474,1,P,ti-J@z,[CVV][CVC],[ti:][tS@z],2,11.39,English
grass,noun,38379,1483,19552,1,P,gr#s,[CCVVC],[grA:s],1,16.78,English
colour,noun,16342,1481,8425,1,P,kV-l@R,[CV][CVC],[kV][l@r*],2,8.71,English
term,noun,90157,1480,46775,1,P,t3m,[CVVC],[t3:m],1,17.45,English
bottle,noun,9031,1479,4837,1,P,bQ-tP,[CV][CS],"[bO][tl,]",2,50.75,English
putting,verb,69773,1479,36609,1,P,pU-tIN,[CV][CVC],[pU][tIN],2,67.98,English
desk,noun,23492,1473,12040,1,P,dEsk,[CVCC],[dEsk],1,43.9,English
prepared,verb,67187,1471,35300,2,P,prI-p8d,[CCV][CVVC],[prI][pE@d],2,35.78,English
machine,noun,52018,1469,26985,1,P,m@-Sin,[CV][CVVC],[m@][Si:n],2,70.25,English
sister,noun,81105,1464,42280,1,P,sI-st@R,[CV][CCVC],[sI][st@r*],2,180.53,English
theatre,noun,90395,1456,46917,1,P,T7-t@R,[CVV][CVC],[TI@][t@r*],2,11.41,English
presence,noun,67275,1449,35348,1,P,prE-zHs,[CCV][CSC],"[prE][zn,s]",2,20.86,English
watching,verb,97688,1448,50869,1,P,wQ-JIN,[CV][CVC],[wO][tSIN],2,99.63,English
campaign,noun,11815,1438,6111,1,P,k{m-p1n,[CVC][CVVC],[k&m][peIn],2,16.78,English
fish,noun,32880,1438,16833,1,P,fIS,[CVC],[fIS],1,83.49,English
weapons,noun,97950,1425,51015,1,P,wE-p@nz,[CV][CVCC],[wE][p@nz],2,40.49,English
winter,noun,99309,1423,51771,1,P,wIn-t@R,[CVC][CVC],[wIn][t@r*],2,26.22,English
loss,noun,51467,1401,26679,1,P,lQs,[CVC],[lOs],1,29.12,English
seat,noun,78127,1396,40712,1,P,sit,[CVVC],[si:t],1,78.78,English
lunch,noun,51818,1381,26878,2,P,lVnJ,[CVCC],[lVntS],1,104.12,English
college,noun,16252,1380,8373,1,P,kQ-lI_,[CV][CVC],[kO][lIdZ],2,85.18,English
sky,noun,81506,1380,42465,1,P,sk2,[CCVV],[skaI],1,44.8,English
source,noun,83518,1376,43463,1,P,s$s,[CVVC],[sO:s],1,28.18,English
method,noun,54129,1373,28162,1,P,mE-T@d,[CV][CVC],[mE][T@d],2,7.88,English
happens,verb,40009,1367,20382,2,P,h{-p@nz,[CV][CVCC],[h&][p@nz],2,137.18,English
manner,noun,52672,1366,27352,1,P,m{-n@R,[CV][CVC],[m&][n@r*],2,11.53,English
wearing,verb,97966,1364,51019,1,P,w8-rIN,[CVV][CVC],[wE@][rIN],2,86.47,English
feelings,noun,31952,1362,16357,1,P,fi-lINz,[CVV][CVCC],[fi:][lINz],2,57.61,English
events,noun,30079,1358,15354,1,P,I-vEnts,[V][CVCCC],[I][vEnts],2,16.86,English
edge,noun,27849,1356,14198,1,P,E_,[VC],[EdZ],1,23.51,English
speech,noun,83934,1356,43695,1,P,spiJ,[CCVVC],[spi:tS],1,38.04,English
cancer,noun,11916,1354,6158,1,P,k{n-s@R,[CVC][CVC],[k&n][s@r*],2,22.33,English
pain,noun,61151,1354,32094,1,P,p1n,[CVVC],[peIn],1,97.94,English
fingers,noun,32665,1345,16699,1,P,fIN-g@z,[CVC][CVC],[fIN][g@z],2,33.25,English
leaders,noun,49270,1344,25548,1,P,li-d@z,[CVV][CVC],[li:][d@z],2,8.88,English
teeth,noun,89810,1340,47697,1,P,tiT,[CVVC],[ti:T],1,47.84,English
image,noun,43490,1329,22302,1,P,I-mI_,[V][CVC],[I][mIdZ],2,22.63,English
