ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,familyID,familyName,Morph+AC0-marker+AC0-Action,COMMENT,
283,Cayuvava,NA,+AC0-13.2482,+AC0-65.4822,cayu1262,cyb,cayu1262,Cayubaba,FALSE,,
287,Munduruk+//0Aw//9ALo-,NA,+AC0-8.41095,+AC0-57.691,mund1330,myu,tupi1275,Tupian,FALSE,,
288,Ach+//0Aw//9AKk-,NA,+AC0-25.5865,+AC0-56.4697,ache1246,guq,tupi1275,Tupian,FALSE,,
295,Karaj+//0Aw//9AKE-,NA,+AC0-11.1881,+AC0-50.3492,kara1500,kpj,nucl1710,Nuclear+AC0-Macro+AC0-Je,FALSE,,
296,Trumai,NA,+AC0-11.8119,+AC0-53.5717,trum1247,tpy,trum1247,Trumai,FALSE,,
308,Kunza,NA,+AC0-23,+AC0-69,kunz1244,kuz,kunz1244,Kunza,TRUE,,
310,Tehuelche,NA,+AC0-47.5796,+AC0-68.3235,tehu1242,teh,chon1288,Chonan,FALSE,,
316,Andi (Muni dialect),NA,42.75,46.25,muni1255,ani,nakh1245,Nakh+AC0-Daghestanian,,,
408,Tai Kh+//0Aw//9ALw-n,NA,19.6062,99.3363,khun1259,kkh,taik1256,Tai+AC0-Kadai,FALSE,,
410,Shan (Northern Shan dialect),NA,21.5995,98.0342,shan1277,shn,taik1256,Tai+AC0-Kadai,,,
502,Chamalal (Gigatli dialect),NA,42.55,46.05,giga1238,cji,nakh1245,Nakh+AC0-Daghestanian,,,
524,Lak (Arakul dialect),NA,42.1328,47.0809,lakk1252,lbe,nakh1245,Nakh+AC0-Daghestanian,,,
704,Mahasu Pahari (Kotghari dialect),NA,31.0088,77.5317,maha1287,bfz,indo1319,Indo+AC0-European,TRUE,,
706,Nepali,NA,28,85,east1436,nep,indo1319,Indo+AC0-European,TRUE,,
709,Telugu,NA,16.4529,78.7024,telu1262,tel,drav1251,Dravidian,TRUE,,
830,Pear,NA,13.593,105.028,pear1247,pcb,aust1305,Austroasiatic,FALSE,,
834,Chong,NA,12.5218,102.514,chon1284,cog,aust1305,Austroasiatic,TRUE,,
837,CHNG (a Pearic variety),NA,NA,NA,west2394,cog,aust1305,Austroasiatic,,,
50,Tindi,NA,42.3316,45.9227,tind1238,tin,nakh1245,Nakh+AC0-Daghestanian,TRUE,,
227,Northern Haida,NA,54.6931,+AC0-132.465,nort2938,hdn,haid1248,Haida,FALSE,,
236,Maori,NA,+AC0-38.2881,176.541,maor1246,mri,aust1307,Austronesian,FALSE,,
241,Tuamotuan,NA,+AC0-21.709,+AC0-140.658,tuam1242,pmt,aust1307,Austronesian,FALSE,,
270,Chipaya,NA,+AC0-18.7395,+AC0-67.8963,chip1262,cap,uruc1242,Uru+AC0-Chipaya,FALSE,,
274,Ese Ejja,NA,+AC0-11.7268,+AC0-67.515,esee1248,ese,pano1259,Pano+AC0-Tacanan,FALSE,,
284,Itonama,NA,+AC0-12.8043,+AC0-64.3575,iton1250,ito,iton1250,Itonama,TRUE,,
300,Lengua,NA,+AC0-22.6559,+AC0-58.9053,leng1262,leg,leng1261,Lengua+AC0-Mascoy,TRUE,,
305,Maca,NA,+AC0-25.0119,+AC0-57.3694,maca1260,mca,mata1289,Matacoan,FALSE,,
306,Wich+//0Aw//9AK0-,NA,+AC0-23.1633,+AC0-62.1757,wich1264,mzh,mata1289,Matacoan,FALSE,,
315,Yag+//0Aw//9AKE-n,NA,+AC0-55.2748,+AC0-68.2648,yama1264,yag,yama1264,Y+//0Aw//9AKE-mana,TRUE,,
404,Khamuang (Chiang Mai variety),NA,18.8575,100.207,nort2740,nod,taik1256,Tai+AC0-Kadai,FALSE,,
421,Hlai (Baoting variety),NA,18.8062,109.459,hlai1239,lic,taik1256,Tai+AC0-Kadai,FALSE,,
511,Dargwa (Sirkhi dialect),NA,42.4257,47.4388,darg1241,dar,nakh1245,Nakh+AC0-Daghestanian,,,
519,Kumyk (Dorgeli dialect),NA,43,47,kumy1244,kum,turk1311,Turkic,,,
520,Kumyk (Kajtak Tumenler dialect),NA,43,47,kumy1244,kum,turk1311,Turkic,,,
521,Kumyk (Kajtak dialect),NA,43,47,kumy1244,kum,turk1311,Turkic,,,
804,Keme (Kemie variety),NA,22.0743,100.842,manm1238,mml,aust1305,Austroasiatic,FALSE,,
810,Pusing,NA,21.3474,101.916,bitt1240,bgk,aust1305,Austroasiatic,FALSE,,
820,Phong,NA,19.9622,104.088,phon1246,pnx,aust1305,Austroasiatic,FALSE,,
821,TUL,NA,NA,NA,NA,?,NA,NA,,,
835,KNB (a Pearic variety),NA,NA,NA,west2394,cog,aust1305,Austroasiatic,,,
838,Iduh,NA,19.3497,104.106,oduu1239,tyh,aust1305,Austroasiatic,FALSE,,
