language,Family,Affixes.Removed.Action,Suffixes.Removed.Action,Affixes.Removed.Thing,Suffixes.Removed.Thing,original.number.words,adjusted.number.words,Number.Homophones
Wayampi,Tupian,0,0,0,1,1028,970,29
Wichí,Matacoan,0,0,0,0,940,940,0
Xu,Austro-Asiatic,0,0,0,0,302,302,0
Yagán,Yámana,0,1,0,1,579,558,16
Yagua,Peba-Yaguan,0,0,0,0,1296,1296,0
Yaminahua,Panoan,0,3,0,1,858,762,61
Yanomámi,Yanomam,0,2,0,0,506,484,7
Yaruro,Yaruro,0,1,0,0,595,574,7
Yavitero,Arawakan,0,3,0,1,630,528,30
Yiddish,Indo-European,0,1,0,0,1506,1506,0
Yuwana,Jodi-Saliban,0,1,0,0,413,393,10
Zhuang-Longzhou,Tai-Kadai,0,0,0,0,698,698,0
Zuni,Zuni,2,1,0,1,783,655,25
