phon,Noun,Verb,englishPOS,language
_un,0.9942028985507246,0,Noun,English
_us,1,0,Noun,English
_ut,1,0,Noun,English
_V_,0.5938914027149321,0.4061085972850679,Noun,English
_Vg,0.9735449735449735,0.026455026455026454,Noun,English
_Vmp,0.10620792819745699,0.893792071802543,Verb,English
_Vmps,1,0,Noun,English
_VNk,0.959731543624161,0.040268456375838924,Noun,English
{d,0.0389908256880734,0.9610091743119266,Verb,English
{dz,1,0,Noun,English
{ks,0.9745222929936306,0.025477707006369428,Noun,English
{kt,0.5551980695757088,0.44480193042429117,Noun,English
{l,1,0,Noun,English
{lb,1,0,Noun,English
{lp,1,0,Noun,English
{mp,1,0,Noun,English
{Nst,1,0,Noun,English
{nt,1,0,Noun,English
{ps,1,0,Noun,English
{s,1,0,Noun,English
{S,1,0,Noun,English
#J,0.652542372881356,0.3177966101694915,Noun,English
#k,0.9802955665024631,0.019704433497536946,Noun,English
#m,0.9741334712881531,0.02586652871184687,Noun,English
#mz,1,0,Noun,English
#s,1,0,Noun,English
#sk,0,1,Verb,English
#t,1,0,Noun,English
#ts,1,0,Noun,English
$,0.7589743589743589,0.24102564102564103,Noun,English
$b,1,0,Noun,English
$k,1,0,Noun,English
$t,0,0.9994582881906826,Verb,English
1_,0.9718125816688445,0.028187418331155498,Noun,English
1d,0.8827247191011236,0.1172752808988764,Noun,English
1J,0.5245503159941662,0,Noun,English
1k,0.28289473684210525,0.7171052631578947,Verb,English
1l,0.23954372623574144,0.7604562737642585,Verb,English
1m,0.6051314142678348,0.3948685857321652,Noun,English
1p,0.8990825688073395,0.10091743119266056,Noun,English
1s,1,0,Noun,English
2,0.5113412678273594,2.6853441798244424e-4,Noun,English
2dz,1,0,Noun,English
2s,0.944,0.056,Noun,English
3_,0.275,0.725,Verb,English
3g,1,0,Noun,English
3k,0,1,Verb,English
3l,1,0,Noun,English
3n,0.06532180595581172,0.9346781940441883,Verb,English
3R,0,1,Verb,English
3s,1,0,Noun,English
3T,0.9968387776606955,0.003161222339304531,Noun,English
4l,0.9707254985150615,0.02927450148493848,Noun,English
4lz,1,0,Noun,English
4Nk,1,0,Noun,English
5d,1,0,Noun,English
5f,1,0,Noun,English
5k,1,0,Noun,English
5m,1,0,Noun,English
5st,1,0,Noun,English
5t,1,0,Noun,English
5T,1,0,Noun,English
5ts,1,0,Noun,English
6l,1,0,Noun,English
6ns,0.6181384248210023,0,Noun,English
6st,0,1,Verb,English
7R,1,0,Noun,English
8R,0.991518235793045,0.005301102629346904,Noun,English
8z,1,0,Noun,English
b{_,1,0,Noun,English
b{g,0.9762872628726287,0.023712737127371274,Noun,English
b{gz,1,0,Noun,English
b{J,1,0,Noun,English
b{n,0.3489208633093525,0.6510791366906474,Verb,English
b{N,0.28599221789883267,0.5642023346303502,Verb,English
b{nd,0.9529964747356052,0.04700352526439483,Noun,English
b{Nk,0.9692500784436774,0.03074992155632256,Noun,English
b{nz,1,0,Noun,English
b{s,1,0,Noun,English
b{S,0.12987012987012986,0.8701298701298701,Verb,English
b{st,1,0,Noun,English
b{t,0.6954177897574124,0.3045822102425876,Noun,English
b#_,0.7327586206896551,0.2672413793103448,Noun,English
b#b,1,0,Noun,English
b#Dz,1,0,Noun,English
b#k,0.40384615384615385,0.5961538461538461,Verb,English
b#m,1,0,Noun,English
b#n,1,0,Noun,English
b#R,0.9269252388982574,0.059584035975267007,Noun,English
b#sk,0,1,Verb,English
b#T,0.8987929433611885,0.10120705663881151,Noun,English
b$d,0.9160457029309488,0.08395429706905116,Noun,English
b$dz,1,0,Noun,English
b$k,0,1,Verb,English
b$l,0.9637856108160309,0.036214389183969097,Noun,English
b$lz,0.5740740740740741,0,Noun,English
b$R,0.24968632371392724,0.71267252195734,Verb,English
b$S,1,0,Noun,English
b$st,1,0,Noun,English
b1,0.7354838709677419,0.05290322580645161,Noun,English
b1b,1,0,Noun,English
b1D,0.02976190476190476,0.9702380952380952,Verb,English
b1k,0,1,Verb,English
b1l,0.8045112781954887,0.19548872180451127,Noun,English
b1n,1,0,Noun,English
b1s,0.9805825242718447,0,Noun,English
b1st,0,1,Verb,English
b1t,0.6371986222732492,0.36280137772675086,Noun,English
b1z,1,0,Noun,English
b2d,0,1,Verb,English
b2k,0.9591836734693877,0.04081632653061224,Noun,English
b2l,1,0,Noun,English
b2n,1,0,Noun,English
b2nd,0.056074766355140186,0.9439252336448598,Verb,English
b2t,0.35348226018396844,0.6465177398160316,Verb,English
b3d,1,0,Noun,English
b3g,1,0,Noun,English
b3J,0.984375,0.015625,Noun,English
b3k,0.06382978723404255,0.9361702127659575,Verb,English
b3n,0.1155356141334829,0.8844643858665171,Verb,English
b3p,0.4,0.6,Verb,English
b3R,0.9565217391304348,0.043478260869565216,Noun,English
b3st,0.25219298245614036,0.7478070175438597,Verb,English
b3T,0.9958813838550247,0.004118616144975288,Noun,English
b4,0.9739413680781759,0.0018613308515588647,Noun,English
b4l,0.1829787234042553,0.8170212765957446,Verb,English
b4z,1,0,Noun,English
b5,0.772972972972973,0.15405405405405406,Noun,English
b5d,0,1,Verb,English
b5l,0.7305882352941176,0.26941176470588235,Noun,English
b5lt,0.567398119122257,0.3448275862068966,Noun,English
b5lz,1,0,Noun,English
b5n,0.9975922953451043,0.002407704654895666,Noun,English
b5st,0.09829059829059829,0.9017094017094017,Verb,English
b5t,0.9834651329978433,0.01653486700215672,Noun,English
b6,0.3556581986143187,0.6443418013856813,Verb,English
b6ndz,1,0,Noun,English
b6ns,0.11890243902439024,0.8810975609756098,Verb,English
b6t,1,0,Noun,English
b7d,0.9824945295404814,0.0175054704595186,Noun,English
b7R,1,0,Noun,English
b8n,1,0,Noun,English
b8R,0.09797297297297297,0.6746621621621621,Verb,English
b9R,1,0,Noun,English
b9s,1,0,Noun,English
bEd,0.9883387888707038,0.011661211129296236,Noun,English
bEg,0,1,Verb,English
bEk,1,0,Noun,English
bEl,0.9826302729528535,0.017369727047146403,Noun,English
bElJ,0.1917808219178082,0.8082191780821918,Verb,English
bElt,0.9468503937007874,0.0531496062992126,Noun,English
bEn,1,0,Noun,English
bEnd,0.13181148748159058,0.8681885125184094,Verb,English
bEndz,1,0,Noun,English
bEnJ,1,0,Noun,English
bEst,0,1,Verb,English
bEt,0.2198952879581152,0.7801047120418848,Verb,English
bi,0.006809116445533449,0.9742694237774573,Verb,English
bIb,1,0,Noun,English
bid,0.8794642857142857,0.12053571428571429,Noun,English
bId,0.6337662337662338,0.36623376623376624,Noun,English
bif,0.9899665551839465,0.010033444816053512,Noun,English
bIf,1,0,Noun,English
biJ,0.9904076738609112,0.009592326139088728,Noun,English
bIJ,0.932258064516129,0.06774193548387097,Noun,English
bik,1,0,Noun,English
bIl,0.9664285714285714,0.03357142857142857,Noun,English
bIl_,1,0,Noun,English
bIld,0.018115942028985508,0.9818840579710145,Verb,English
bIlk,0,1,Verb,English
bim,0.6059113300492611,0.39408866995073893,Noun,English
bin,1,0,Noun,English
bIn,1,0,Noun,English
bIn_,1,0,Noun,English
bip,1,0,Noun,English
bIsk,1,0,Noun,English
bist,1,0,Noun,English
bit,0.13935340022296544,0.8606465997770345,Verb,English
bIt,1,0,Noun,English
bIz,1,0,Noun,English
bl{b,0,1,Verb,English
bl#,1,0,Noun,English
bl#nJ,0,1,Verb,English
bl#st,0.5855855855855856,0.3783783783783784,Noun,English
bl1d,1,0,Noun,English
bl1m,0.13485477178423236,0.8651452282157677,Verb,English
bl1z,0.3619047619047619,0.638095238095238,Verb,English
bl2t,0.648936170212766,0.35106382978723405,Noun,English
bl3b,1,0,Noun,English
bl3R,0.20512820512820512,0.7948717948717948,Verb,English
bl5,0.24195171026156942,0.7580482897384306,Verb,English
bl5k,1,0,Noun,English
bl5t,0,1,Verb,English
bl6z,1,0,Noun,English
bl8R,0.0851063829787234,0.9148936170212766,Verb,English
blEnd,0.2966507177033493,0.7033492822966507,Verb,English
blEnJ,0,1,Verb,English
blEs,0,1,Verb,English
blid,0,1,Verb,English
bliJ,0.27184466019417475,0.7281553398058253,Verb,English
blImp,1,0,Noun,English
blINk,0.07865168539325842,0.9213483146067416,Verb,English
blip,0.75,0.25,Noun,English
blIp,1,0,Noun,English
blIs,1,0,Noun,English
blit,0.20454545454545456,0.7954545454545454,Verb,English
blIts,0.7065217391304348,0.29347826086956524,Noun,English
blQb,1,0,Noun,English
blQJ,1,0,Noun,English
blQk,0.7229465449804433,0.2770534550195567,Noun,English
blQt,0.1694915254237288,0.8305084745762712,Verb,English
blum,0.6121212121212121,0.3878787878787879,Noun,English
bluz,1,0,Noun,English
blVd,0.9929577464788732,0.007042253521126761,Noun,English
blVf,0.6387096774193548,0.25161290322580643,Noun,English
blVS,0.1565217391304348,0.8434782608695652,Verb,English
bQb,0.839677047289504,0.16032295271049596,Noun,English
bQbz,1,0,Noun,English
bQd,1,0,Noun,English
bQg,1,0,Noun,English
bQJ,0.28125,0.71875,Verb,English
bQk,1,0,Noun,English
bQks,0.9865663621708759,0.013433637829124127,Noun,English
bQm,0.7661122661122661,0.2338877338877339,Noun,English
bQnd,0.9295238095238095,0.07047619047619047,Noun,English
bQndz,1,0,Noun,English
bQp,0.29411764705882354,0.7058823529411765,Verb,English
bQs,0.9127134724857685,0.0872865275142315,Noun,English
bQS,0.6363636363636364,0,Noun,English
br{d,1,0,Noun,English
br{g,0.0625,0.9375,Verb,English
br{kt,1,0,Noun,English
br{n,1,0,Noun,English
br{nd,0.8162544169611308,0.18374558303886926,Noun,English
br{t,1,0,Noun,English
br#,1,0,Noun,English
br#nJ,0.9693818601964183,0.030618139803581745,Noun,English
br#s,1,0,Noun,English
br$l,0.7777777777777778,0.2222222222222222,Noun,English
br$n,1,0,Noun,English
br1,0.2916666666666667,0.7083333333333334,Verb,English
br1d,0.35064935064935066,0.6493506493506493,Verb,English
br1k,0.14138286893704852,0.8586171310629515,Verb,English
br1l,1,0,Noun,English
br1n,0.9992542878448919,7.457121551081282e-4,Noun,English
br1nz,1,0,Noun,English
br1s,0.2318840579710145,0.7681159420289855,Verb,English
br1z,0,1,Verb,English
br2d,1,0,Noun,English
br2n,1,0,Noun,English
br4l,0.0625,0.9375,Verb,English
br5g,1,0,Noun,English
br6,1,0,Noun,English
br6z,0.05263157894736842,0.9473684210526315,Verb,English
brEd,1,0,Noun,English
brEn,1,0,Noun,English
brEst,0.9940298507462687,0.005970149253731343,Noun,English
brET,1,0,Noun,English
brEtT,1,0,Noun,English
bri,1,0,Noun,English
brI_,0.9495192307692307,0.05048076923076923,Noun,English
brid,0.2538293216630197,0.7461706783369803,Verb,English
briD,0,1,Verb,English
brifs,1,0,Noun,English
brIg,1,0,Noun,English
briJ,0.8833333333333333,0.11666666666666667,Noun,English
brIk,1,0,Noun,English
brIl,1,0,Noun,English
brim,1,0,Noun,English
brIN,0,1,Verb,English
brINk,1,0,Noun,English
briz,0.9583333333333334,0.041666666666666664,Noun,English
brQNks,1,0,Noun,English
brQnz,0.9356913183279743,0.06430868167202572,Noun,English
brQT,1,0,Noun,English
bru,0.272108843537415,0.7278911564625851,Verb,English
brud,0.15454545454545454,0.8227272727272728,Verb,English
brUk,0.8144329896907216,0.18556701030927836,Noun,English
brum,1,0,Noun,English
brut,0.5688073394495413,0,Noun,English
bruz,0.35864978902953587,0.6413502109704642,Verb,English
brVnt,1,0,Noun,English
brVS,0.4105409153952843,0.5894590846047156,Verb,English
bu,0.18421052631578946,0.6842105263157895,Verb,English
bub,1,0,Noun,English
bubz,1,0,Noun,English
buD,1,0,Noun,English
bUk,0.9640644361833953,0.03593556381660471,Noun,English
bul,1,0,Noun,English
bUl,0.993103448275862,0.006896551724137931,Noun,English
bum,0.5874730021598272,0.41252699784017277,Noun,English
bun,1,0,Noun,English
bUS,1,0,Noun,English
bust,0.2623762376237624,0.7376237623762376,Verb,English
but,0.9901269393511989,0.009873060648801129,Noun,English
buz,0.7435897435897436,0.2564102564102564,Noun,English
bV_,0,1,Verb,English
bVd,0.8859060402684564,0.11409395973154363,Noun,English
bVf,0.44680851063829785,0.14893617021276595,Noun,English
bVg,0.4371859296482412,0.5628140703517588,Verb,English
bVk,0.74235807860262,0.2576419213973799,Noun,English
bVl_,0.25,0.75,Verb,English
bVlb,1,0,Noun,English
bVlk,1,0,Noun,English
bVm,0.7528089887640449,0.1797752808988764,Noun,English
bVmf,1,0,Noun,English
bVmp,0.3356401384083045,0.6643598615916955,Verb,English
bVn,1,0,Noun,English
bVN,0.42105263157894735,0.5789473684210527,Verb,English
bVnJ,0.8521303258145363,0.14786967418546365,Noun,English
bVNk,0.9612403100775194,0.03875968992248062,Noun,English
bVs,0.9854368932038835,0.014563106796116505,Noun,English
bVsk,0,1,Verb,English
bVst,0.6058823529411764,0.32941176470588235,Noun,English
bVz,0.28191489361702127,0.7180851063829787,Verb,English
d{b,0.3360655737704918,0.6639344262295082,Verb,English
d{bz,1,0,Noun,English
d{d,1,0,Noun,English
d{m,0.21564245810055865,0.39888268156424583,Verb,English
d{S,0.32848837209302323,0.6715116279069767,Verb,English
d#l,1,0,Noun,English
d#n,0.05,0.7333333333333333,Verb,English
d#ns,0.35893246187363836,0.6410675381263616,Verb,English
d#t,0.27403846153846156,0.7259615384615384,Verb,English
d#ts,1,0,Noun,English
d$b,0.17647058823529413,0.8235294117647058,Verb,English
d$m,1,0,Noun,English
d$n,0.8410404624277457,0.15895953757225434,Noun,English
d$nt,0,1,Verb,English
d$R,1,0,Noun,English
d1,1,0,Noun,English
d1l,1,0,Noun,English
d1m,1,0,Noun,English
d1n,0.8050847457627118,0.19491525423728814,Noun,English
d1s,1,0,Noun,English
d1t,0.7195431472081218,0.28045685279187815,Noun,English
d1ts,1,0,Noun,English
d1z,0.966974358974359,0.033025641025641025,Noun,English
d2,0.020172910662824207,0.9798270893371758,Verb,English
d2k,0.9795918367346939,0.02040816326530612,Noun,English
d2m,1,0,Noun,English
d2n,0.017452006980802792,0.9825479930191972,Verb,English
d2s,0.7037037037037037,0.2962962962962963,Noun,English
d2v,0.17883211678832117,0.8211678832116789,Verb,English
d3_,1,0,Noun,English
d3k,1,0,Noun,English
d3t,1,0,Noun,English
d3T,1,0,Noun,English
d3v,1,0,Noun,English
d4l,1,0,Noun,English
d5,1,0,Noun,English
d5_,1,0,Noun,English
d5l,1,0,Noun,English
d5lt,1,0,Noun,English
d5m,1,0,Noun,English
d5p,0.7840909090909091,0.2159090909090909,Noun,English
d5s,0.9230769230769231,0.07692307692307693,Noun,English
d5z,0.07352941176470588,0.9264705882352942,Verb,English
d6,1,0,Noun,English
d6nz,1,0,Noun,English
d6s,0,1,Verb,English
d6t,0.8180737217598097,0.18192627824019025,Noun,English
d8R,0.001160092807424594,0.9988399071925754,Verb,English
dEb,1,0,Noun,English
dEk,0.9170854271356784,0.0829145728643216,Noun,English
dEl,1,0,Noun,English
dElft,1,0,Noun,English
dElv,0,1,Verb,English
dEn,1,0,Noun,English
dEnt,0.43333333333333335,0.5666666666666667,Verb,English
dEpT,1,0,Noun,English
dEpTs,1,0,Noun,English
dEsk,1,0,Noun,English
dEt,1,0,Noun,English
dET,1,0,Noun,English
did,1,0,Noun,English
dIg,0.06036745406824147,0.9396325459317585,Verb,English
dIgz,1,0,Noun,English
dIJ,0.8743455497382199,0.1256544502617801,Noun,English
dIk,1,0,Noun,English
dil,0.5701814840339995,0.42981851596600046,Noun,English
dIl,1,0,Noun,English
dim,0,1,Verb,English
din,1,0,Noun,English
dIn,0.961038961038961,0.03896103896103896,Noun,English
dInt,1,0,Noun,English
dIp,0.15492957746478872,0.8450704225352113,Verb,English
dIS,0.9438202247191011,0.056179775280898875,Noun,English
dIsk,1,0,Noun,English
djud,1,0,Noun,English
djuk,1,0,Noun,English
djuks,1,0,Noun,English
djun,1,0,Noun,English
djup,0.6,0.4,Noun,English
djus,1,0,Noun,English
djuz,1,0,Noun,English
dQ_,0.14285714285714285,0.8571428571428571,Verb,English
dQf,0,1,Verb,English
dQg,0.9644361254094524,0.035563874590547495,Noun,English
dQk,0.8740554156171285,0.12594458438287154,Noun,English
dQl,1,0,Noun,English
dQn,0.9698905109489051,0.030109489051094892,Noun,English
dQs,1,0,Noun,English
dQt,0.6007067137809188,0.3992932862190813,Noun,English
dr{g,0.1162079510703364,0.8837920489296636,Verb,English
dr{m,1,0,Noun,English
dr{t,0,1,Verb,English
dr#ft,0.784394250513347,0.21560574948665298,Noun,English
dr#fts,1,0,Noun,English
dr$,0.02947103274559194,0.9705289672544081,Verb,English
dr$z,1,0,Noun,English
dr1,1,0,Noun,English
dr1k,1,0,Noun,English
dr1n,0.21585903083700442,0.7841409691629956,Verb,English
dr1p,0.18404907975460122,0.8159509202453987,Verb,English
dr2v,0.13523683045595397,0.8647631695440461,Verb,English
dr5g,1,0,Noun,English
dr5v,1,0,Noun,English
dr6n,0,1,Verb,English
dr6t,1,0,Noun,English
dr6z,0,1,Verb,English
drE_,0.06451612903225806,0.9354838709677419,Verb,English
drEd,0.34494773519163763,0.5365853658536586,Verb,English
drEgz,1,0,Noun,English
drEnJ,0,1,Verb,English
drIft,0.35180995475113125,0.6481900452488688,Verb,English
drIl,0.40285714285714286,0.5971428571428572,Verb,English
drim,0.672514619883041,0.32748538011695905,Noun,English
drINk,0.4440718562874251,0.5559281437125748,Verb,English
drIp,0.17194570135746606,0.8280542986425339,Verb,English
drQp,0.18680267771756456,0.8131973222824355,Verb,English
drQps,1,0,Noun,English
drQs,1,0,Noun,English
drul,0,1,Verb,English
drup,0.05732484076433121,0.9426751592356688,Verb,English
drV_,0.6111111111111112,0.3888888888888889,Noun,English
drVb,0,1,Verb,English
drVg,0.9348066298342541,0.06519337016574586,Noun,English
drVm,0.7447368421052631,0.25526315789473686,Noun,English
du,1.8579993063469257e-4,0.9998142000693653,Verb,English
dum,0.3345070422535211,0.6654929577464789,Verb,English
duS,1,0,Noun,English
dVb,0,1,Verb,English
dVdz,1,0,Noun,English
dVf,1,0,Noun,English
dVg,1,0,Noun,English
dVk,0.6684636118598383,0.33153638814016173,Noun,English
dVkt,1,0,Noun,English
dVmp,0.24938271604938272,0.7506172839506173,Verb,English
dVmps,1,0,Noun,English
dVN,1,0,Noun,English
dVNk,0,1,Verb,English
dVns,1,0,Noun,English
dVsk,1,0,Noun,English
dVst,0.8336980306345733,0.16630196936542668,Noun,English
dVv,1,0,Noun,English
dw$f,0.8073770491803278,0.19262295081967212,Noun,English
dwEl,0,1,Verb,English
E_,0.9072222222222223,0.09277777777777778,Noun,English
Eb,0.5978260869565217,0.40217391304347827,Noun,English
Eft,1,0,Noun,English
Eg,1,0,Noun,English
EJ,0,1,Verb,English
Elf,1,0,Noun,English
Elk,1,0,Noun,English
Elm,1,0,Noun,English
End,0.7550941199301378,0.24490588006986222,Noun,English
f{d,1,0,Noun,English
f{g,0.967741935483871,0.03225806451612903,Noun,English
f{kt,1,0,Noun,English
f{n,0.7346437346437347,0.26535626535626533,Noun,English
f{N,1,0,Noun,English
f#,1,0,Noun,English
f#m,0.9306569343065694,0.06934306569343066,Noun,English
f#s,1,0,Noun,English
f$_,0.18009478672985782,0.8199052132701422,Verb,English
f$d,0.25,0.75,Verb,English
f$k,0.8444444444444444,0.15555555555555556,Noun,English
f$l,0.1395955642530985,0.8604044357469015,Verb,English
f$lt,0.9489916963226572,0.051008303677342826,Noun,English
f$lz,1,0,Noun,English
f$m,0.7132324901487225,0.28676750985127747,Noun,English
f$n,0.6491228070175439,0.3508771929824561,Noun,English
f$s,0.5745930525255916,0.42540694747440844,Noun,English
f$t,1,0,Noun,English
f$z,1,0,Noun,English
f1,0.723404255319149,0,Noun,English
f1d,0,1,Verb,English
f1k,0.21256038647342995,0.391304347826087,Verb,English
f1l,0,1,Verb,English
f1m,1,0,Noun,English
f1n,0,0.9315068493150684,Verb,English
f1s,0.7718510200262025,0.2281489799737975,Noun,English
f1t,0.9817351598173516,0.0182648401826484,Noun,English
f1T,1,0,Noun,English
f1ts,1,0,Noun,English
f1z,0.8531375166889186,0.14686248331108145,Noun,English
f2f,1,0,Noun,English
f2l,0.64739336492891,0.35260663507109,Noun,English
f2nd,6.653700481113727e-4,0.9993346299518886,Verb,English
f2t,0.2074004975124378,0.7925995024875622,Verb,English
f2vz,1,0,Noun,English
f3l,0,1,Verb,English
f3m,0.5439093484419264,0.006798866855524079,Noun,English
f3n,1,0,Noun,English
f3R,0.9621380846325167,0.0378619153674833,Noun,English
f3T,1,0,Noun,English
f3z,1,0,Noun,English
f4l,0.7428571428571429,0.2571428571428571,Noun,English
f5,1,0,Noun,English
f5k,0.6955445544554455,0,Noun,English
f5ks,1,0,Noun,English
f5l,0.7954545454545454,0.20454545454545456,Noun,English
f5ld,0.19506462984723855,0.8049353701527615,Verb,English
f5m,0.7515151515151515,0.24848484848484848,Noun,English
f5n,0.6348665530948325,0.3651334469051675,Noun,English
f6nd,0,1,Verb,English
f6nt,1,0,Noun,English
f7R,0.6502976190476191,0.34970238095238093,Noun,English
fEJ,0,1,Verb,English
fEl,0.31004366812227074,0.6899563318777293,Verb,English
fEn,1,0,Noun,English
fEnd,0,1,Verb,English
fEns,0.9226804123711341,0.07731958762886598,Noun,English
fEz,1,0,Noun,English
fi,0.9965095986038395,0.0034904013961605585,Noun,English
fIb,0.6666666666666666,0.3333333333333333,Noun,English
fid,0.11725417439703154,0.8827458256029684,Verb,English
fif,1,0,Noun,English
fIg,1,0,Noun,English
fIks,0.062095730918499355,0.9379042690815006,Verb,English
fil,0.02505192925033046,0.9749480707496695,Verb,English
fIl,0.0941522618609783,0.9058477381390218,Verb,English
fild,0.9704964539007093,0.02950354609929078,Noun,English
fIlJ,0,1,Verb,English
fIlm,0.9311578006258382,0.06884219937416182,Noun,English
fIlT,1,0,Noun,English
fIn,1,0,Noun,English
find,1,0,Noun,English
fInJ,1,0,Noun,English
fINk,1,0,Noun,English
fIS,0.8401262916188289,0.15987370838117107,Noun,English
fist,0.7916666666666666,0.20833333333333334,Noun,English
fIst,1,0,Noun,English
fit,1,0,Noun,English
fIt,0.12849162011173185,0.6820721178263077,Verb,English
fIz,0.32,0.68,Verb,English
fj$d,1,0,Noun,English
fj9l,0.927461139896373,0.07253886010362694,Noun,English
fju,0.7187797902764538,0,Noun,English
fjud,0.8269230769230769,0.17307692307692307,Noun,English
fjug,1,0,Noun,English
fjuks,1,0,Noun,English
fjum,0.10638297872340426,0.8936170212765957,Verb,English
fjumz,1,0,Noun,English
fl{g,0.88996138996139,0.11003861003861004,Noun,English
fl{k,1,0,Noun,English
fl{ks,1,0,Noun,English
fl{n,1,0,Noun,English
fl{n_,1,0,Noun,English
fl{Nk,0.6631205673758865,0.33687943262411346,Noun,English
fl{p,0.3651315789473684,0.6348684210526315,Verb,English
fl{S,0.39746543778801846,0.5599078341013825,Verb,English
fl{t,0.5911185588604944,0,Noun,English
fl#sk,1,0,Noun,English
fl$,0.6896551724137931,0.3103448275862069,Noun,English
fl$nt,0,1,Verb,English
fl$R,0.9952621604548326,0.004737839545167404,Noun,English
fl1,0,1,Verb,English
fl1k,0.6526315789473685,0.3473684210526316,Noun,English
fl1l,0.15789473684210525,0.8421052631578947,Verb,English
fl1m,0.9462809917355371,0.05371900826446281,Noun,English
fl2,0.2669456066945607,0.7175732217573222,Verb,English
fl2t,1,0,Noun,English
fl2z,1,0,Noun,English
fl3t,0.13157894736842105,0.868421052631579,Verb,English
fl5t,0.23828125,0.76171875,Verb,English
fl6ns,0.375,0.625,Verb,English
fl6t,0,1,Verb,English
fl8R,0.41825095057034223,0.5817490494296578,Verb,English
flEks,0.22033898305084745,0.7796610169491526,Verb,English
flEm,1,0,Noun,English
flES,1,0,Noun,English
fli,0.12681159420289856,0.8731884057971014,Verb,English
flIJ,1,0,Noun,English
flIk,0.23694779116465864,0.7630522088353414,Verb,English
flIks,1,0,Noun,English
flIN,0.05555555555555555,0.9444444444444444,Verb,English
flInJ,0,1,Verb,English
flInt,1,0,Noun,English
flIp,0.04316546762589928,0.8776978417266187,Verb,English
flis,0.64,0.36,Noun,English
flit,0.926056338028169,0.014084507042253521,Noun,English
flIt,0.017543859649122806,0.9824561403508771,Verb,English
flQg,0,1,Verb,English
flQk,0.7843137254901961,0.21568627450980393,Noun,English
flQks,1,0,Noun,English
flQp,0.15,0.8333333333333334,Verb,English
flQs,1,0,Noun,English
flu,1,0,Noun,English
fluk,1,0,Noun,English
flut,0.6043956043956044,0.3956043956043956,Noun,English
flVf,0.5813953488372093,0.4186046511627907,Noun,English
flVks,1,0,Noun,English
flVNk,0,1,Verb,English
flVS,0.2471264367816092,0.7040229885057471,Verb,English
fQb,1,0,Noun,English
fQg,0.9888268156424581,0.0111731843575419,Noun,English
fQks,0.9753521126760564,0.02464788732394366,Noun,English
fQnt,1,0,Noun,English
fQp,1,0,Noun,English
fQs,1,0,Noun,English
fr#ns,1,0,Noun,English
fr$d,1,0,Noun,English
fr1,0.4069767441860465,0.5930232558139535,Verb,English
fr1m,0.723170731707317,0.27682926829268295,Noun,English
fr1mz,1,0,Noun,English
fr1t,0.9519230769230769,0.04807692307692308,Noun,English
fr1z,0.9321839080459771,0.067816091954023,Noun,English
fr2,0.12984054669703873,0.8701594533029613,Verb,English
fr2t,0.9746835443037974,0.02531645569620253,Noun,English
fr2z,1,0,Noun,English
fr4d,1,0,Noun,English
fr6,1,0,Noun,English
fr6n,0.25252525252525254,0.7474747474747475,Verb,English
frEnd,1,0,Noun,English
frEndz,1,0,Noun,English
