Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
spreiden,StandardOrth,spread out,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,sprɛjɪdɛn,epitran
ausbreiten,StandardOrth,spread out,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,awsprajeːtən,epitran
streuen,StandardOrth,spread out,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,stroyən,epitran
słać,StandardOrth,spread out,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,swat͡ɕ,epitran
sypać,StandardOrth,spread out,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,sɨpat͡ɕ,epitran
rozchodzić się,StandardOrth,spread out,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rɔzxɔd͡ʑit͡ɕ ɕɛ,epitran
ивазын,CyrillTrans,pull,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ivazɨn,manual(w)
ласын,CyrillTrans,pull,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,lasɨn,manual(w)
tirare,StandardOrth,pull,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tirare,epitran
tirer,StandardOrth,pull,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tjre,epitran
tirar,StandardOrth,pull,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tiɾaɾ,epitran
puxar,StandardOrth,pull,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,puksɐɾ,epitran
trage,StandardOrth,pull,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,trad͡ʒe,epitran
draga,StandardOrth,pull,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,drɑːɡɑː,epitran
dra,StandardOrth,pull,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,drɑː,epitran
trekken,StandardOrth,pull,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,trɛkkɛn,epitran
ziehen,StandardOrth,pull,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,t͡siːeːən,epitran
ciągnąć,StandardOrth,pull,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,t͡ɕɔŋɡnɔɲt͡ɕ,epitran
pchnąć,StandardOrth,pull,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pxnɔɲt͡ɕ,epitran
pchać,StandardOrth,pull,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pxat͡ɕ,epitran
ивазын,CyrillTrans,stretch,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ivazɨn,manual(w)
тындзын,CyrillTrans,stretch,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tɨnd͡zɨn,manual(w)
тынг кæнын,CyrillTrans,stretch,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tɨnɡ kənɨn,manual(w)
stendere,StandardOrth,stretch,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,stendere,epitran
étendre,StandardOrth,stretch,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,etɑ̃dr,epitran
allargar,StandardOrth,stretch,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,aʎaɾɡaɾ,epitran
estirar,StandardOrth,stretch,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛstiɾaɾ,epitran
esticar,StandardOrth,stretch,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛʃtikɐɾ,epitran
întinde,StandardOrth,stretch,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɨntinde,epitran
sträcka,StandardOrth,stretch,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,strɛkɑː,epitran
spänna,StandardOrth,stretch,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,spɛnɑː,epitran
tänja,StandardOrth,stretch,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tɛnjɑː,epitran
strekken,StandardOrth,stretch,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,strɛkkɛn,epitran
spannen,StandardOrth,stretch,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,spɑnnɛn,epitran
dehnen,StandardOrth,stretch,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,deːnən,epitran
strecken,StandardOrth,stretch,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,streːkən,epitran
spannen,StandardOrth,stretch,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,spanən,epitran
rozciągnąć,StandardOrth,stretch,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rɔzt͡ɕɔŋɡnɔɲt͡ɕ,epitran
rozciągać,StandardOrth,stretch,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rɔzt͡ɕɔŋɡat͡ɕ,epitran
ныммур кæнын,CyrillTrans,"rub, wipe",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,nɨmmur kənɨn,manual(w)
ныррыг кæнын,CyrillTrans,"rub, wipe",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,nɨrrɨɡ kənɨn,manual(w)
ныххафын,CyrillTrans,"rub, wipe",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,nɨχχafɨn,manual(w)
ахафын,CyrillTrans,"rub, wipe",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,aχafɨn,manual(w)
strofinare,StandardOrth,"rub, wipe",Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,strofinare,epitran
frotter,StandardOrth,"rub, wipe",French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,frɔte,epitran
essuyer,StandardOrth,"rub, wipe",French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛsyie,epitran
fregar,StandardOrth,"rub, wipe",Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,fɾɛɡaɾ,epitran
eixugar,StandardOrth,"rub, wipe",Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛʒʃuɡaɾ,epitran
esfregar,StandardOrth,"rub, wipe",Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛʃfɾɛɡɐɾ,epitran
freca,StandardOrth,"rub, wipe",Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,freka,epitran
gnida,StandardOrth,"rub, wipe",Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,gniːdɑː,epitran
wrijven,StandardOrth,"rub, wipe",Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʋrɛjvɛn,epitran
wissen,StandardOrth,"rub, wipe",Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʋɪssɛn,epitran
reiben,StandardOrth,"rub, wipe",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,rajeːbən,epitran
wischen,StandardOrth,"rub, wipe",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,viːeʃən,epitran
trzeć,StandardOrth,"rub, wipe",Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tʐɛt͡ɕ,epitran
wcierać,StandardOrth,"rub, wipe",Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,vt͡ɕɛrat͡ɕ,epitran
стигъын,CyrillTrans,"flay, skin",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,stiʁɨn,manual(w)
царм стигъын,CyrillTrans,"flay, skin",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,t͡sarm stiʁɨn,manual(w)
scoiare,StandardOrth,"flay, skin",Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʃoiare,epitran
scorticare,StandardOrth,"flay, skin",Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʃortikare,epitran
écorcher,StandardOrth,"flay, skin",French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ekɔrʃe,epitran
escorxar,StandardOrth,"flay, skin",Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛskɔɾʃaɾ,epitran
esfolar,StandardOrth,"flay, skin",Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛʃfolɐɾ,epitran
jupui,StandardOrth,"flay, skin",Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʒupui,epitran
flå,StandardOrth,"flay, skin",Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,floː,epitran
villen,StandardOrth,"flay, skin",Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,vɪjɛn,epitran
häuten,StandardOrth,"flay, skin",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,hoyhtən,epitran
zdzierać,StandardOrth,"flay, skin",Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,zd͡ʑɛrat͡ɕ,epitran
łupić,StandardOrth,"flay, skin",Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,wupit͡ɕ,epitran
тонын,CyrillTrans,tear,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tonɨn,manual(w)
скъуынын,CyrillTrans,tear,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,skʼuɨnɨn,manual(w)
рæдувын,CyrillTrans,tear,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rəduvɨn,manual(w)
рæмудзын (срывать),CyrillTrans,tear,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rəmud͡zɨn (srɨvatь),manual(w)
скъуыдтæ кæнын,CyrillTrans,tear,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,skʼuɨdtə kənɨn,manual(w)
strappare,StandardOrth,tear,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,strapːare,epitran
déchirer,StandardOrth,tear,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,deʃire,epitran
estripar,StandardOrth,tear,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɛstɾipaɾ,epitran
romper,StandardOrth,tear,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʁompɛɾ,epitran
rasgar,StandardOrth,tear,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʁɐʃɡɐɾ,epitran
rupe,StandardOrth,tear,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rupe,epitran
riva,StandardOrth,tear,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,riːvɑː,epitran
slita,StandardOrth,tear,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,sliːtɑː,epitran
scheuren,StandardOrth,tear,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,sxøːʏrɛn,epitran
reißen,StandardOrth,tear,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,rajsən,epitran
drzeć,StandardOrth,tear,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,dʐɛt͡ɕ,epitran
rwać,StandardOrth,tear,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rvat͡ɕ,epitran
афадын,CyrillTrans,split,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,afadɨn,manual(w)
адих кæнын,CyrillTrans,split,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,adiχ kənɨn,manual(w)
spaccare,StandardOrth,split,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,spakːare,epitran
fendre,StandardOrth,split,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,fɑ̃drə,epitran
partir,StandardOrth,split,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,paɾtiɾ,epitran
fender,StandardOrth,split,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,fɛndɛɾ,epitran
partir,StandardOrth,split,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pɐɾtiɾ,epitran
despica,StandardOrth,split,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,despika,epitran
splittra,StandardOrth,split,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,splɪtrɑː,epitran
klyva,StandardOrth,split,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,klyːvɑː,epitran
splijten,StandardOrth,split,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,splɛjtɛn,epitran
spalten,StandardOrth,split,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,spaltən,epitran
łupać,StandardOrth,split,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,wupat͡ɕ,epitran
rozszczepiać,StandardOrth,split,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rɔzʂt͡ʂɛpjat͡ɕ,epitran
саст,CyrillTrans,broken,Ossetic,other,Property,Basic actions and technology,Indo-European,NA,NA,sast,manual(w)
пырхгонд,CyrillTrans,broken,Ossetic,other,Property,Basic actions and technology,Indo-European,NA,NA,pɨrχɡond,manual(w)
rotto,StandardOrth,broken,Italian,other,Property,Basic actions and technology,Indo-European,NA,NA,rotːo,epitran
brisé,StandardOrth,broken,French,other,Property,Basic actions and technology,Indo-European,NA,NA,brize,epitran
cassé,StandardOrth,broken,French,other,Property,Basic actions and technology,Indo-European,NA,NA,kase,epitran
trencat,StandardOrth,broken,Catalan,other,Property,Basic actions and technology,Indo-European,NA,NA,tɾɛŋkat,epitran
partido,StandardOrth,broken,Portuguese,other,Property,Basic actions and technology,Indo-European,NA,NA,pɐɾtido,epitran
quebrado,StandardOrth,broken,Portuguese,other,Property,Basic actions and technology,Indo-European,NA,NA,kʷɛbʁɐdo,epitran
sönder,StandardOrth,broken,Swedish,other,Property,Basic actions and technology,Indo-European,NA,NA,sœndeːr,epitran
sönder-slagen,StandardOrth,broken,Swedish,other,Property,Basic actions and technology,Indo-European,NA,NA,sœndeːr-slɑːjeːn,epitran
bruten,StandardOrth,broken,Swedish,other,Property,Basic actions and technology,Indo-European,NA,NA,brʉːteːn,epitran
gebroken,StandardOrth,broken,Dutch,other,Property,Basic actions and technology,Indo-European,NA,NA,ɣɛproːkɛn,epitran
gebrochen,StandardOrth,broken,German,other,Property,Basic actions and technology,Indo-European,Original (M. R. Key),NA,ɡeproːxən,epitran
złamany,StandardOrth,broken,Polish,other,Property,Basic actions and technology,Indo-European,NA,NA,zwamanɨ,epitran
сæттын,CyrillTrans,break,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,səttɨn,manual(w)
пырх кæнын (врата),CyrillTrans,break,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pɨrχ kənɨn (vrata),manual(w)
хæйттæ кæнын (делить),CyrillTrans,break,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,χəjttə kənɨn (delitь),manual(w)
rompere,StandardOrth,break,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rompere,epitran
casser,StandardOrth,break,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kase,epitran
briser,StandardOrth,break,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,brize,epitran
trencar,StandardOrth,break,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tɾɛŋkaɾ,epitran
romper,StandardOrth,break,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ʁompɛɾ,epitran
quebrar,StandardOrth,break,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kʷɛbʁɐɾ,epitran
sparge,StandardOrth,break,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,spard͡ʒe,epitran
frînge (rupe),StandardOrth,break,Romanian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,frɨnd͡ʒe (rupe),epitran
bryta,StandardOrth,break,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,bryːtɑː,epitran
bräcka,StandardOrth,break,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,brɛkɑː,epitran
breken,StandardOrth,break,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,preːkɛn,epitran
brechen,StandardOrth,break,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,preːxən,epitran
łamać,StandardOrth,break,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,wamat͡ɕ,epitran
фæрæт,CyrillTrans,ax,Ossetic,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,fərət,manual(w)
scure,StandardOrth,ax,Italian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ʃure,epitran
ascia,StandardOrth,ax,Italian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ast͡ʃa,epitran
hache,StandardOrth,ax,French,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,aʃ,epitran
destral,StandardOrth,ax,Catalan,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,dɛstɾal,epitran
machado,StandardOrth,ax,Portuguese,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,mɐkɐdo,epitran
topor,StandardOrth,ax,Romanian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,topor,epitran
secure,StandardOrth,ax,Romanian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,sekure,epitran
yxa,StandardOrth,ax,Swedish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,yːksɑː,epitran
bijl,StandardOrth,ax,Dutch,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,bɛjl,epitran
Beil,StandardOrth,ax,German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,bajl,epitran
Axt,StandardOrth,ax,German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,akst,epitran
siekiera (topór),StandardOrth,ax,Polish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ɕɛkʲɛra (tɔpur),epitran
тадзин,CyrillTrans,adze,Ossetic,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,tad͡zin,manual(w)
пъæнæз,CyrillTrans,adze,Ossetic,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,pʼənəz,manual(w)
ascia,StandardOrth,adze,Italian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ast͡ʃa,epitran
herminette,StandardOrth,adze,French,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ɛrminɛ,epitran
aixa,StandardOrth,adze,Catalan,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,aʒʃa,epitran
enxó,StandardOrth,adze,Portuguese,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ɛnksɔ,epitran
skarv-yxa,StandardOrth,adze,Swedish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,ɧɐrv-yːksɑː,epitran
däxel,StandardOrth,adze,Swedish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,dɛːkseːl,epitran
dissel,StandardOrth,adze,Dutch,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,dɪssɛl,epitran
Dechsel,StandardOrth,adze,German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,deksel,epitran
Dachsbeil,StandardOrth,adze,German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,daksbajl,epitran
Querbeil,StandardOrth,adze,German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,qvərbajl,epitran
toporek,StandardOrth,adze,Polish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,tɔpɔrɛk,epitran
хæсгард,CyrillTrans,"scissors, shears",Ossetic,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,χəsɡard,manual(w)
forbici,StandardOrth,"scissors, shears",Italian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,forbit͡ʃi,epitran
ciseaux,StandardOrth,"scissors, shears",French,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,sizo,epitran
tisores,StandardOrth,"scissors, shears",Catalan,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,tisɔɾɛs,epitran
tesoura,StandardOrth,"scissors, shears",Portuguese,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,tɛzowuɾɐ,epitran
foarfeci,StandardOrth,"scissors, shears",Romanian,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,foarfet͡ʃi,epitran
sax,StandardOrth,"scissors, shears",Swedish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,sɑːks,epitran
schaar,StandardOrth,"scissors, shears",Dutch,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,sxaːr,epitran
Schere,StandardOrth,"scissors, shears",German,noun,Person/Thing,Basic actions and technology,Indo-European,Original (M. R. Key),NA,ʃərə,epitran
nożyce,StandardOrth,"scissors, shears",Polish,noun,Person/Thing,Basic actions and technology,Indo-European,NA,NA,nɔʐɨt͡sɛ,epitran
coltello,StandardOrth,knife,Italian,noun,Person/Thing,Food and drink,Indo-European,NA,NA,koltelːo,epitran
couteau,StandardOrth,knife,French,noun,Person/Thing,Food and drink,Indo-European,NA,NA,kuto,epitran
ganivet,StandardOrth,knife,Catalan,noun,Person/Thing,Food and drink,Indo-European,NA,NA,ɡanibɛt,epitran
faca,StandardOrth,knife,Portuguese,noun,Person/Thing,Food and drink,Indo-European,NA,NA,fɐkɐ,epitran
cuţit,StandardOrth,knife,Romanian,noun,Person/Thing,Food and drink,Indo-European,NA,NA,kut͡sit,epitran
knif,StandardOrth,knife,Swedish,noun,Person/Thing,Food and drink,Indo-European,NA,NA,kniːf,epitran
kniv,StandardOrth,knife,Swedish,noun,Person/Thing,Food and drink,Indo-European,NA,NA,kniːv,epitran
mes,StandardOrth,knife,Dutch,noun,Person/Thing,Food and drink,Indo-European,NA,NA,mɛs,epitran
Messer,StandardOrth,knife,German,noun,Person/Thing,Food and drink,Indo-European,Original (M. R. Key),NA,mesər,epitran
nóż,StandardOrth,knife,Polish,noun,Person/Thing,Food and drink,Indo-European,NA,NA,nuʐ,epitran
ныррæхойын,CyrillTrans,stab,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,nɨrrəχojɨn,manual(w)
аргæвдын,CyrillTrans,stab,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,arɡəvdɨn,manual(w)
волосы – ныссадзын,CyrillTrans,stab,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,volosɨ – nɨssad͡zɨn,manual(w)
accoltellare,StandardOrth,stab,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,akːoltelːare,epitran
poignarder,StandardOrth,stab,French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pwaɲarde,epitran
apunyalar,StandardOrth,stab,Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,apuɲalaɾ,epitran
apunhalar,StandardOrth,stab,Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɐpunɐlɐɾ,epitran
sticka,StandardOrth,stab,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,stɪkɑː,epitran
stöta,StandardOrth,stab,Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,støːtɑː,epitran
steken,StandardOrth,stab,Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,steːkɛn,epitran
stechen,StandardOrth,stab,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,steːxən,epitran
erstechen,StandardOrth,stab,German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,ərsteːxən,epitran
pchnąć,StandardOrth,stab,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pxnɔɲt͡ɕ,epitran
dźgnąć (nożem),StandardOrth,stab,Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,d͡ʑɡnɔɲt͡ɕ (nɔʐɛm),epitran
калын (деревья),CyrillTrans,"chop, hew",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kalɨn (derevья),manual(w)
сæттын (дрова),CyrillTrans,"chop, hew",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,səttɨn (drova),manual(w)
кæрдын,CyrillTrans,"chop, hew",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kərdɨn,manual(w)
лыгтæ кæнын (измельчать),CyrillTrans,"chop, hew",Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,lɨɡtə kənɨn (izmelьt͡ʃatь),manual(w)
tagliare,StandardOrth,"chop, hew",Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,taʎare,epitran
spaccare,StandardOrth,"chop, hew",Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,spakːare,epitran
tailler,StandardOrth,"chop, hew",French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,tajle,epitran
couper,StandardOrth,"chop, hew",French,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kupe,epitran
tallar,StandardOrth,"chop, hew",Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,taʎaɾ,epitran
podar,StandardOrth,"chop, hew",Catalan,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,pɔdaɾ,epitran
abater,StandardOrth,"chop, hew",Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,ɐbɐtɛɾ,epitran
cortar,StandardOrth,"chop, hew",Portuguese,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,koɾtɐɾ,epitran
hugga,StandardOrth,"chop, hew",Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,hɵgɑː,epitran
hacka,StandardOrth,"chop, hew",Swedish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,hɐkɑː,epitran
hakken,StandardOrth,"chop, hew",Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,hɑkkɛn,epitran
houwen,StandardOrth,"chop, hew",Dutch,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,hɑwywɛn,epitran
hauen,StandardOrth,"chop, hew",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,hawən,epitran
zerhacken,StandardOrth,"chop, hew",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,t͡sərhaːkən,epitran
hacken,StandardOrth,"chop, hew",German,verb,Action/Process,Basic actions and technology,Indo-European,Original (M. R. Key),NA,haːkən,epitran
rąbać,StandardOrth,"chop, hew",Polish,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,rɔmbat͡ɕ,epitran
цыбыр кæнын,CyrillTrans,cut down,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,t͡sɨbɨr kənɨn,manual(w)
къаддæр кæнын,CyrillTrans,cut down,Ossetic,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,kʼaddər kənɨn,manual(w)
abbattere,StandardOrth,cut down,Italian,verb,Action/Process,Basic actions and technology,Indo-European,NA,NA,abːatːere,epitran
