Form,transcription,englishName,language,englishPOS,ontologicalCategory,semanticField,languageFamily,alt_transcription,alt_form,phon,method
rápido,StandardOrth,"swift, fast, quick",Portuguese,other,Property,Time,Indo-European,NA,NA,ʁapido,epitran
ligeiro,StandardOrth,"swift, fast, quick",Portuguese,other,Property,Time,Indo-European,NA,NA,liʒɛjɾo,epitran
repede,StandardOrth,"swift, fast, quick",Romanian,other,Property,Time,Indo-European,NA,NA,repede,epitran
iute,StandardOrth,"swift, fast, quick",Romanian,other,Property,Time,Indo-European,NA,NA,iute,epitran
snabb,StandardOrth,"swift, fast, quick",Swedish,other,Property,Time,Indo-European,NA,NA,snɐb,epitran
snabbt,StandardOrth,"swift, fast, quick",Swedish,other,Property,Time,Indo-European,NA,NA,snɐbt,epitran
snar,StandardOrth,"swift, fast, quick",Swedish,other,Property,Time,Indo-European,NA,NA,snɑːr,epitran
rask,StandardOrth,"swift, fast, quick",Swedish,other,Property,Time,Indo-European,NA,NA,rɐɧ,epitran
fort,StandardOrth,"swift, fast, quick",Swedish,other,Property,Time,Indo-European,NA,NA,fɔrt,epitran
vlug,StandardOrth,"swift, fast, quick",Dutch,other,Property,Time,Indo-European,NA,NA,vlʏx,epitran
snel,StandardOrth,"swift, fast, quick",Dutch,other,Property,Time,Indo-European,NA,NA,snɛl,epitran
gauw,StandardOrth,"swift, fast, quick",Dutch,other,Property,Time,Indo-European,NA,NA,ɣaw,epitran
ras,StandardOrth,"swift, fast, quick",Dutch,other,Property,Time,Indo-European,NA,NA,rɑs,epitran
schnell,StandardOrth,"swift, fast, quick",German,other,Property,Time,Indo-European,Original (M. R. Key),NA,ʃnel,epitran
rasch,StandardOrth,"swift, fast, quick",German,other,Property,Time,Indo-European,Original (M. R. Key),NA,raʃ,epitran
geschwind,StandardOrth,"swift, fast, quick",German,other,Property,Time,Indo-European,Original (M. R. Key),NA,ɡeʃvint,epitran
prędki,StandardOrth,"swift, fast, quick",Polish,other,Property,Time,Indo-European,NA,NA,prɛndkʲi,epitran
