Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon
començar,StandardOrth,NA,NA,Catalan,"begin, beginning",Action/Process,NA
començament,StandardOrth,NA,NA,Catalan,"begin, beginning",Action/Process,NA
começar,StandardOrth,NA,NA,Portuguese,"begin, beginning",Action/Process,NA
începe,StandardOrth,NA,NA,Romanian,"begin, beginning",Action/Process,NA
început,StandardOrth,NA,NA,Romanian,"begin, beginning",Action/Process,NA
begynde,StandardOrth,NA,NA,Danish,"begin, beginning",Action/Process,NA
begyndelse,StandardOrth,NA,NA,Danish,"begin, beginning",Action/Process,NA
börja,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA
begynna,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA
början,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA
begynnelse,StandardOrth,NA,NA,Swedish,"begin, beginning",Action/Process,NA
begin,StandardOrth,NA,NA,English,"begin, beginning",Action/Process,NA
beginning,StandardOrth,NA,NA,English,"begin, beginning",Action/Process,NA
beginnen,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA
aanvangen,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA
aanvang,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA
begin,StandardOrth,NA,NA,Dutch,"begin, beginning",Action/Process,NA
anfangen,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE
beginnen,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE
Anfang,StandardOrth,NA,Original (M. R. Key),German,"begin, beginning",Action/Process,FALSE
zacząć,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA
wszcząć,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA
początek,StandardOrth,NA,NA,Polish,"begin, beginning",Action/Process,NA
сындæг кæнын,CyrillTrans,NA,NA,Ossetic,"retard, delay",Action/Process,NA
уромын,CyrillTrans,NA,NA,Ossetic,"retard, delay",Action/Process,NA
фæстиат кæнын,CyrillTrans,NA,NA,Ossetic,"retard, delay",Action/Process,NA
ritardare,StandardOrth,NA,NA,Italian,"retard, delay",Action/Process,NA
différer,StandardOrth,NA,NA,French,"retard, delay",Action/Process,NA
retarder,StandardOrth,NA,NA,French,"retard, delay",Action/Process,NA
retard,StandardOrth,NA,NA,Catalan,"retard, delay",Action/Process,NA
demorar,StandardOrth,NA,NA,Portuguese,"retard, delay",Action/Process,NA
atrasar,StandardOrth,NA,NA,Portuguese,"retard, delay",Action/Process,NA
întîrzia,StandardOrth,NA,NA,Romanian,"retard, delay",Action/Process,NA
zăbovi,StandardOrth,NA,NA,Romanian,"retard, delay",Action/Process,NA
forsinke,StandardOrth,NA,NA,Danish,"retard, delay",Action/Process,NA
dröja,StandardOrth,NA,NA,Swedish,"retard, delay",Action/Process,NA
retard,StandardOrth,NA,NA,English,"retard, delay",Action/Process,NA
delay,StandardOrth,NA,NA,English,"retard, delay",Action/Process,NA
dralen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA
talmen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA
vertragen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA
uitstellen,StandardOrth,NA,NA,Dutch,"retard, delay",Action/Process,NA
zögern,StandardOrth,NA,Original (M. R. Key),German,"retard, delay",Action/Process,FALSE
säumen,StandardOrth,NA,Original (M. R. Key),German,"retard, delay",Action/Process,FALSE
ociągać się,StandardOrth,NA,NA,Polish,"retard, delay",Action/Process,NA
odkładać,StandardOrth,NA,NA,Polish,"retard, delay",Action/Process,NA
opóźniać,StandardOrth,NA,NA,Polish,"retard, delay",Action/Process,NA
тагъд кæнын,CyrillTrans,NA,NA,Ossetic,"hasten, hurry",Action/Process,NA
тындзын,CyrillTrans,NA,NA,Ossetic,"hasten, hurry",Action/Process,NA
affrettarsi,StandardOrth,NA,NA,Italian,"hasten, hurry",Action/Process,NA
se dépêcher,StandardOrth,NA,NA,French,"hasten, hurry",Action/Process,NA
espavilar-se,StandardOrth,NA,NA,Catalan,"hasten, hurry",Action/Process,NA
afanyar-se,StandardOrth,NA,NA,Catalan,"hasten, hurry",Action/Process,NA
apressar,StandardOrth,NA,NA,Portuguese,"hasten, hurry",Action/Process,NA
se grăbi,StandardOrth,NA,NA,Romanian,"hasten, hurry",Action/Process,NA
skynde sig,StandardOrth,NA,NA,Danish,"hasten, hurry",Action/Process,NA
haste,StandardOrth,NA,NA,Danish,"hasten, hurry",Action/Process,NA
ile,StandardOrth,NA,NA,Danish,"hasten, hurry",Action/Process,NA
skynda sig,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA
hasta,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA
ila,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA
brådska,StandardOrth,NA,NA,Swedish,"hasten, hurry",Action/Process,NA
hasten,StandardOrth,NA,NA,English,"hasten, hurry",Action/Process,NA
hurry,StandardOrth,NA,NA,English,"hasten, hurry",Action/Process,NA
zich haasten,StandardOrth,NA,NA,Dutch,"hasten, hurry",Action/Process,NA
zich spoeden,StandardOrth,NA,NA,Dutch,"hasten, hurry",Action/Process,NA
eilen,StandardOrth,NA,Original (M. R. Key),German,"hasten, hurry",Action/Process,FALSE
sich beeilen,StandardOrth,NA,Original (M. R. Key),German,"hasten, hurry",Action/Process,FALSE
spieszyć,StandardOrth,NA,NA,Polish,"hasten, hurry",Action/Process,NA
kwapić się,StandardOrth,NA,NA,Polish,"hasten, hurry",Action/Process,NA
сындæг,CyrillTrans,NA,NA,Ossetic,slow,Property,NA
цадæг,CyrillTrans,NA,NA,Ossetic,slow,Property,NA
сабыр,CyrillTrans,NA,NA,Ossetic,slow,Property,NA
lento,StandardOrth,NA,NA,Italian,slow,Property,NA
lent,StandardOrth,NA,NA,French,slow,Property,NA
poc a poc,StandardOrth,NA,NA,Catalan,slow,Property,NA
lent,StandardOrth,NA,NA,Catalan,slow,Property,NA
vagaroso,StandardOrth,NA,NA,Portuguese,slow,Property,NA
devagar,StandardOrth,NA,NA,Portuguese,slow,Property,NA
încet,StandardOrth,NA,NA,Romanian,slow,Property,NA
langsom,StandardOrth,NA,NA,Danish,slow,Property,NA
sakta,StandardOrth,NA,NA,Swedish,slow,Property,NA
långsam,StandardOrth,NA,NA,Swedish,slow,Property,NA
långsamt,StandardOrth,NA,NA,Swedish,slow,Property,NA
trög,StandardOrth,NA,NA,Swedish,slow,Property,NA
slow,StandardOrth,NA,NA,English,slow,Property,NA
langzaam,StandardOrth,NA,NA,Dutch,slow,Property,NA
langsam,StandardOrth,NA,Original (M. R. Key),German,slow,Property,FALSE
powolny,StandardOrth,NA,NA,Polish,slow,Property,NA
тагъд,CyrillTrans,NA,NA,Ossetic,"swift, fast, quick",Property,NA
цырд,CyrillTrans,NA,NA,Ossetic,"swift, fast, quick",Property,NA
rapido,StandardOrth,NA,NA,Italian,"swift, fast, quick",Property,NA
vite,StandardOrth,NA,NA,French,"swift, fast, quick",Property,NA
rapide,StandardOrth,NA,NA,French,"swift, fast, quick",Property,NA
ràpid,StandardOrth,NA,NA,Catalan,"swift, fast, quick",Property,NA
rápido,StandardOrth,NA,NA,Portuguese,"swift, fast, quick",Property,NA
ligeiro,StandardOrth,NA,NA,Portuguese,"swift, fast, quick",Property,NA
repede,StandardOrth,NA,NA,Romanian,"swift, fast, quick",Property,NA
iute,StandardOrth,NA,NA,Romanian,"swift, fast, quick",Property,NA
hurtig,StandardOrth,NA,NA,Danish,"swift, fast, quick",Property,NA
snabb,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA
snabbt,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA
snar,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA
rask,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA
fort,StandardOrth,NA,NA,Swedish,"swift, fast, quick",Property,NA
swift,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA
fast,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA
quick,StandardOrth,NA,NA,English,"swift, fast, quick",Property,NA
vlug,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA
snel,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA
gauw,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA
ras,StandardOrth,NA,NA,Dutch,"swift, fast, quick",Property,NA
schnell,StandardOrth,NA,Original (M. R. Key),German,"swift, fast, quick",Property,FALSE
rasch,StandardOrth,NA,Original (M. R. Key),German,"swift, fast, quick",Property,FALSE
geschwind,StandardOrth,NA,Original (M. R. Key),German,"swift, fast, quick",Property,FALSE
prędki,StandardOrth,NA,NA,Polish,"swift, fast, quick",Property,NA
szybki,StandardOrth,NA,NA,Polish,"swift, fast, quick",Property,NA
bystry,StandardOrth,NA,NA,Polish,"swift, fast, quick",Property,NA
æвæстиатæй,CyrillTrans,NA,NA,Ossetic,immediately,Other,NA
subito,StandardOrth,NA,NA,Italian,immediately,Other,NA
tout de suite,StandardOrth,NA,NA,French,immediately,Other,NA
ja,StandardOrth,NA,NA,Catalan,immediately,Other,NA
immediatament,StandardOrth,NA,NA,Catalan,immediately,Other,NA
de imediato,StandardOrth,NA,NA,Portuguese,immediately,Other,NA
îndată,StandardOrth,NA,NA,Romanian,immediately,Other,NA
straks,StandardOrth,NA,NA,Danish,immediately,Other,NA
snart,StandardOrth,NA,NA,Swedish,immediately,Other,NA
strax,StandardOrth,NA,NA,Swedish,immediately,Other,NA
genast,StandardOrth,NA,NA,Swedish,immediately,Other,NA
immediately,StandardOrth,NA,NA,English,immediately,Other,NA
dadelijk,StandardOrth,NA,NA,Dutch,immediately,Other,NA
onmiddellijk,StandardOrth,NA,NA,Dutch,immediately,Other,NA
bald,StandardOrth,NA,Original (M. R. Key),German,immediately,Other,FALSE
sofort,StandardOrth,NA,Original (M. R. Key),German,immediately,Other,FALSE
sogleich,StandardOrth,NA,Original (M. R. Key),German,immediately,Other,FALSE
rychło,StandardOrth,NA,NA,Polish,immediately,Other,NA
zaraz,StandardOrth,NA,NA,Polish,immediately,Other,NA
natychmiast,StandardOrth,NA,NA,Polish,immediately,Other,NA
ацы сахат,CyrillTrans,NA,NA,Ossetic,now,Other,NA
ныртæккæ,CyrillTrans,NA,NA,Ossetic,now,Other,NA
ora,StandardOrth,NA,NA,Italian,now,Other,NA
adesso,StandardOrth,NA,NA,Italian,now,Other,NA
maintenant,StandardOrth,NA,NA,French,now,Other,NA
ara,StandardOrth,NA,NA,Catalan,now,Other,NA
agora,StandardOrth,NA,NA,Portuguese,now,Other,NA
acum,StandardOrth,NA,NA,Romanian,now,Other,NA
nu,StandardOrth,NA,NA,Danish,now,Other,NA
nu,StandardOrth,NA,NA,Swedish,now,Other,NA
now,StandardOrth,NA,NA,English,now,Other,NA
nu,StandardOrth,NA,NA,Dutch,now,Other,NA
jetzt,StandardOrth,NA,Original (M. R. Key),German,now,Other,FALSE
nun,StandardOrth,NA,Original (M. R. Key),German,now,Other,FALSE
teraz,StandardOrth,NA,NA,Polish,now,Other,NA
æрæгмæ,CyrillTrans,NA,NA,Ossetic,late,Other,NA
æнафон,CyrillTrans,NA,NA,Ossetic,late,Other,NA
tardi,StandardOrth,NA,NA,Italian,late,Other,NA
tard,StandardOrth,NA,NA,French,late,Other,NA
tard,StandardOrth,NA,NA,Catalan,late,Other,NA
tarde,StandardOrth,NA,NA,Portuguese,late,Other,NA
tîrziu,StandardOrth,NA,NA,Romanian,late,Other,NA
sent,StandardOrth,NA,NA,Danish,late,Other,NA
sent,StandardOrth,NA,NA,Swedish,late,Other,NA
late,StandardOrth,NA,NA,English,late,Other,NA
laat,StandardOrth,NA,NA,Dutch,late,Other,NA
spät,StandardOrth,NA,Original (M. R. Key),German,late,Other,FALSE
późno,StandardOrth,NA,NA,Polish,late,Other,NA
późny,StandardOrth,NA,NA,Polish,late,Other,NA
раджы,CyrillTrans,NA,NA,Ossetic,early,Other,NA
presto,StandardOrth,NA,NA,Italian,early,Other,NA
tôt,StandardOrth,NA,NA,French,early,Other,NA
de bonne heure,StandardOrth,NA,NA,French,early,Other,NA
aviat,StandardOrth,NA,NA,Catalan,early,Other,NA
cedo,StandardOrth,NA,NA,Portuguese,early,Other,NA
de vreme,StandardOrth,NA,NA,Romanian,early,Other,NA
de dimineaţă,StandardOrth,NA,NA,Romanian,early,Other,NA
tidlig,StandardOrth,NA,NA,Danish,early,Other,NA
tidigt,StandardOrth,NA,NA,Swedish,early,Other,NA
arla,StandardOrth,NA,NA,Swedish,early,Other,NA
early,StandardOrth,NA,NA,English,early,Other,NA
vroeg,StandardOrth,NA,NA,Dutch,early,Other,NA
früh,StandardOrth,NA,Original (M. R. Key),German,early,Other,FALSE
rano,StandardOrth,NA,NA,Polish,early,Other,NA
wcześnie,StandardOrth,NA,NA,Polish,early,Other,NA
зæронд,CyrillTrans,NA,NA,Ossetic,old,Property,NA
рагон,CyrillTrans,NA,NA,Ossetic,old,Property,NA
vecchio,StandardOrth,NA,NA,Italian,old,Property,NA
vieux,StandardOrth,NA,NA,French,old,Property,NA
vell,StandardOrth,NA,NA,Catalan,old,Property,NA
velho,StandardOrth,NA,NA,Portuguese,old,Property,NA
vechiu,StandardOrth,NA,NA,Romanian,old,Property,NA
bătrîn,StandardOrth,NA,NA,Romanian,old,Property,NA
gammel,StandardOrth,NA,NA,Danish,old,Property,NA
gammal,StandardOrth,NA,NA,Swedish,old,Property,NA
old,StandardOrth,NA,NA,English,old,Property,NA
oud,StandardOrth,NA,NA,Dutch,old,Property,NA
alt,StandardOrth,NA,Original (M. R. Key),German,old,Property,FALSE
stary,StandardOrth,NA,NA,Polish,old,Property,NA
æрыгон,CyrillTrans,NA,NA,Ossetic,young,Property,NA
æвзонг,CyrillTrans,NA,NA,Ossetic,young,Property,NA
giovine,StandardOrth,NA,NA,Italian,young,Property,NA
jeune,StandardOrth,NA,NA,French,young,Property,NA
jove,StandardOrth,NA,NA,Catalan,young,Property,NA
jovem,StandardOrth,NA,NA,Portuguese,young,Property,NA
novo,StandardOrth,NA,NA,Portuguese,young,Property,NA
tînăr,StandardOrth,NA,NA,Romanian,young,Property,NA
june,StandardOrth,NA,NA,Romanian,young,Property,NA
ung,StandardOrth,NA,NA,Danish,young,Property,NA
ung,StandardOrth,NA,NA,Swedish,young,Property,NA
young,StandardOrth,NA,NA,English,young,Property,NA
jong,StandardOrth,NA,NA,Dutch,young,Property,NA
jung,StandardOrth,NA,Original (M. R. Key),German,young,Property,FALSE
młody,StandardOrth,NA,NA,Polish,young,Property,NA
кар,CyrillTrans,NA,NA,Ossetic,age,Person/Thing,NA
ас,CyrillTrans,NA,NA,Ossetic,age,Person/Thing,NA
дуг,CyrillTrans,NA,NA,Ossetic,age,Person/Thing,NA
заман,CyrillTrans,NA,NA,Ossetic,age,Person/Thing,NA
età,StandardOrth,NA,NA,Italian,age,Person/Thing,NA
âge,StandardOrth,NA,NA,French,age,Person/Thing,NA
edat,StandardOrth,NA,NA,Catalan,age,Person/Thing,NA
idade,StandardOrth,NA,NA,Portuguese,age,Person/Thing,NA
virstă,StandardOrth,NA,NA,Romanian,age,Person/Thing,NA
etate,StandardOrth,NA,NA,Romanian,age,Person/Thing,NA
alder,StandardOrth,NA,NA,Danish,age,Person/Thing,NA
ålder,StandardOrth,NA,NA,Swedish,age,Person/Thing,NA
age,StandardOrth,NA,NA,English,age,Person/Thing,NA
leeftijd,StandardOrth,NA,NA,Dutch,age,Person/Thing,NA
ouderdom,StandardOrth,NA,NA,Dutch,age,Person/Thing,NA
Alter,StandardOrth,NA,Original (M. R. Key),German,age,Person/Thing,FALSE
wiek,StandardOrth,NA,NA,Polish,age,Person/Thing,NA
stulecie,StandardOrth,NA,NA,Polish,age,Person/Thing,NA
нæуæг,CyrillTrans,NA,NA,Ossetic,new,Property,NA
ног,CyrillTrans,NA,NA,Ossetic,new,Property,NA
nuovo,StandardOrth,NA,NA,Italian,new,Property,NA
nouveau,StandardOrth,NA,NA,French,new,Property,NA
nou,StandardOrth,NA,NA,Catalan,new,Property,NA
novo,StandardOrth,NA,NA,Portuguese,new,Property,NA
nou,StandardOrth,NA,NA,Romanian,new,Property,NA
ny,StandardOrth,NA,NA,Danish,new,Property,NA
ny,StandardOrth,NA,NA,Swedish,new,Property,NA
new,StandardOrth,NA,NA,English,new,Property,NA
nieuw,StandardOrth,NA,NA,Dutch,new,Property,NA
neu,StandardOrth,NA,Original (M. R. Key),German,new,Property,FALSE
nowy,StandardOrth,NA,NA,Polish,new,Property,NA
рæстæг,CyrillTrans,NA,NA,Ossetic,time,Person/Thing,NA
афон,CyrillTrans,NA,NA,Ossetic,time,Person/Thing,NA
дуг,CyrillTrans,NA,NA,Ossetic,time,Person/Thing,NA
заман,CyrillTrans,NA,NA,Ossetic,time,Person/Thing,NA
сахат,CyrillTrans,NA,NA,Ossetic,time,Person/Thing,NA
tempo,StandardOrth,NA,NA,Italian,time,Person/Thing,NA
heure,StandardOrth,NA,NA,French,time,Person/Thing,NA
temps,StandardOrth,NA,NA,French,time,Person/Thing,NA
temps,StandardOrth,NA,NA,Catalan,time,Person/Thing,NA
tempo,StandardOrth,NA,NA,Portuguese,time,Person/Thing,NA
timp,StandardOrth,NA,NA,Romanian,time,Person/Thing,NA
vreme,StandardOrth,NA,NA,Romanian,time,Person/Thing,NA
tid,StandardOrth,NA,NA,Danish,time,Person/Thing,NA
tid,StandardOrth,NA,NA,Swedish,time,Person/Thing,NA
