Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
slot,StandardOrth,NA,NA,Dutch,end (temporal),Person/Thing,NA,slɔt,epitran
Ende,StandardOrth,NA,Original (M. R. Key),German,end (temporal),Person/Thing,FALSE,əndə,epitran
Schluss,StandardOrth,NA,Original (M. R. Key),German,end (temporal),Person/Thing,FALSE,ʃlus,epitran
beigas,StandardOrth,NA,NA,Latvian,end (temporal),Person/Thing,NA,beiɡɐs,multilingual-g2p
gals,StandardOrth,NA,NA,Latvian,end (temporal),Person/Thing,NA,ɡals,multilingual-g2p
konec,StandardOrth,NA,NA,Czech,end (temporal),Person/Thing,NA,konets,multilingual-g2p
koniec,StandardOrth,NA,NA,Polish,end (temporal),Person/Thing,NA,kɔɲɛt͡s,epitran
хæссын,CyrillTrans,NA,NA,Ossetic,"last, endure",Action/Process,NA,χəssɨn,
ðiar'ko,LatinTrans,NA,NA,Modern Greek,"last, endure",Action/Process,NA,ðaɪəkəʊ,multilingual-g2p
durare,StandardOrth,NA,NA,Italian,"last, endure",Action/Process,NA,durare,epitran
durer,StandardOrth,NA,NA,French,"last, endure",Action/Process,NA,dyre,epitran
durar,StandardOrth,NA,NA,Catalan,"last, endure",Action/Process,NA,duɾaɾ,epitran
durar,StandardOrth,NA,NA,Portuguese,"last, endure",Action/Process,NA,duɾɐɾ,epitran
suportar,StandardOrth,NA,NA,Portuguese,"last, endure",Action/Process,NA,supoɾtɐɾ,epitran
dura,StandardOrth,NA,NA,Romanian,"last, endure",Action/Process,NA,dura,epitran
vare,StandardOrth,NA,NA,Danish,"last, endure",Action/Process,NA,,
vara,StandardOrth,NA,NA,Swedish,"last, endure",Action/Process,NA,vɑːrɑː,epitran
räcka,StandardOrth,NA,NA,Swedish,"last, endure",Action/Process,NA,rɛkɑː,epitran
last,StandardOrth,NA,NA,English,"last, endure",Action/Process,NA,læˈst,cmu.in.ipa
endure,StandardOrth,NA,NA,English,"last, endure",Action/Process,NA,ɛndjʊˈɹ,cmu.in.ipa
duren,StandardOrth,NA,NA,Dutch,"last, endure",Action/Process,NA,dyːrɛn,epitran
verduren,StandardOrth,NA,NA,Dutch,"last, endure",Action/Process,NA,vɛrdyːrɛn,epitran
dauern,StandardOrth,NA,Original (M. R. Key),German,"last, endure",Action/Process,FALSE,daueən,epitran
(währen),StandardOrth,NA,Original (M. R. Key),German,"last, endure",Action/Process,FALSE,(veːrən),epitran
izturēt,StandardOrth,NA,NA,Latvian,"last, endure",Action/Process,NA,iztuʀet,multilingual-g2p
trvati,StandardOrth,NA,NA,Czech,"last, endure",Action/Process,NA,tr̩vaci,multilingual-g2p
trwać,StandardOrth,NA,NA,Polish,"last, endure",Action/Process,NA,trvat͡ɕ,epitran
идайын,CyrillTrans,NA,NA,Ossetic,"begin, beginning",Action/Process,NA,idajɨn,
райдайæн,CyrillTrans,NA,NA,Ossetic,"begin, beginning",Action/Process,NA,rajdajən,
сæр,CyrillTrans,NA,NA,Ossetic,"begin, beginning",Action/Process,NA,sər,
ar'xizo,LatinTrans,NA,NA,Modern Greek,"begin, beginning",Action/Process,NA,ɑksɪzəʊ,multilingual-g2p
a'rxi,LatinTrans,NA,NA,Modern Greek,"begin, beginning",Action/Process,NA,aəksi,multilingual-g2p
cominciare,StandardOrth,NA,NA,Italian,"begin, beginning",Action/Process,NA,komint͡ʃare,epitran
inizio,StandardOrth,NA,NA,Italian,"begin, beginning",Action/Process,NA,inisio,epitran
commencement,StandardOrth,NA,NA,French,"begin, beginning",Action/Process,NA,kɔmɛnsɛm,epitran
début,StandardOrth,NA,NA,French,"begin, beginning",Action/Process,NA,deby,epitran
començar,StandardOrth,NA,NA,Catalan,"begin, beginning",Action/Process,NA,kɔmɛŋķaɾ,epitran
començament,StandardOrth,NA,NA,Catalan,"begin, beginning",Action/Process,NA,kɔmɛŋķamɛnt,epitran
começar,StandardOrth,NA,NA,Portuguese,"begin, beginning",Action/Process,NA,komɛsɐɾ,epitran
începe,StandardOrth,NA,NA,Romanian,"begin, beginning",Action/Process,NA,ɨnt͡ʃepe,epitran
început,StandardOrth,NA,NA,Romanian,"begin, beginning",Action/Process,NA,ɨnt͡ʃeput,epitran
begynde,StandardOrth,NA,NA,Danish,"begin, beginning",Action/Process,NA,,
