Form,transcription,alt_form,alt_transcription,language,english.name,ontological.category,has.phon,phon,method
Muschel,StandardOrth,NA,Original (M. R. Key),German,shell,Person/Thing,FALSE,muːʃel,epitran
gliemežnīca,StandardOrth,NA,NA,Latvian,shell,Person/Thing,NA,ɡliemeznitsɐ,multilingual-g2p
gliemežvāks,StandardOrth,NA,NA,Latvian,shell,Person/Thing,NA,ɡliemezvɐks,multilingual-g2p
mušle,StandardOrth,NA,NA,Czech,shell,Person/Thing,NA,musle,multilingual-g2p
ulita,StandardOrth,NA,NA,Czech,shell,Person/Thing,NA,ulita,multilingual-g2p
lastura,StandardOrth,NA,NA,Czech,shell,Person/Thing,NA,lastura,multilingual-g2p
muszla,StandardOrth,NA,NA,Polish,shell,Person/Thing,NA,muʂla,epitran
skorupa,StandardOrth,NA,NA,Polish,shell,Person/Thing,NA,skɔrupa,epitran
'vranxia,LatinTrans,NA,NA,Modern Greek,gill,Person/Thing,NA,viɹaŋksiə,multilingual-g2p
branchia,StandardOrth,NA,NA,Italian,gill,Person/Thing,NA,brankia,epitran
ouïes,StandardOrth,NA,NA,French,gill,Person/Thing,NA,uj̈,epitran
ganya,StandardOrth,NA,NA,Catalan,gill,Person/Thing,NA,ɡaɲa,epitran
guelra,StandardOrth,NA,NA,Portuguese,gill,Person/Thing,NA,ɡʷɛlʁɐ,epitran
brânquia,StandardOrth,NA,NA,Portuguese,gill,Person/Thing,NA,bɾankʷiɐ,epitran
gælle,StandardOrth,NA,NA,Danish,gill,Person/Thing,NA,,
gäl,StandardOrth,NA,NA,Swedish,gill,Person/Thing,NA,jɛːl,epitran
gill,StandardOrth,NA,NA,English,gill,Person/Thing,NA,gɪˈl,cmu.in.ipa
kieuw,StandardOrth,NA,NA,Dutch,gill,Person/Thing,NA,kiw,epitran
Kieme,StandardOrth,NA,Original (M. R. Key),German,gill,Person/Thing,FALSE,kiːmə,epitran
žaunas,StandardOrth,NA,NA,Latvian,gill,Person/Thing,NA,zaunɐs,multilingual-g2p
žábra,StandardOrth,NA,NA,Czech,gill,Person/Thing,NA,zabra,multilingual-g2p
žábry,StandardOrth,NA,NA,Czech,gill,Person/Thing,NA,zabri,multilingual-g2p
skrzele,StandardOrth,NA,NA,Polish,gill,Person/Thing,NA,skʐɛlɛ,epitran
хæвр,CyrillTrans,NA,NA,Ossetic,fishscale,Person/Thing,NA,χəvr,
цъар,CyrillTrans,NA,NA,Ossetic,fishscale,Person/Thing,NA,t͡sʼar,
'lepi,LatinTrans,NA,NA,Modern Greek,fishscale,Person/Thing,NA,lɛpi,multilingual-g2p
squama,StandardOrth,NA,NA,Italian,fishscale,Person/Thing,NA,skuama,epitran
écaille,StandardOrth,NA,NA,French,fishscale,Person/Thing,NA,ekajl,epitran
escata,StandardOrth,NA,NA,Catalan,fishscale,Person/Thing,NA,ɛskata,epitran
escama,StandardOrth,NA,NA,Portuguese,fishscale,Person/Thing,NA,ɛʃkɐmɐ,epitran
fiskeskæl,StandardOrth,NA,NA,Danish,fishscale,Person/Thing,NA,,
fjäll,StandardOrth,NA,NA,Swedish,fishscale,Person/Thing,NA,fjɛl,epitran
fishscale,StandardOrth,NA,NA,English,fishscale,Person/Thing,NA,NA,cmu.in.ipa
visschub,StandardOrth,NA,NA,Dutch,fishscale,Person/Thing,NA,vɪssxʏp,epitran
Schuppe,StandardOrth,NA,Original (M. R. Key),German,fishscale,Person/Thing,FALSE,ʃupə,epitran
zvīn̩as,StandardOrth,NA,NA,Latvian,fishscale,Person/Thing,NA,zvinɐs,multilingual-g2p
šupina,StandardOrth,NA,NA,Czech,fishscale,Person/Thing,NA,supina,multilingual-g2p
łuska,StandardOrth,NA,NA,Polish,fishscale,Person/Thing,NA,wuska,epitran
pte'riɣio,LatinTrans,NA,NA,Modern Greek,fin (dorsal),Person/Thing,NA,pitiikwəʊtɑɹaɪɡaməaɪəʊ,multilingual-g2p
pinna,StandardOrth,NA,NA,Italian,fin (dorsal),Person/Thing,NA,pinːa,epitran
nageoire,StandardOrth,NA,NA,French,fin (dorsal),Person/Thing,NA,naʒəwar,epitran
aleta,StandardOrth,NA,NA,Catalan,fin (dorsal),Person/Thing,NA,alɛta,epitran
barbatana,StandardOrth,NA,NA,Portuguese,fin (dorsal),Person/Thing,NA,bɐɾbɐtɐnɐ,epitran
finne,StandardOrth,NA,NA,Danish,fin (dorsal),Person/Thing,NA,,
fena,StandardOrth,NA,NA,Swedish,fin (dorsal),Person/Thing,NA,feːnɑː,epitran
fin,StandardOrth,NA,NA,English,fin (dorsal),Person/Thing,NA,fɪˈn,cmu.in.ipa
vin,StandardOrth,NA,NA,Dutch,fin (dorsal),Person/Thing,NA,vɪn,epitran
Finne,StandardOrth,NA,Original (M. R. Key),German,fin (dorsal),Person/Thing,FALSE,finə,epitran
Rückenflosse,StandardOrth,NA,Original (M. R. Key),German,fin (dorsal),Person/Thing,FALSE,ryːkənflosə,epitran
spura,StandardOrth,NA,NA,Latvian,fin (dorsal),Person/Thing,NA,spuʀɐ,multilingual-g2p
ploutev,StandardOrth,NA,NA,Czech,fin (dorsal),Person/Thing,NA,ploʊtev,multilingual-g2p
кæсаг,CyrillTrans,NA,NA,Ossetic,fish,Person/Thing,NA,kəsaɡ,
'psari,LatinTrans,NA,NA,Modern Greek,fish,Person/Thing,NA,sɑɹi,multilingual-g2p
pesce,StandardOrth,NA,NA,Italian,fish,Person/Thing,NA,pest͡ʃe,epitran
poisson,StandardOrth,NA,NA,French,fish,Person/Thing,NA,pwasɔ̃,epitran
peix,StandardOrth,NA,NA,Catalan,fish,Person/Thing,NA,pɛʒʃ,epitran
peixe,StandardOrth,NA,NA,Portuguese,fish,Person/Thing,NA,pɛjksɛ,epitran
peşte,StandardOrth,NA,NA,Romanian,fish,Person/Thing,NA,peʃte,epitran
fisk,StandardOrth,NA,NA,Danish,fish,Person/Thing,NA,,
fisk,StandardOrth,NA,NA,Swedish,fish,Person/Thing,NA,fɪɧ,epitran
fish,StandardOrth,NA,NA,English,fish,Person/Thing,NA,fɪˈʃ,cmu.in.ipa
vis,StandardOrth,NA,NA,Dutch,fish,Person/Thing,NA,vɪs,epitran
Fisch,StandardOrth,NA,Original (M. R. Key),German,fish,Person/Thing,FALSE,fiʃ,epitran
zivs,StandardOrth,NA,NA,Latvian,fish,Person/Thing,NA,zivs,multilingual-g2p
ryba,StandardOrth,NA,NA,Czech,fish,Person/Thing,NA,riba,multilingual-g2p
ryba,StandardOrth,NA,NA,Polish,fish,Person/Thing,NA,rɨba,epitran
мыст,CyrillTrans,NA,NA,Ossetic,"mouse, rat",NA,NA,mɨst,
уыры,CyrillTrans,NA,NA,Ossetic,"mouse, rat",NA,NA,uɨrɨ,
po'diki,LatinTrans,NA,NA,Modern Greek,"mouse, rat",NA,NA,pɒdɪki,multilingual-g2p
aru'reos,LatinTrans,NA,NA,Modern Greek,"mouse, rat",NA,NA,aɹəɹɪəʊz,multilingual-g2p
topo,StandardOrth,NA,NA,Italian,"mouse, rat",NA,NA,topo,epitran
ratto,StandardOrth,NA,NA,Italian,"mouse, rat",NA,NA,ratːo,epitran
souris,StandardOrth,NA,NA,French,"mouse, rat",NA,NA,suri,epitran
rat,StandardOrth,NA,NA,French,"mouse, rat",NA,NA,ra,epitran
ratolí,StandardOrth,NA,NA,Catalan,"mouse, rat",NA,NA,ɾatɔli,epitran
rata,StandardOrth,NA,NA,Catalan,"mouse, rat",NA,NA,ɾata,epitran
rato,StandardOrth,NA,NA,Portuguese,"mouse, rat",NA,NA,ʁɐto,epitran
camundongo,StandardOrth,NA,NA,Portuguese,"mouse, rat",NA,NA,kɐmundonɡo,epitran
ratinho,StandardOrth,NA,NA,Portuguese,"mouse, rat",NA,NA,ʁɐtino,epitran
şoarece,StandardOrth,NA,NA,Romanian,"mouse, rat",NA,NA,ʃoaret͡ʃe,epitran
mus,StandardOrth,NA,NA,Danish,"mouse, rat",NA,NA,,
rotte,StandardOrth,NA,NA,Danish,"mouse, rat",NA,NA,,
mus,StandardOrth,NA,NA,Swedish,"mouse, rat",NA,NA,mʉːs,epitran
råtta,StandardOrth,NA,NA,Swedish,"mouse, rat",NA,NA,rɔtɑː,epitran
mouse,StandardOrth,NA,NA,English,"mouse, rat",NA,NA,mawˈs,cmu.in.ipa
rat,StandardOrth,NA,NA,English,"mouse, rat",NA,NA,ɹæˈt,cmu.in.ipa
muis,StandardOrth,NA,NA,Dutch,"mouse, rat",NA,NA,mœɥs,epitran
rat,StandardOrth,NA,NA,Dutch,"mouse, rat",NA,NA,rɑt,epitran
Maus,StandardOrth,NA,Original (M. R. Key),German,"mouse, rat",NA,FALSE,maus,epitran
Ratte,StandardOrth,NA,Original (M. R. Key),German,"mouse, rat",NA,FALSE,ratə,epitran
pele,StandardOrth,NA,NA,Latvian,"mouse, rat",NA,NA,pele,multilingual-g2p
žurka,StandardOrth,NA,NA,Latvian,"mouse, rat",NA,NA,zuʀkɐ,multilingual-g2p
myš,StandardOrth,NA,NA,Czech,"mouse, rat",NA,NA,mis,multilingual-g2p
mysz,StandardOrth,NA,NA,Polish,"mouse, rat",NA,NA,mɨʂ,epitran
szczur,StandardOrth,NA,NA,Polish,"mouse, rat",NA,NA,ʂt͡ʂur,epitran
o'posum,LatinTrans,NA,NA,Modern Greek,opossum,Person/Thing,NA,əʊpɒsəm,multilingual-g2p
opossum,StandardOrth,NA,NA,Italian,opossum,Person/Thing,NA,oposːum,epitran
opossum,StandardOrth,NA,NA,French,opossum,Person/Thing,NA,ɔpɔsɥə̃,epitran
opòssum,StandardOrth,NA,NA,Catalan,opossum,Person/Thing,NA,ɔpɔsum,epitran
sarigüê,StandardOrth,NA,NA,Portuguese,opossum,Person/Thing,NA,sɐɾiɡ̈e,epitran
gambá,StandardOrth,NA,NA,Portuguese,opossum,Person/Thing,NA,ɡɐmba,epitran
opossum,StandardOrth,NA,NA,Danish,opossum,Person/Thing,NA,,
opossum,StandardOrth,NA,NA,Swedish,opossum,Person/Thing,NA,uːpɔsʉːm,epitran
opossum,StandardOrth,NA,NA,English,opossum,Person/Thing,NA,owpɑˈsʌm,cmu.in.ipa
opossum,StandardOrth,NA,NA,Dutch,opossum,Person/Thing,NA,oːpɔssʏm,epitran
buidelrat,StandardOrth,NA,NA,Dutch,opossum,Person/Thing,NA,bœɥɪdɛlrɑt,epitran
Beutelratte,StandardOrth,NA,Original (M. R. Key),German,opossum,Person/Thing,FALSE,boyhtelratə,epitran
Opossum,StandardOrth,NA,Original (M. R. Key),German,opossum,Person/Thing,FALSE,oposum,epitran
oposums,StandardOrth,NA,NA,Latvian,opossum,Person/Thing,NA,oposums,multilingual-g2p
opos,StandardOrth,NA,NA,Polish,opossum,Person/Thing,NA,ɔpɔs,epitran
'ɣata,LatinTrans,NA,NA,Modern Greek,cat,Person/Thing,NA,ɡaməeɪtieɪ,multilingual-g2p
gatto,StandardOrth,NA,NA,Italian,cat,Person/Thing,NA,ɡatːo,epitran
chat,StandardOrth,NA,NA,French,cat,Person/Thing,NA,ʃa,epitran
gat,StandardOrth,NA,NA,Catalan,cat,Person/Thing,NA,ɡat,epitran
gato,StandardOrth,NA,NA,Portuguese,cat,Person/Thing,NA,ɡɐto,epitran
pisică,StandardOrth,NA,NA,Romanian,cat,Person/Thing,NA,pisikə,epitran
kat,StandardOrth,NA,NA,Danish,cat,Person/Thing,NA,,
katt,StandardOrth,NA,NA,Swedish,cat,Person/Thing,NA,kɐt,epitran
cat,StandardOrth,NA,NA,English,cat,Person/Thing,NA,kæˈt,cmu.in.ipa
kat,StandardOrth,NA,NA,Dutch,cat,Person/Thing,NA,kɑt,epitran
Kater,StandardOrth,NA,Original (M. R. Key),German,cat,Person/Thing,FALSE,katə,epitran
Katze,StandardOrth,NA,Original (M. R. Key),German,cat,Person/Thing,FALSE,kat͡sə,epitran
kak̩is,StandardOrth,NA,NA,Latvian,cat,Person/Thing,NA,kakis,multilingual-g2p
kočka,StandardOrth,NA,NA,Czech,cat,Person/Thing,NA,kotska,multilingual-g2p
kocour,StandardOrth,NA,NA,Czech,cat,Person/Thing,NA,kotsoʊr,multilingual-g2p
kotě,StandardOrth,NA,NA,Czech,cat,Person/Thing,NA,kote,multilingual-g2p
kot,StandardOrth,NA,NA,Polish,cat,Person/Thing,NA,kɔt,epitran
кролик,CyrillTrans,NA,NA,Ossetic,rabbit,Person/Thing,NA,krolik,
ku'neli,LatinTrans,NA,NA,Modern Greek,rabbit,Person/Thing,NA,kʌnɪli,multilingual-g2p
coniglio,StandardOrth,NA,NA,Italian,rabbit,Person/Thing,NA,koniʎo,epitran
lapin,StandardOrth,NA,NA,French,rabbit,Person/Thing,NA,lapɛ̃,epitran
conill,StandardOrth,NA,NA,Catalan,rabbit,Person/Thing,NA,kɔniʎ,epitran
coelho,StandardOrth,NA,NA,Portuguese,rabbit,Person/Thing,NA,kowɛlo,epitran
hare,StandardOrth,NA,NA,Danish,rabbit,Person/Thing,NA,,
kanin,StandardOrth,NA,NA,Swedish,rabbit,Person/Thing,NA,kɑːniːn,epitran
hare,StandardOrth,NA,NA,Swedish,rabbit,Person/Thing,NA,hɑːreː,epitran
rabbit,StandardOrth,NA,NA,English,rabbit,Person/Thing,NA,ɹæˈbʌt,cmu.in.ipa
konijn,StandardOrth,NA,NA,Dutch,rabbit,Person/Thing,NA,koːnɛjn,epitran
Kaninchen,StandardOrth,NA,Original (M. R. Key),German,rabbit,Person/Thing,FALSE,kaːninxən,epitran
trusis,StandardOrth,NA,NA,Latvian,rabbit,Person/Thing,NA,tʀusis,multilingual-g2p
králík,StandardOrth,NA,NA,Czech,rabbit,Person/Thing,NA,kralik,multilingual-g2p
królik,StandardOrth,NA,NA,Polish,rabbit,Person/Thing,NA,krulik,epitran
куыдз,CyrillTrans,NA,NA,Ossetic,dog,NA,NA,kuɨd͡z,
'skilos,LatinTrans,NA,NA,Modern Greek,dog,NA,NA,skiləʊz,multilingual-g2p
ski'li,LatinTrans,NA,NA,Modern Greek,dog,NA,NA,skɪli,multilingual-g2p
cane,StandardOrth,NA,NA,Italian,dog,NA,NA,kane,epitran
chien,StandardOrth,NA,NA,French,dog,NA,NA,ʃjɑ̃,epitran
gos,StandardOrth,NA,NA,Catalan,dog,NA,NA,ɡɔs,epitran
cão,StandardOrth,NA,NA,Portuguese,dog,NA,NA,kɐ̃w̃,epitran
cachorro,StandardOrth,NA,NA,Portuguese,dog,NA,NA,kɐkoʁo,epitran
cîine,StandardOrth,NA,NA,Romanian,dog,NA,NA,t͡ʃɨine,epitran
hund,StandardOrth,NA,NA,Danish,dog,NA,NA,,
hund,StandardOrth,NA,NA,Swedish,dog,NA,NA,hɵnd,epitran
dog,StandardOrth,NA,NA,English,dog,NA,NA,dɔˈg,cmu.in.ipa
hond,StandardOrth,NA,NA,Dutch,dog,NA,NA,hɔnt,epitran
Hund,StandardOrth,NA,Original (M. R. Key),German,dog,NA,FALSE,hunt,epitran
suns,StandardOrth,NA,NA,Latvian,dog,NA,NA,suns,multilingual-g2p
pes,StandardOrth,NA,NA,Czech,dog,NA,NA,pes,multilingual-g2p
pies,StandardOrth,NA,NA,Polish,dog,NA,NA,pjɛs,epitran
szczenię,StandardOrth,NA,NA,Polish,dog,NA,NA,ʂt͡ʂɛɲɛ,epitran
peri'steri,LatinTrans,NA,NA,Modern Greek,dove,Person/Thing,NA,pɛɹɪstəɹi,multilingual-g2p
colomba,StandardOrth,NA,NA,Italian,dove,Person/Thing,NA,kolomba,epitran
colombe,StandardOrth,NA,NA,French,dove,Person/Thing,NA,kɔlɔmb,epitran
colom,StandardOrth,NA,NA,Catalan,dove,Person/Thing,NA,kɔlɔm,epitran
pomba,StandardOrth,NA,NA,Portuguese,dove,Person/Thing,NA,pombɐ,epitran
due,StandardOrth,NA,NA,Danish,dove,Person/Thing,NA,,
duva,StandardOrth,NA,NA,Swedish,dove,Person/Thing,NA,dʉːvɑː,epitran
dove,StandardOrth,NA,NA,English,dove,Person/Thing,NA,dʌˈv,cmu.in.ipa
duif,StandardOrth,NA,NA,Dutch,dove,Person/Thing,NA,dœɥf,epitran
Taube,StandardOrth,NA,Original (M. R. Key),German,dove,Person/Thing,FALSE,taubə,epitran
balodis,StandardOrth,NA,NA,Latvian,dove,Person/Thing,NA,baluodis,multilingual-g2p
dūja,StandardOrth,NA,NA,Latvian,dove,Person/Thing,NA,dujɐ,multilingual-g2p
holub,StandardOrth,NA,NA,Czech,dove,Person/Thing,NA,holup,multilingual-g2p
gołąb,StandardOrth,NA,NA,Polish,dove,Person/Thing,NA,ɡɔwɔmb,epitran
gołąbek,StandardOrth,NA,NA,Polish,dove,Person/Thing,NA,ɡɔwɔmbɛk,epitran
уыг,CyrillTrans,NA,NA,Ossetic,owl,Person/Thing,NA,uɨɡ,
сидахъ,CyrillTrans,NA,NA,Ossetic,owl,Person/Thing,NA,sidaq,
уыг,CyrillTrans,NA,NA,Ossetic,owl,Person/Thing,NA,uɨɡ,
kuku'vaɣia,LatinTrans,NA,NA,Modern Greek,owl,Person/Thing,NA,keɪjukeɪjukwəʊtvieɪɡaməaɪeɪ,multilingual-g2p
gufo,StandardOrth,NA,NA,Italian,owl,Person/Thing,NA,ɡufo,epitran
civetta,StandardOrth,NA,NA,Italian,owl,Person/Thing,NA,t͡ʃivetːa,epitran
hibou,StandardOrth,NA,NA,French,owl,Person/Thing,NA,ibu,epitran
mussol,StandardOrth,NA,NA,Catalan,owl,Person/Thing,NA,musɔl,epitran
mocho,StandardOrth,NA,NA,Portuguese,owl,Person/Thing,NA,moko,epitran
coruja,StandardOrth,NA,NA,Portuguese,owl,Person/Thing,NA,koɾuʒɐ,epitran
ugle,StandardOrth,NA,NA,Danish,owl,Person/Thing,NA,,
uggla,StandardOrth,NA,NA,Swedish,owl,Person/Thing,NA,ɵglɑː,epitran
owl,StandardOrth,NA,NA,English,owl,Person/Thing,NA,awˈl,cmu.in.ipa
uil,StandardOrth,NA,NA,Dutch,owl,Person/Thing,NA,œɥl,epitran
Eule,StandardOrth,NA,Original (M. R. Key),German,owl,Person/Thing,FALSE,oylə,epitran
pūce,StandardOrth,NA,NA,Latvian,owl,Person/Thing,NA,putse,multilingual-g2p
sova,StandardOrth,NA,NA,Czech,owl,Person/Thing,NA,sova,multilingual-g2p
sowa,StandardOrth,NA,NA,Polish,owl,Person/Thing,NA,sɔva,epitran
халон,CyrillTrans,NA,NA,Ossetic,crow,Person/Thing,NA,χalon,
ko'raki,LatinTrans,NA,NA,Modern Greek,crow,Person/Thing,NA,kəɹaki,multilingual-g2p
'korakas,LatinTrans,NA,NA,Modern Greek,crow,Person/Thing,NA,kɔɹɑkəz,multilingual-g2p
corbo,StandardOrth,NA,NA,Italian,crow,Person/Thing,NA,korbo,epitran
corbeau,StandardOrth,NA,NA,French,crow,Person/Thing,NA,kɔrbo,epitran
corb,StandardOrth,NA,NA,Catalan,crow,Person/Thing,NA,kɔɾb,epitran
corvo,StandardOrth,NA,NA,Portuguese,crow,Person/Thing,NA,koɾvo,epitran
krage,StandardOrth,NA,NA,Danish,crow,Person/Thing,NA,,
kråka,StandardOrth,NA,NA,Swedish,crow,Person/Thing,NA,kroːkɑː,epitran
crow,StandardOrth,NA,NA,English,crow,Person/Thing,NA,kɹowˈ,cmu.in.ipa
kraai,StandardOrth,NA,NA,Dutch,crow,Person/Thing,NA,kraːjiː,epitran
Krähe,StandardOrth,NA,Original (M. R. Key),German,crow,Person/Thing,FALSE,kreːə,epitran
vārna,StandardOrth,NA,NA,Latvian,crow,Person/Thing,NA,vaʀnɐ,multilingual-g2p
vrána,StandardOrth,NA,NA,Czech,crow,Person/Thing,NA,vrana,multilingual-g2p
kruk,StandardOrth,NA,NA,Polish,crow,Person/Thing,NA,kruk,epitran
wrona,StandardOrth,NA,NA,Polish,crow,Person/Thing,NA,vrɔna,epitran
тути,CyrillTrans,NA,NA,Ossetic,parrot,Person/Thing,NA,tuti,
papa'ɣalos,LatinTrans,NA,NA,Modern Greek,parrot,Person/Thing,NA,pieɪpieɪkwəʊtɡaməeɪɛləʊɛs,multilingual-g2p
pappagallo,StandardOrth,NA,NA,Italian,parrot,Person/Thing,NA,papːaɡalːo,epitran
perroquet,StandardOrth,NA,NA,French,parrot,Person/Thing,NA,pɛrrɔqɥɛ,epitran
lloro,StandardOrth,NA,NA,Catalan,parrot,Person/Thing,NA,ʎɔɾɔ,epitran
papagaio,StandardOrth,NA,NA,Portuguese,parrot,Person/Thing,NA,pɐpɐɡɐjo,epitran
papagøje,StandardOrth,NA,NA,Danish,parrot,Person/Thing,NA,,
papegoja,StandardOrth,NA,NA,Swedish,parrot,Person/Thing,NA,pɑːpeːɡuːjɑː,epitran
parrot,StandardOrth,NA,NA,English,parrot,Person/Thing,NA,pɛˈɹʌt,cmu.in.ipa
papegaai,StandardOrth,NA,NA,Dutch,parrot,Person/Thing,NA,paːpeːɣaːjiː,epitran
Papagei,StandardOrth,NA,Original (M. R. Key),German,parrot,Person/Thing,FALSE,paːpaɡaie,epitran
papagailis,StandardOrth,NA,NA,Latvian,parrot,Person/Thing,NA,papaɡailis,multilingual-g2p
papoušek,StandardOrth,NA,NA,Czech,parrot,Person/Thing,NA,papoʊsek,multilingual-g2p
papuga,StandardOrth,NA,NA,Polish,parrot,Person/Thing,NA,papuɡa,epitran
хæлынбыттыр,CyrillTrans,NA,NA,Ossetic,bat,Person/Thing,NA,χəlɨnbɨttɨr,
nixte'riða,LatinTrans,NA,NA,Modern Greek,bat,Person/Thing,NA,nɪkstɪɹɪðə,multilingual-g2p
pipistrello,StandardOrth,NA,NA,Italian,bat,Person/Thing,NA,pipistrelːo,epitran
chauve-souris,StandardOrth,NA,NA,French,bat,Person/Thing,NA,ʃovə-suri,epitran
rat-penat,StandardOrth,NA,NA,Catalan,bat,Person/Thing,NA,ɾat-pɛnat,epitran
morcego,StandardOrth,NA,NA,Portuguese,bat,Person/Thing,NA,moɾsɛɡo,epitran
flagermus,StandardOrth,NA,NA,Danish,bat,Person/Thing,NA,,
fladder-mus,StandardOrth,NA,NA,Swedish,bat,Person/Thing,NA,flɐdeːr-mʉːs,epitran
bat,StandardOrth,NA,NA,English,bat,Person/Thing,NA,bæˈt,cmu.in.ipa
vleermuis,StandardOrth,NA,NA,Dutch,bat,Person/Thing,NA,vleːrmœɥs,epitran
Fledermaus,StandardOrth,NA,Original (M. R. Key),German,bat,Person/Thing,FALSE,fleːdeəmaus,epitran
sikspārnis,StandardOrth,NA,NA,Latvian,bat,Person/Thing,NA,sikspaʀnis,multilingual-g2p
netopýr,StandardOrth,NA,NA,Czech,bat,Person/Thing,NA,netopir̩,multilingual-g2p
nietoperz,StandardOrth,NA,NA,Polish,bat,Person/Thing,NA,ɲɛtɔpɛʐ,epitran
'ɣipas,LatinTrans,NA,NA,Modern Greek,vulture,Person/Thing,NA,ɡaməaɪpieɪɛs,multilingual-g2p
avvoltoio,StandardOrth,NA,NA,Italian,vulture,Person/Thing,NA,avːoltoio,epitran
vautour,StandardOrth,NA,NA,French,vulture,Person/Thing,NA,votur,epitran
voltor,StandardOrth,NA,NA,Catalan,vulture,Person/Thing,NA,bɔltɔɾ,epitran
urubu,StandardOrth,NA,NA,Portuguese,vulture,Person/Thing,NA,uɾubu,epitran
abutre,StandardOrth,NA,NA,Portuguese,vulture,Person/Thing,NA,ɐbutʁɛ,epitran
grib,StandardOrth,NA,NA,Danish,vulture,Person/Thing,NA,,
gam,StandardOrth,NA,NA,Swedish,vulture,Person/Thing,NA,ɡɑːm,epitran
vulture,StandardOrth,NA,NA,English,vulture,Person/Thing,NA,vʌˈlʧɚ,cmu.in.ipa
aasgier,StandardOrth,NA,NA,Dutch,vulture,Person/Thing,NA,aːsɣiːr,epitran
Geier,StandardOrth,NA,Original (M. R. Key),German,vulture,Person/Thing,FALSE,ɡaiə,epitran
lija,StandardOrth,NA,NA,Latvian,vulture,Person/Thing,NA,lijɐ,multilingual-g2p
sup,StandardOrth,NA,NA,Czech,vulture,Person/Thing,NA,sup,multilingual-g2p
sęp,StandardOrth,NA,NA,Polish,vulture,Person/Thing,NA,sɛmp,epitran
хъæрццыгъа,CyrillTrans,NA,NA,Ossetic,hawk,Person/Thing,NA,qərt͡st͡sɨʁa,
уари,CyrillTrans,NA,NA,Ossetic,hawk,Person/Thing,NA,uari,
ɣe'raki,LatinTrans,NA,NA,Modern Greek,hawk,Person/Thing,NA,ɡaməikwəʊtɑɹeɪkeɪaɪ,multilingual-g2p
falco,StandardOrth,NA,NA,Italian,hawk,Person/Thing,NA,falko,epitran
faucon,StandardOrth,NA,NA,French,hawk,Person/Thing,NA,fokɔ̃,epitran
falcó,StandardOrth,NA,NA,Catalan,hawk,Person/Thing,NA,falko,epitran
falcão,StandardOrth,NA,NA,Portuguese,hawk,Person/Thing,NA,fɐlkɐ̃w̃,epitran
høg,StandardOrth,NA,NA,Danish,hawk,Person/Thing,NA,,
hök,StandardOrth,NA,NA,Swedish,hawk,Person/Thing,NA,høːk,epitran
hawk,StandardOrth,NA,NA,English,hawk,Person/Thing,NA,hɔˈk,cmu.in.ipa
havik,StandardOrth,NA,NA,Dutch,hawk,Person/Thing,NA,haːvɪk,epitran
Falke,StandardOrth,NA,Original (M. R. Key),German,hawk,Person/Thing,FALSE,falkə,epitran
Habicht,StandardOrth,NA,Original (M. R. Key),German,hawk,Person/Thing,FALSE,haːbixt,epitran
vanags,StandardOrth,NA,NA,Latvian,hawk,Person/Thing,NA,vanɐɡs,multilingual-g2p
jestřáb,StandardOrth,NA,NA,Czech,hawk,Person/Thing,NA,jestr̩ap,multilingual-g2p
luňák,StandardOrth,NA,NA,Czech,hawk,Person/Thing,NA,lunak,multilingual-g2p
sokol,StandardOrth,NA,NA,Czech,hawk,Person/Thing,NA,sokol,multilingual-g2p
jastrząb,StandardOrth,NA,NA,Polish,hawk,Person/Thing,NA,jastʐɔmb,epitran
цæргæс,CyrillTrans,NA,NA,Ossetic,eagle,Person/Thing,NA,t͡sərɡəs,
ae'tos,LatinTrans,NA,NA,Modern Greek,eagle,Person/Thing,NA,itəʊz,multilingual-g2p
aquila,StandardOrth,NA,NA,Italian,eagle,Person/Thing,NA,akuila,epitran
aigle,StandardOrth,NA,NA,French,eagle,Person/Thing,NA,ɛɡl,epitran
àliga,StandardOrth,NA,NA,Catalan,eagle,Person/Thing,NA,alt͡ʃa,epitran
águia,StandardOrth,NA,NA,Portuguese,eagle,Person/Thing,NA,aɡʷiɐ,epitran
ørn,StandardOrth,NA,NA,Danish,eagle,Person/Thing,NA,,
örn,StandardOrth,NA,NA,Swedish,eagle,Person/Thing,NA,œrn,epitran
eagle,StandardOrth,NA,NA,English,eagle,Person/Thing,NA,iˈgʌl,cmu.in.ipa
adelaar,StandardOrth,NA,NA,Dutch,eagle,Person/Thing,NA,aːdeːlaːr,epitran
Adler,StandardOrth,NA,Original (M. R. Key),German,eagle,Person/Thing,FALSE,atlə,epitran
ērglis,StandardOrth,NA,NA,Latvian,eagle,Person/Thing,NA,eʀɡlis,multilingual-g2p
orel,StandardOrth,NA,NA,Czech,eagle,Person/Thing,NA,orel,multilingual-g2p
orzeł,StandardOrth,NA,NA,Polish,eagle,Person/Thing,NA,ɔʐɛw,epitran
'ɣlaros,LatinTrans,NA,NA,Modern Greek,seagull,Person/Thing,NA,ɡaməlaɹəʊz,multilingual-g2p
gabbiano,StandardOrth,NA,NA,Italian,seagull,Person/Thing,NA,ɡabːiano,epitran
mouette,StandardOrth,NA,NA,French,seagull,Person/Thing,NA,mwɛ,epitran
gavina,StandardOrth,NA,NA,Catalan,seagull,Person/Thing,NA,ɡabina,epitran
gaivota,StandardOrth,NA,NA,Portuguese,seagull,Person/Thing,NA,ɡajvotɐ,epitran
