bieži,b ie z i
palikt,p a l i k t
stāvēt,s t a v e t
atrasties,a t ʀ a s t ie s
gulēt,ɡ u l e t
sēdēt,s e d e t
likt,l i k t
vieta,v ie t ɐ
uz augšu,u z au ɡ s u
augšup,au ɡ s u p
virs,v i ʀ s
zem,z e m
ārā,a ʀ ɐ
ārpus,a ʀ p u s
iekšā,ie k s ɐ
priekša,p ʀ ie k s ɐ
priekšā,p ʀ ie k s ɐ
pirms,p i ʀ m s
iepriekš,ie p ʀ ie k s
lejā,l e j ɐ
uz leju,u z l e j u
lejup,l e j u p
blakus,b l a k u s
pie,p ie
aiz,ai z
pēc,p e ts
svērt,s v e ʀ t
(sa)dalīt,  s a   d a l i t
lēts,l e t s
dārgs,d a ʀ ɡ s
cena,ts e n ɐ
veikals,v ei k ɐ l s
tirgus,t i ʀ ɡ u s
tirgonis,t i ʀ ɡ o n i s
(ap)main̩a,  a p   m ai n ɐ
tirgošanās,t i ʀ ɡ uo s a n ɐ s
pārdot,p a ʀ d uo t
pirkt,p i ʀ k t
pelnīt,p e l n i t
alga,a l ɡ ɐ
izīrēt,i z i ʀ e t
iznomāt,i z n uo m ɐ t
nodoklis,n uo d uo k l i s
maksa,m a k s ɐ
rēk̩ins,ʀ e k i n s
maksāt,m a k s ɐ t
parāds,p a ʀ ɐ d s
būt parādā,b u t p a ʀ a d ɐ
aizn̩emties,ai z n e m t ie s
aizdot,ai z d uo t
skops,s k uo p s
ubags,u b ɐ ɡ s
nabadzīgs,n a b a d z i ɡ s
bagāts,b a ɡ ɐ t s
monēta,m o n e t ɐ
nauda,n au d ɐ
l̩aut,l au t
atl̩aut,a t l au t
atbrīvot,a t b ʀ i v uo t
atlaist,a t l ai s t
pazaudēt,p a z au d e t
atrast,a t ʀ ɐ s t
meklēt,m e k l e t
ievainot,ie v ai n uo t
sabojāt,s a b uo j ɐ t
iznīcināt,i z n i ts i n ɐ t
(iz)glābt,  i z   ɡ l a b t
rūpēties par,ʀ u p e t ie s p a ʀ
atdot,a t d uo t
dot,d uo t
lieta,l ie t ɐ
priekšmets,p ʀ ie k s m e t s
paturēt,p a t u ʀ e t
saglabāt,s a ɡ l a b ɐ t
dabūt,d a b u t
iegūt,ie ɡ u t
turēt,t u ʀ e t
grābt,ɡ ʀ a b t
n̩emt,n e m t
piederēt,p ie d e ʀ e t
būt,b u t
piederēt,p ie d e ʀ e t
piestāt,p ie s t ɐ t
nolaisties,n uo l ai s t ie s
osta,uo s t ɐ
enkurs,e ŋ k u ʀ s
buras,b u ʀ ɐ s
masts,m a s t s
stūre,s t u ʀ e
airēt,ai ʀ e t
airis,ai ʀ i s
īsais airis,i s ai s ai ʀ i s
airis,ai ʀ i s
plosts,p l uo s t s
laiva (ar izturīgiem dul̩l̩iem),l ai v ɐ   a ʀ i z t u ʀ i ɡ ie m d u l l ie m
kanoe laiva,k a n uo e l ai v ɐ
laiva,l ai v ɐ
kuǧis,k u ɡ i s
iejūgs,ie j u ɡ s
ass,a s s
ritenis,ʀ i t e n i s
vagons,v a ɡ uo n s
tilts,t i l t s
taka,t a k ɐ
stiga,s t i ɡ ɐ
cel̩š,ts e l s
grūst,ɡ ʀ u s t
stumt,s t u m t
jāt,j a t
braukt,b ʀ au k t
vadīt,v a d i t
sūtīt,s u t i t
atnest,a t n e s t
nest (padusē),n e s t   p a d u s e
nest (uz galvas),n e s t   u z ɡ a l v ɐ s
nest uz pleca,n e s t u z p l e ts ɐ
nest uz pleciem,n e s t u z p l e ts ie m
nest rokā,n e s t ʀ uo k ɐ
nest rokās,n e s t ʀ uo k ɐ s
nest,n e s t
ieiet,ie ie t
ienākt,ie n ɐ k t
tuvoties,t u v uo t ie s
sasniegt,s a s n ie ɡ t
ierasties,ie ʀ a s t ie s
vajāt,v a j ɐ t
dzīties,d z i t ie s
sekot,s e k uo t
bēgt,b e ɡ t
pazust,p a z u s t
iet prom,ie t p ʀ uo m
iet projām,ie t p ʀ o j ɐ m
doties prom,d uo t ie s p ʀ uo m
atnākt,a t n ɐ k t
nākt atpakal̩,n a k t a t p a k ɐ l
atgriezties,a t ɡ ʀ ie z t ie s
nākt,n a k t
iet ārā,ie t a ʀ ɐ
kāpt lejā,k a p t l e j ɐ
rāpties,ʀ a p t ie s
iet,ie t
kāpt augšā,k a p t au ɡ s ɐ
skriet,s k ʀ ie t
klibot,k l i b uo t
staigāt,s t ai ɡ ɐ t
dejot,d e j uo t
dancot,d a n ts uo t
spert,s p e ʀ t
sist,s i s t
lēkt,l e k t
lēkāt,l e k ɐ t
slīdēt,s l i d e t
(pa)slīdēt,  p a   s l i d e t
pieplakt zemei,p ie p l ɐ k t z e m ei
nomesties cel̩os,n uo m e s t ie s ts e l uo s
rāpot,ʀ a p uo t
pūst,p u s t
lidot,l i d uo t
kuǧot,k u ɡ uo t
(ap),  a p
šl̩akstēt,s l a k s t e t
nirt,n i ʀ t
peldēt,p e l d e t
peldēt,p e l d e t
grimt,ɡ ʀ i m t
tecēt,t e ts e t
kratīt,k ʀ a t i t
k̩ert,k e ʀ t
mest,m e s t
pilēt,p i l e t
krist,k ʀ i s t
celt,ts e l t
(pie)celties,  p ie   ts e l t ie s
kāpt,k a p t
(sa)griezt,  s a   ɡ ʀ ie z t
(sa)vīt,  s a   v i t
nomest,n uo m e s t
velt,v e l t
ripināt,ʀ i p i n ɐ t
ietīt,ie t i t
iesain̩ot,ie s ai n uo t
(ap)gāzt,  a p   ɡ a z t
(ap)griezt,  a p   ɡ ʀ ie z t
apgriezt,a p ɡ ʀ ie z t
apgāzt,a p ɡ ɐ z t
pārvietot,p a ʀ v ie t uo t
krāsot,k ʀ a s uo t
kalts,k a l t s
krāsa,k ʀ a s ɐ
statuja,s t a t u j ɐ
tēlnieks,t e l n ie k s
skulptors,s k u l p t o ʀ s
(iz)griezt,  i z   ɡ ʀ ie z t
kalt,k a l t
vēdināt,v e d i n ɐ t
vēdeklis,v e d e k l i s
ventilators,v e n t i l a t o ʀ s
tīklin̩š,t i k l i n s
paklājs,p a k l ɐ j s
pīts paklājs,p i t s p a k l ɐ j s
maša,m a s ɐ
grozs,ɡ ʀ uo z s
aust,au s t
pīt,p i t
stikls,s t i k l s
māls,m a l s
veidot (no māla),v ei d uo t   n uo m a l ɐ
podnieks,p uo d n ie k s
alva,a l v ɐ
skārds,s k a ʀ d s
svins,s v i n s
dzelzs,d z e l z s
varš,v a ʀ s
bronza,b ʀ o n z ɐ
sudrabs,s u d ʀ ɐ b s
zelts,z e l t s
(iz)liet,  i z   l ie t
lakta,l a k t ɐ
smēde,s m e d e
kalve,k a l v e
ēze,e z e
kalējs,k a l e j s
līme,l i m e
nagla,n a ɡ l ɐ
āmurs,a m u ʀ s
zāǧis,z a ɡ i s
izdobt,i z d uo b t
urbt,u ʀ b t
celt,ts e l t
būvēt,b u v e t
namdaris,n a m d a ʀ i s
darbarīks,d a ʀ b a ʀ i k s
slota,s l uo t ɐ
mazgāt,m a z ɡ ɐ t
slaucīt,s l au ts i t
liet,l ie t
izspiest,i z s p ie s t
izgriezt,i z ɡ ʀ ie z t
spiest,s p ie s t
pakārt,p a k ɐ ʀ t
izkārt,i z k ɐ ʀ t
attīt,a t t i t
atritināt,a t ʀ i t i n ɐ t
izstiept,i z s t ie p t
vilkt,v i l k t
stiept,s t ie p t
berzt,b e ʀ z t
slaucīt,s l au ts i t
dīrāt,d i ʀ ɐ t
mizot,m i z uo t
saplēst,s a p l e s t
saskaldīt,s a s k a l d i t
sašk̩elt,s a s k e l t
salūzis,s a l u z i s
sasists,s a s i s t s
lauzt,l au z t
sasist,s a s i s t
cirvis,ts i ʀ v i s
cērte,ts e ʀ t e
šk̩ēres,s k e ʀ e s
grieznes,ɡ ʀ ie z n e s
dzirkles,d z i ʀ k l e s
nazis,n a z i s
durt,d u ʀ t
cirst,ts i ʀ s t
skaldīt,s k a l d i t
tēst,t e s t
nocirst,n uo ts i ʀ s t
nozāǧēt,n uo z a ɡ e t
griezt,ɡ ʀ ie z t
cirst,ts i ʀ s t
sist ar dūri,s i s t a ʀ d u ʀ i
sist,s i s t
mezgls,m e z ɡ l s
virve,v i ʀ v e
aukla,au k l ɐ
k̩ēde,k e d e
atraisīt,a t ʀ ai s i t
atsiet,a t s ie t
siet,s ie t
sasiet,s a s ie t
locīt,l uo ts i t
liekt,l ie k t
strādāt,s t ʀ a d ɐ t
darīt,d a ʀ i t
taisīt,t ai s i t
gatavot,ɡ a t a v uo t
sēne,s e n e
nātre,n a t ʀ e
devin̩vīrspēks,d e v i n v i ʀ s p e k s
cukurniedre,ts u k u ʀ n ie d ʀ e
bambuss,b a m b u s s
k̩irbis,k i ʀ b i s
kabacis,k a b a ts i s
k̩irbis,k i ʀ b i s
[tapioka],  t a p i  o k ɐ
[manioka],  m a n i  o k ɐ
[tapioks],  t a p i  o k s
(in)[jamss],  i n   j a m s s
saldais kartupelis,s a l d ai s k a ʀ t u p e l i s
[batāte],  b a t a t e
[banjans],  b a n j ɐ n s
banāns,b a n ɐ n s
citrusauglis,ts i t ʀ u s au ɡ l i s
kokosrieksts,k o k o s ʀ ie k s t s
palma,p a l m ɐ
(auga) sula,  au ɡ ɐ   s u l ɐ
gremzdi,ɡ ʀ e m z d i
(koka) miza,  k uo k ɐ   m i z ɐ
tāss,t a s s
žuburains,z u b u ʀ ai n s
šk̩elts,s k e l t s
sazarots-zars,s a z a ʀ uo t s z a ʀ s
(koka) stumbrs,  k uo k ɐ   s t u m b ʀ s
(koka) celms,  k uo k ɐ   ts e l m s
pīpe,p i p e
pīpēt,p i p e t
smēk̩ēt,s m e k e t
tabaka,t a b a k ɐ
vīnogulājs,v i n uo ɡ u l ɐ j s
zīle,z i l e
egle,e ɡ l e
priede,p ʀ ie d e
bērzs,b e ʀ z s
dižskabārdis,d i z s k a b a ʀ d i s
ozols,uo z uo l s
koks,k uo k s
puk̩e,p u k e
lapa,l a p ɐ
zars,z a ʀ s
sakne,s a k n e
stādīt,s t a d i t
dēstīt,d e s t i t
siens,s ie n s
augs,au ɡ s
dēsts,d e s t s
zāle,z a l e
rīss,ʀ i s s
kukurūza,k u k u ʀ u z ɐ
auzas,au z ɐ s
rudzi,ʀ u d z i
kvieši,k v ie s i
mieži,m ie z i
graudi,ɡ ʀ au d i
raža,ʀ a z ɐ
kul̩amklons,k u l a m k l o n s
piedarbs,p ie d ɐ ʀ b s
kult,k u l t
sirpis,s i ʀ p i s
izkapts,i z k ɐ p t s
pl̩aut,p l au t
sēkla,s e k l ɐ
sēt,s e t
grābeklis,ɡ ʀ a b e k l i s
dakšas,d a k s ɐ s
kaplis,k a p l i s
lāpsta,l a p s t ɐ
liekšk̩ere,l ie k s k e ʀ e
lāpsta,l a p s t ɐ
vaga,v a ɡ ɐ
rakt,ʀ a k t
art,a ʀ t
grāvis,ɡ ʀ a v i s
žogs,z uo ɡ s
apstrādāt,a p s t ʀ a d ɐ t
kultivēt,k u l t i v e t
dārzs,d a ʀ z s
tīrums,t i ʀ u m s
zemkopis,z e m k uo p i s
lauksaimnieks,l au k s ai m n ie k s
fermeris,f e ʀ m e ʀ i s
nededzināts k̩ieǧelis,n e d e d z i n ɐ t s k ie ɡ e l i s
kal̩k̩u java,k a l k u j a v ɐ
k̩ieǧelis,k ie ɡ e l i s
velve,v e l v e
arka,a ʀ k ɐ
akmen̩kalis,a k m e n k a l i s
mūrnieks,m u ʀ n ie k s
dēlis,d e l i s
kārts,k a ʀ t s
pālis,p a l i s
miets,m ie t s
stabs,s t a b s
sija,s i j ɐ
bal̩k̩is,b a l k i s
spāre,s p a ʀ e
šk̩ērsis,s k e ʀ s i s
jumta klājums,j u m t ɐ k l a j u m s
jumts,j u m t s
abra,a b ʀ ɐ
sile,s i l e
plaukts,p l au k t s
svece,s v e ts e
lampa,l a m p ɐ
galds,ɡ a l d s
krēsls,k ʀ e s l s
sega,s e ɡ ɐ
spilvens,s p i l v e n s
gulta,ɡ u l t ɐ
kāpnes,k a p n e s
skurstenis,s k u ʀ s t e n i s
krāsns,k ʀ a s n s
plīts,p l i t s
kamīns,k a m i n s
pavards,p a v ɐ ʀ d s
siena,s ie n ɐ
grīda,ɡ ʀ i d ɐ
logs,l uo ɡ s
atslēga,a t s l e ɡ ɐ
bulta,b u l t ɐ
aizšaujamais,ai z s au j a m ai s
atslēga,a t s l e ɡ ɐ
slēdzene,s l e d z e n e
durvju stendere,d u ʀ v j u s t e n d e ʀ e
istaba,i s t a b ɐ
durvis,d u ʀ v i s
vārti,v a ʀ t i
lūgšanu nams,l u ɡ s a n u n a m s
virtuve,v i ʀ t u v e
[vīriešu māja],  v i ʀ ie s u m a j ɐ
pagalms,p a ɡ ɐ l m s
telts,t e l t s
dārza māja,d a ʀ z ɐ m a j ɐ
būda,b u d ɐ
mājele,m a j e l e
māja,m a j ɐ
dzīvot,d z i v uo t
spogulis,s p uo ɡ u l i s
ziepes,z ie p e s
ziede,z ie d e
bārdas nazis,b a ʀ d ɐ s n a z i s
bize,b i z e
suka,s u k ɐ
birste,b i ʀ s t e
k̩emme,k e m m m e
dvielis,d v ie l i s
kabatlakatin̩š,k a b a t l a k a t i n s
tetovējums,t e t o v e j u m s
saite ap galvu,s ai t e a p ɡ a l v u
apsējs,a p s e j s
galvas rota,ɡ a l v ɐ s ʀ uo t ɐ
auskars,au s k ɐ ʀ s
krelles,k ʀ e l l l e s
kakla rota,k a k l ɐ ʀ uo t ɐ
aproce,a p ʀ uo ts e
rokassprādze,ʀ uo k a s s p ʀ a d z e
gredzens,ɡ ʀ e d z e n s
dārgakmens,d a ʀ ɡ a k m e n s
rota,ʀ uo t ɐ
(iz)rotājums,  i z   ʀ uo t a j u m s
kniepadata,k n ie p a d a t ɐ
poga,p uo ɡ ɐ
kabata,k a b a t ɐ
plīvurs,p l i v u ʀ s
šk̩idrauts,s k i d ʀ au t s
cimds,ts i m d s
siksna,s i k s n ɐ
josta,j uo s t ɐ
platmale,p l a t m a l e
cepure,ts e p u ʀ e
kurpnieks,k u ʀ p n ie k s
kurpe,k u ʀ p e
zābaks,z a b ɐ k s
(garā) zek̩e,  ɡ a ʀ ɐ   z e k e
(īsā) zek̩e,  i s ɐ   z e k e
bikses,b i k s e s
zāl̩u apsējs,z a l u a p s e j s
svārki,s v a ʀ k i
brunči,b ʀ u n ts i
apkakle,a p k a k l e
krekls,k ʀ e k l s
mētelis,m e t e l i s
kleita,k l ei t ɐ
[pončo],  p o n ts o
krāsot,k ʀ a s uo t
apmetnis,a p m e t n i s
diegs,d ie ɡ s
pavediens,p a v e d ie n s
adata,a d a t ɐ
īlens,i l e n s
šūt,s u t
stelles,s t e l l l e s
aust,au s t
vārpsta,v a ʀ p s t ɐ
spole,s p o l e
vērpt,v e ʀ p t
āda,a d ɐ
kažokāda,k a z uo k a d ɐ
filcs,f i l ts s
zīds,z i d s
kokvilna,k uo k v i l n ɐ
linu audums,l i n u au d u m s
lini,l i n i
vilna,v i l n ɐ
audums,au d u m s
drēbnieks,d ʀ e b n ie k s
apǧērbs,a p ɡ e ʀ b s
drēbes,d ʀ e b e s
uzvilkt,u z v i l k t
uzǧērbt,u z ɡ e ʀ b t
olas dzeltenums,uo l ɐ s d z e l t e n u m s
ola,uo l ɐ
raudzēts dzēriens,ʀ au d z e t s d z e ʀ ie n s
alus,a l u s
vīns,v i n s
medalus,m e d a l u s
dzēriens,d z e ʀ ie n s
sviests,s v ie s t s
siers,s ie ʀ s
slaukt,s l au k t
cukurs,ts u k u ʀ s
piens,p ie n s
medus,m e d u s
sarkanie pipari,s a ʀ k a n ie p i p a ʀ i
pipars,p i p ɐ ʀ s
pipari,p i p a ʀ i
sāls,s a l s
tauki,t au k i
el̩l̩a,e l l ɐ
olīve,uo l i v e
vīnogas,v i n uo ɡ ɐ s
rieksts,ʀ ie k s t s
vīǧe,v i ɡ e
saišk̩is,s ai s k i s
kušk̩is,k u s k i s
auglis,au ɡ l i s
kartupelis,k a ʀ t u p e l i s
pupa,p u p ɐ
dārzen̩i,d a ʀ z e n i
zupa,z u p ɐ
buljons,b u l j o n s
desa,d e s ɐ
cīsin̩š,ts i s i n s
gal̩a,ɡ a l ɐ
piesta,p ie s t ɐ
miezeris,m ie z e ʀ i s
piesta,p ie s t ɐ
dzirnavas,d z i ʀ n a v ɐ s
dzirnavin̩as,d z i ʀ n a v i n ɐ s
saberzt,s a b e ʀ z t
samalt,s a m ɐ l t
rupja maluma milti,ʀ u p j ɐ m a l u m ɐ m i l t i
mīcīt,m i ts i t
mīkla,m i k l ɐ
maize,m ai z e
maisīt,m ai s i t
jaukt,j au k t
rīvēt,ʀ i v e t
sijāt,s i j ɐ t
kāst,k a s t
mizot,m i z uo t
vakarin̩as,v a k a ʀ i n ɐ s
pusdienas,p u s d ie n ɐ s
otrās brokastis,uo t ʀ ɐ s b ʀ uo k a s t i s
brokastis,b ʀ uo k a s t i s
maltīte,m a l t i t e
knaibles,k n ai b l e s
dakšin̩a,d a k s i n ɐ
nazis,n a z i s
karote,k a ʀ uo t e
apakštase,a p a k s t a s e
apakštasīte,a p a k s t a s i t e
tase,t a s e
tasīte,t a s i t e
krūzīte,k ʀ u z i t e
bl̩oda,b l uo d ɐ
krūze,k ʀ u z e
šk̩īvis,s k i v i s
trauks,t ʀ au k s
panna,p a n n n ɐ
katls,k a t l s
pods,p uo d s
tējkanna,t e j k a n n n ɐ
cept,ts e p t
krāsns,k ʀ a s n s
cept,ts e p t
vārīt,v a ʀ i t
gatavot ēdienu,ɡ a t a v uo t e d ie n u
vārīt,v a ʀ i t
cept,ts e p t
žn̩augt,z n au ɡ t
smacēt,s m a ts e t
rīt,ʀ i t
košl̩āt,k uo s l ɐ t
gremot,ɡ ʀ e m uo t
zīst,z i s t
sūkāt,s u k ɐ t
slāpes,s l a p e s
bads,b a d s
izsalkums,i z s a l k u m s
dzert,d z e ʀ t
sapuvis,s a p u v i s
satrunējis,s a t ʀ u n e j i s
bojāts,b uo j ɐ t s
vecs,v e ts s
zal̩š,z a l s
negatavs,n e ɡ a t ɐ v s
nogatavojies gatavs,n uo ɡ a t a v uo j ie s ɡ a t ɐ v s
jēls,j e l s
vārīts,v a ʀ i t s
barība,b a ʀ i b ɐ
pārtika,p a ʀ t i k ɐ
ēst,e s t
kails,k ai l s
pliks,p l i k s
akls,a k l s
saindējies,s ai n d e j ie s
saindējusies,s ai n d e j u s ie s
mēms,m e m s
kurls,k u ʀ l s
nedzirdīgs,n e d z i ʀ d i ɡ s
plikpaurains,p l i k p au ʀ ai n s
plikgalvains,p l i k ɡ a l v ai n s
klibs,k l i b s
slinks,s l i ŋ k s
atpūsties,a t p u s t ie s
noguris,n uo ɡ u ʀ i s
nogurusi,n uo ɡ u ʀ u s i
inde,i n d e
zāles,z a l e s
ārsts,a ʀ s t s
ārstēt,a ʀ s t e t
dziedināt,d z ie d i n ɐ t
rēta,ʀ e t ɐ
strutas,s t ʀ u t ɐ s
augonis,au ɡ uo n i s
furunkuls,f u ʀ u ŋ k u l s
tulzna,t u l z n ɐ
nieze,n ie z e
niezēšana,n ie z e s a n ɐ
pampums,p a m p u m s
pietūkums,p ie t u k u m s
sasitums,s a s i t u m s
zilums,z i l u m s
ievainojums,ie v ai n uo j u m s
brūce,b ʀ u ts e
saaukstēšanās,s a au k s t e s a n ɐ s
kākslis,k a k s l i s
drudzis,d ʀ u d z i s
slims,s l i m s
slimība,s l i m i b ɐ
vesels,v e s e l s
veselība,v e s e l i b ɐ
vājš,v a j s
stiprs,s t i p ʀ s
spēcīgs,s p e ts i ɡ s
varens,v a ʀ e n s
kaps,k a p s
apglabāt,a p ɡ l a b ɐ t
aprakt,a p ʀ ɐ k t
līk̩is,l i k i s
nogalināt,n uo ɡ a l i n ɐ t
noslīcis,n uo s l i ts i s
noslīkusi,n uo s l i k u s i
mirt,m i ʀ t
miris,m i ʀ i s
mirusi,m i ʀ u s i
dzīvot,d z i v uo t
dzīvs,d z i v s
dzīve,d z i v e
dzīvība,d z i v i b ɐ
ien̩emt,ie n e m t
(grūtniecības) stāvoklī,  ɡ ʀ u t n ie ts i b ɐ s   s t a v uo k l i
dzimis,d z i m i s
dzimusi,d z i m u s i
radīt,ʀ a d i t
peldēties,p e l d e t ie s
drebēt,d ʀ e b e t
trīcēt,t ʀ i ts e t
izdarīt dzimumaktu,i z d a ʀ i t d z i m u m a k t u
izkārnīties,i z k a ʀ n i t ie s
urinēt,u ʀ i n e t
pirst,p i ʀ s t
pamosties,p a m uo s t ie s
sapn̩ot,s a p n uo t
krākt,k ʀ a k t
gulēt,ɡ u l e t
siekaloties,s ie k a l uo t ie s
laizīt,l ai z i t
kost,k uo s t
vemt,v e m t
spl̩aut,s p l au t
svīst,s v i s t
šk̩audīt,s k au d i t
klepot,k l e p uo t
žagoties,z a ɡ uo t ie s
žāvāties,z a v a t ie s
elpot,e l p uo t
elpa,e l p ɐ
dzimumloceklis,d z i m u m l uo ts e k l i s
sēklinieks,s e k l i n ie k s
pauts,p au t s
olin̩a,uo l i n ɐ
dzemde,d z e m d e
sēžamvieta,s e z a m v ie t ɐ
dibens,d i b e n s
gurns,ɡ u ʀ n s
viduklis,v i d u k l i s
zarnas,z a ʀ n ɐ s
kun̩ǧis,k u n ɡ i s
liesa,l ie s ɐ
niere,n ie ʀ e
aknas,a k n ɐ s
plaušas,p l au s ɐ s
sirds,s i ʀ d s
naba,n a b ɐ
tesmenis,t e s m e n i s
pups,p u p s
krūtsgals,k ʀ u t s ɡ ɐ l s
krūts,k ʀ u t s
krūtis,k ʀ u t i s
krūšu kurvis,k ʀ u s u k u ʀ v i s
spalva,s p a l v ɐ
spārns,s p a ʀ n s
īkšk̩is,i k s k i s
pēdas nospiedums,p e d ɐ s n uo s p ie d u m s
papēdis,p a p e d i s
potīte,p uo t i t e
pēda,p e d ɐ
kāja,k a j ɐ
celis,ts e l i s
cel̩gals,ts e l ɡ ɐ l s
ikri,i k ʀ i
ciska,ts i s k ɐ
augšstilbs,au ɡ s s t i l b s
kāja,k a j ɐ
nags,n a ɡ s
nags,n a ɡ s
īkšk̩is,i k s k i s
pirksts,p i ʀ k s t s
plauksta,p l au k s t ɐ
roka,ʀ uo k ɐ
plaukstas locītava,p l au k s t ɐ s l uo ts i t a v ɐ
elkonis,e l k uo n i s
paduse,p a d u s e
roka,ʀ uo k ɐ
atslēgas kauls,a t s l e ɡ ɐ s k au l s
lāpstin̩a,l a p s t i n ɐ
plecs,p l e ts s
rīkle,ʀ i k l e
pakausis,p a k au s i s
skausts,s k au s t s
kakls,k a k l s
dzeroklis,d z e ʀ uo k l i s
zobs,z uo b s
smaganas,s m a ɡ a n ɐ s
mēle,m e l e
lūpa,l u p ɐ
knābis,k n a b i s
mute,m u t e
gl̩otas,ɡ l uo t ɐ s
pun̩k̩i,p u n k i
nāss,n a s s
deguns,d e ɡ u n s
ausu sērs,au s u s e ʀ s
auss l̩ipin̩a,au s s l i p i n ɐ
auss,au s s
mirkšk̩ināt,m i ʀ k s k i n ɐ t
skropsta,s k ʀ uo p s t ɐ
plakstin̩š,p l a k s t i n s
uzacs,u z ɐ ts s
acs,a ts s
vaigs,v ai ɡ s
zods,z uo d s
piere,p ie ʀ e
žoklis,z uo k l i s
seja,s e j ɐ
smadzenes,s m a d z e n e s
denin̩i,d e n i n i
galvaskauss,ɡ a l v a s k au s s
galva,ɡ a l v ɐ
mugurkauls,m u ɡ u ʀ k au l s
mugura,m u ɡ u ʀ ɐ
aste,a s t e
rags,ʀ a ɡ s
riba,ʀ i b ɐ
kauls,k au l s
