saepe,s aɪ p ɛ 
aula,aʊ l a 
tabernāculum,t a b ɛ r n a k ʊ l ʊ m 
tentōrium,t ɛ n t ɔ r ɪ  ʊ m 
casa,k a s a 
tugurium,t ʊ ɡ ʊ r ɪ  ʊ m 
domus,d ɔ m ʊ s 
habitāre,h a b ɪ t a r ɛ 
incolere,ɪ ŋ k ɔ l ɛ r ɛ 
vīvere,w ɪ w ɛ r ɛ 
speculum,s p ɛ k ʊ l ʊ m 
sāpō,s a p ɔ 
unguentum,ʊ ŋ ɡ w ɛ n t ʊ m 
unguen,ʊ ŋ ɡ w ɛ n 
novācula,n ɔ w a k ʊ l a 
cincinnus,k ɪ ŋ k ɪ n n ʊ s 
pēniculus,p ɛ n ɪ k ʊ l ʊ s 
pecten,p ɛ k t ɛ n 
mantēle,m a n t ɛ l ɛ 
mantēle,m a n t ɛ l ɛ 
panniculus,p a n n ɪ k ʊ l ʊ s 
stigma,s t ɪ ɡ m a 
fascia,f a s k ɪ  a 
diadēma,d ɪ  a d ɛ m a 
inaurēs,ɪ n aʊ r ɛ s 
sphaerula,s pʰ aɪ r ʊ l a 
monīle,m ɔ n ɪ l ɛ 
torquēs,t ɔ r k w ɛ s 
brachiāle,b  r a kʰ ɪ  a l ɛ 
armillae,a r m ɪ l l aɪ 
ānulus,a n ʊ l ʊ s 
gemma,ɡ ɛ m m a 
mundus,m ʊ n d ʊ s 
ōrnātus,ɔ r n a t ʊ s 
ōrnāmentum,ɔ r n a m ɛ n t ʊ m 
acus,a k ʊ s 
fībula,f ɪ b ʊ l a 
loculus,l ɔ k ʊ l ʊ s 
vēlum,w ɛ l ʊ m 
manicae,m a n ɪ k aɪ 
cinctus,k ɪ ŋ k t ʊ s 
cingulum,k ɪ ŋ ɡ ʊ l ʊ m 
balteus,b a l t ɛʊ s 
pilleus,p ɪ l l ɛʊ s 
petasus,p ɛ t a s ʊ s 
sūtor,s ʊ t ɔ r 
calceolārius,k a l k ɛ ɔ l a r ɪ  ʊ s 
calceus,k a l k ɛʊ s 
soccus,s ɔ k ʊ s 
cothurnus,k ɔ tʰ ʊ r n ʊ s 
pērō,p ɛ r ɔ 
caliga,k a l ɪ ɡ a 
tībiāle,t ɪ b ɪ  a l ɛ 
brācae,b  r a k aɪ 
stōla,s t ɔ l a 
collāre,k ɔ l l a r ɛ 
tunica,t ʊ n ɪ k a 
tunica,t ʊ n ɪ k a 
vestītus muliebris,w ɛ s t ɪ t ʊ s  m ʊ l ɪ  ɛ b  r ɪ s 
pallium,p a l l ɪ  ʊ m 
tingere,t ɪ ŋ ɡ ɛ r ɛ 
inficere,ɪ n f ɪ k ɛ r ɛ 
toga,t ɔ ɡ a 
pallium,p a l l ɪ  ʊ m 
paenula,p aɪ n ʊ l a 
fīlum,f ɪ l ʊ m 
acus,a k ʊ s 
sūbula,s ʊ b ʊ l a 
suere,s ʊ ɛ r ɛ 
tēla,t ɛ l a 
texere,t ɛ k s ɛ r ɛ 
fūsus,f ʊ s ʊ s 
nēre,n ɛ r ɛ 
