saepe,s aɪ p ɛ 
hodiē,h ɔ d ɪ  ɛ 
crās,k  r a s 
perendiē,p ɛ r ɛ n d ɪ  ɛ 
herī,h ɛ r ɪ 
nudius tertius,n ʊ d ɪ  ʊ s  t ɛ r t ɪ  ʊ s 
hōra,h ɔ r a 
hōrologium,h ɔ r ɔ l ɔ ɡ ɪ  ʊ m 
diēs Sōlis,d ɪ  ɛ s  s ɔ l ɪ s 
diēs dominica,d ɪ  ɛ s  d ɔ m ɪ n ɪ k a 
diēs Lūnae,d ɪ  ɛ s  l ʊ n aɪ 
secunda fēria,s ɛ k ʊ n d a  f ɛ r ɪ  a 
diēs Martis,d ɪ  ɛ s  m a r t ɪ s 
tertia fēria,t ɛ r t ɪ  a  f ɛ r ɪ  a 
diēs Mercurī,d ɪ  ɛ s  m ɛ r k ʊ r ɪ 
quarta fēria,k w a r t a  f ɛ r ɪ  a 
diēs Iovis,d ɪ  ɛ s  j ɔ w ɪ s 
quīnta fēria,k w ɪ n t a  f ɛ r ɪ  a 
diēs Veneris,d ɪ  ɛ s  w ɛ n ɛ r ɪ s 
sexta fēria,s ɛ k s t a  f ɛ r ɪ  a 
diēs Sāturnī,d ɪ  ɛ s  s a t ʊ r n ɪ 
sabbatum,s a b a t ʊ m 
mēnsis,m ɛ n s ɪ s 
annus,a n n ʊ s 
hiems,h ɪ  ɛ m s 
vēr,w ɛ r 
aestās,aɪ s t a s 
autumnus,aʊ t ʊ m n ʊ s 
tempus,t ɛ m p ʊ s 
tempestās,t ɛ m p ɛ s t a s 
olfacere,ɔ l f a k ɛ r ɛ 
odōrārī,ɔ d ɔ r a r ɪ 
olēre,ɔ l ɛ r ɛ 
fragrāre,f  r a ɡ  r a r ɛ 
fragrāns,f  r a ɡ  r a n s 
odōrifer,ɔ d ɔ r ɪ f ɛ r 
suāvis,s ʊ a w ɪ s 
foetidus,f ɔɪ t ɪ d ʊ s 
pūtidus,p ʊ t ɪ d ʊ s 
gustāre,ɡ ʊ s t a r ɛ 
sapere,s a p ɛ r ɛ 
dulcis,d ʊ l k ɪ s 
suāvis,s ʊ a w ɪ s 
salsus,s a l s ʊ s 
amārus,a m a r ʊ s 
acidus,a k ɪ d ʊ s 
acerbus,a k ɛ r b ʊ s 
salsus,s a l s ʊ s 
amārus,a m a r ʊ s 
audīre,aʊ d ɪ r ɛ 
auscultāre,aʊ s k ʊ l t a r ɛ 
sonus,s ɔ n ʊ s 
magnus,m a ŋ n ʊ s 
clārus,k l a r ʊ s 
quiētus,k w ɪ  ɛ t ʊ s 
tranquillus,t  r a ŋ k w ɪ l l ʊ s 
vidēre,w ɪ d ɛ r ɛ 
aspicere,a s p ɪ k ɛ r ɛ 
mōnstrāre,m ɔ n s t  r a r ɛ 
ostendere,ɔ s t ɛ n d ɛ r ɛ 
lūcēre,l ʊ k ɛ r ɛ 
nitēre,n ɪ t ɛ r ɛ 
splendēre,s p l ɛ n d ɛ r ɛ 
candēre,k a n d ɛ r ɛ 
clārus,k l a r ʊ s 
lūcidus,l ʊ k ɪ d ʊ s 
nitidus,n ɪ t ɪ d ʊ s 
color,k ɔ l ɔ r 
clārus,k l a r ʊ s 
fuscus,f ʊ s k ʊ s 
pullus,p ʊ l l ʊ s 
albus,a l b ʊ s 
candidus,k a n d ɪ d ʊ s 
āter,a t ɛ r 
niger,n ɪ ɡ ɛ r 
ruber,r ʊ b ɛ r 
rūfus,r ʊ f ʊ s 
russus,r ʊ s s ʊ s 
caeruleus,k aɪ r ʊ l ɛʊ s 
viridis,w ɪ r ɪ d ɪ s 
flāvus,f l a w ʊ s 
helvus,h ɛ l w ʊ s 
tangere tāctus,t a ŋ ɡ ɛ r ɛ  t a k t ʊ s 
vellicāre,w ɛ l l ɪ k a r ɛ 
temptāre,t ɛ m p t a r ɛ 
palpāre,p a l p a r ɛ 
dūrus,d ʊ r ʊ s 
mollis,m ɔ l l ɪ s 
asper,a s p ɛ r 
lēvis,l ɛ w ɪ s 
acūtus,a k ʊ t ʊ s 
hebes,h ɛ b ɛ s 
obtūsus,ɔ b t ʊ s ʊ s 
gravis,ɡ  r a w ɪ s 
levis,l ɛ w ɪ s 
ūmidus,ʊ m ɪ d ʊ s 
madidus,m a d ɪ d ʊ s 
ūvidus,ʊ w ɪ d ʊ s 
siccus,s ɪ k ʊ s 
āridus,a r ɪ d ʊ s 
calidus,k a l ɪ d ʊ s 
calidus,k a l ɪ d ʊ s 
frīgidus,f  r ɪ ɡ ɪ d ʊ s 
gelidus,ɡ ɛ l ɪ d ʊ s 
mundus,m ʊ n d ʊ s 
pūrus,p ʊ r ʊ s 
sordidus,s ɔ r d ɪ d ʊ s 
squālidus,s k w a l ɪ d ʊ s 
rūgātus,r ʊ ɡ a t ʊ s 
rūgōsus,r ʊ ɡ ɔ s ʊ s 
anima,a n ɪ m a 
animus,a n ɪ m ʊ s 
spīritus,s p ɪ r ɪ t ʊ s 
admīrātiō,a d m ɪ r a t ɪ  ɔ 
stupor,s t ʊ p ɔ r 
fortūna [secunda],f ɔ r t ʊ n a    s ɛ k ʊ n d a 
fortūna adversa,f ɔ r t ʊ n a  a d w ɛ r s a 
infortūnium,ɪ n f ɔ r t ʊ n ɪ  ʊ m 
gaudium,ɡ aʊ d ɪ  ʊ m 
laetitia,l aɪ t ɪ t ɪ  a 
laetus,l aɪ t ʊ s 
rīdēre,r ɪ d ɛ r ɛ 
(sub)rīdēre,  s ʊ b    r ɪ d ɛ r ɛ 
subrīdēre,s ʊ b  r ɪ d ɛ r ɛ 
lūdere,l ʊ d ɛ r ɛ 
amor,a m ɔ r 
cāritās,k a r ɪ t a s 
dīligere,d ɪ l ɪ ɡ ɛ r ɛ 
ōsculārī,ɔ s k ʊ l a r ɪ 
sāviārī,s a w ɪ  a r ɪ 
bāsiāre,b a s ɪ  a r ɛ 
amplectī,a m p l ɛ k t ɪ 
complectī,k ɔ m p l ɛ k t ɪ 
dolor,d ɔ l ɔ r 
dolor,d ɔ l ɔ r 
aegritudō,aɪ ɡ  r ɪ t ʊ d ɔ 
trīstis,t  r ɪ s t ɪ s 
anxietās,a ŋ k s ɪ  ɛ t a s 
paenitēre,p aɪ n ɪ t ɛ r ɛ 
misericordia,m ɪ s ɛ r ɪ k ɔ r d ɪ  a 
flēre,f l ɛ r ɛ 
plōrāre,p l ɔ r a r ɛ 
lacrima,l a k  r ɪ m a 
gemere,ɡ ɛ m ɛ r ɛ 
odium,ɔ d ɪ  ʊ m 
īra,ɪ r a 
invidia,ɪ n w ɪ d ɪ  a 
līvor,l ɪ w ɔ r 
aemulātiō,aɪ m ʊ l a t ɪ  ɔ 
pudor,p ʊ d ɔ r 
verēcundia,w ɛ r ɛ k ʊ n d ɪ  a 
superbus,s ʊ p ɛ r b ʊ s 
audēre,aʊ d ɛ r ɛ 
fortis,f ɔ r t ɪ s 
animōsus,a n ɪ m ɔ s ʊ s 
audāx,aʊ d a k s 
timor,t ɪ m ɔ r 
metus,m ɛ t ʊ s 
pavor,p a w ɔ r 
terror,t ɛ r ɾ ɔ r 
perīculum,p ɛ r ɪ k ʊ l ʊ m 
discrīmen,d ɪ s k  r ɪ m ɛ n 
cupere,k ʊ p ɛ r ɛ 
dēsīderāre,d ɛ s ɪ d ɛ r a r ɛ 
dēligere,d ɛ l ɪ ɡ ɛ r ɛ 
optāre,ɔ p t a r ɛ 
sūmere,s ʊ m ɛ r ɛ 
spēs,s p ɛ s 
fīdus,f ɪ d ʊ s 
fidēlis,f ɪ d ɛ l ɪ s 
vērus,w ɛ r ʊ s 
mendācium,m ɛ n d a k ɪ  ʊ m 
fraus,f  r aʊ s 
dolus,d ɔ l ʊ s 
ignōscere,ɪ ŋ n ɔ s k ɛ r ɛ 
remittere,r ɛ m ɪ t ɛ r ɛ 
perdōnāre,p ɛ r d ɔ n a r ɛ 
bonus,b ɔ n ʊ s 
malus,m a l ʊ s 
iūstus,j ʊ s t ʊ s 
rēctus,r ɛ k t ʊ s 
iniūstus,ɪ n ɪ  ʊ s t ʊ s 
culpa,k ʊ l p a 
noxa,n ɔ k s a 
error,ɛ r ɾ ɔ r 
errātum,ɛ r ɾ a t ʊ m 
reprehēnsiō,r ɛ p  r ɛ h ɛ n s ɪ  ɔ 
vituperātiō,w ɪ t ʊ p ɛ r a t ɪ  ɔ 
laus,l aʊ s 
pulcher,p ʊ l kʰ ɛ r 
fōrmōsus,f ɔ r m ɔ s ʊ s 
bellus,b ɛ l l ʊ s 
dēfōrmis,d ɛ f ɔ r m ɪ s 
turpis,t ʊ r p ɪ s 
avidus,a w ɪ d ʊ s 
cupidus,k ʊ p ɪ d ʊ s 
avārus,a w a r ʊ s 
intellegēns,ɪ n t ɛ l l ɛ ɡ ɛ n s 
mēns,m ɛ n s 
animus,a n ɪ m ʊ s 
cōgitāre,k ɔ ɡ ɪ t a r ɛ 
arbitrārī,a r b ɪ t  r a r ɪ 
opīnārī,ɔ p ɪ n a r ɪ 
crēdere,k  r ɛ d ɛ r ɛ 
intellegere,ɪ n t ɛ l l ɛ ɡ ɛ r ɛ 
comprehendere,k ɔ m p  r ɛ h ɛ n d ɛ r ɛ 
scīre,s k ɪ r ɛ 
nōscere,n ɔ s k ɛ r ɛ 
cognōscere,k ɔ ŋ n ɔ s k ɛ r ɛ 
conjicere,k ɔ n j ɪ k ɛ r ɛ 
augurārī,aʊ ɡ ʊ r a r ɪ 
imitārī,ɪ m ɪ t a r ɪ 
vidērī,w ɪ d ɛ r ɪ 
idea,ɪ d ɛ a 
sapiēns,s a p ɪ  ɛ n s 
prūdēns,p  r ʊ d ɛ n s 
stultus,s t ʊ l t ʊ s 
fatuus,f a t ʊ ʊ s 
stolidus,s t ɔ l ɪ d ʊ s 
insānus,ɪ n s a n ʊ s 
āmēns,a m ɛ n s 
dēmēns,d ɛ m ɛ n s 
discere,d ɪ s k ɛ r ɛ 
studēre,s t ʊ d ɛ r ɛ 
docēre,d ɔ k ɛ r ɛ 
discipulus,d ɪ s k ɪ p ʊ l ʊ s 
alumnus,a l ʊ m n ʊ s 
doctor,d ɔ k t ɔ r 
magister,m a ɡ ɪ s t ɛ r 
lūdus,l ʊ d ʊ s 
schola,s kʰ ɔ l a 
meminisse,m ɛ m ɪ n ɪ s s ɛ 
reminiscī,r ɛ m ɪ n ɪ s k ɪ 
recordārī,r ɛ k ɔ r d a r ɪ 
oblīvīscī,ɔ b l ɪ w ɪ s k ɪ 
clārus,k l a r ʊ s 
plānus,p l a n ʊ s 
apertus,a p ɛ r t ʊ s 
ēvidēns,ɛ w ɪ d ɛ n s 
obscūrus,ɔ b s k ʊ r ʊ s 
occultus,ɔ k ʊ l t ʊ s 
sēcrētus,s ɛ k  r ɛ t ʊ s 
clandestīnus,k l a n d ɛ s t ɪ n ʊ s 
certus,k ɛ r t ʊ s 
explānāre,ɛ k s p l a n a r ɛ 
explicāre,ɛ k s p l ɪ k a r ɛ 
expōnere,ɛ k s p ɔ n ɛ r ɛ 
cōnsilium,k ɔ n s ɪ l ɪ  ʊ m 
prōpositum,p  r ɔ p ɔ s ɪ t ʊ m 
causa,k aʊ s a 
dubitātiō,d ʊ b ɪ t a t ɪ  ɔ 
dubium,d ʊ b ɪ  ʊ m 
suspīciō,s ʊ s p ɪ k ɪ  ɔ 
trādere,t  r a d ɛ r ɛ 
prōdere,p  r ɔ d ɛ r ɛ 
opus,ɔ p ʊ s 
necessitās,n ɛ k ɛ s s ɪ t a s 
facilis,f a k ɪ l ɪ s 
difficilis,d ɪ f f ɪ k ɪ l ɪ s 
experīrī,ɛ k s p ɛ r ɪ r ɪ 
temptāre,t ɛ m p t a r ɛ 
probāre,p  r ɔ b a r ɛ 
modus,m ɔ d ʊ s 
ac,a k 
et,ɛ t 
#NAME?,k w ɛ 
atque,a t k w ɛ 
quia,k w ɪ  a 
quod,k w ɔ d 
quoniam,k w ɔ n ɪ  a m 
sī,s ɪ 
an,a n 
aut,aʊ t 
vel,w ɛ l 
seu,s ɛʊ 
sīve,s ɪ w ɛ 
etiam,ɛ t ɪ  a m 
immō,ɪ m m ɔ 
ita,ɪ t a 
sānē,s a n ɛ 
certē,k ɛ r t ɛ 
quippe,k w ɪ p ɛ 
scīlicet,s k ɪ l ɪ k ɛ t 
nōn,n ɔ n 
minimē,m ɪ n ɪ m ɛ 
quārē,k w a r ɛ 
quōmodō,k w ɔ m ɔ d ɔ 
quantī,k w a n t ɪ 
quantum,k w a n t ʊ m 
quid,k w ɪ d 
quandō,k w a n d ɔ 
ubi,ʊ b ɪ 
quis,k w ɪ s 
uter,ʊ t ɛ r 
quis,k w ɪ s 
quārē,k w a r ɛ 
vōx,w ɔ k s 
canere,k a n ɛ r ɛ 
clāmāre,k l a m a r ɛ 
susurrāre,s ʊ s ʊ r ɾ a r ɛ 
murmurāre,m ʊ r m ʊ r a r ɛ 
fistulāre,f ɪ s t ʊ l a r ɛ 
exclāmāre,ɛ k s k l a m a r ɛ 
ululāre,ʊ l ʊ l a r ɛ 
loquī,l ɔ k w ɪ 
fārī,f a r ɪ 
balbūtīre,b a l b ʊ t ɪ r ɛ 
dīcere,d ɪ k ɛ r ɛ 
narrāre,n a r ɾ a r ɛ 
memorāre,m ɛ m ɔ r a r ɛ 
referre,r ɛ f ɛ r ɾ ɛ 
dēclāmāre,d ɛ k l a m a r ɛ 
ōrātiōnem facere,ɔ r a t ɪ  ɔ n ɛ m  f a k ɛ r ɛ 
tacēre,t a k ɛ r ɛ 
silēre,s ɪ l ɛ r ɛ 
lingua,l ɪ ŋ ɡ w a 
ōrātiō,ɔ r a t ɪ  ɔ 
sermō,s ɛ r m ɔ 
verbum,w ɛ r b ʊ m 
vōx,w ɔ k s 
nōmen,n ɔ m ɛ n 
rogāre,r ɔ ɡ a r ɛ 
quaerere,k w aɪ r ɛ r ɛ 
respondēre,r ɛ s p ɔ n d ɛ r ɛ 
fatērī,f a t ɛ r ɪ 
confitērī,k ɔ n f ɪ t ɛ r ɪ 
negāre,n ɛ ɡ a r ɛ 
poscere,p ɔ s k ɛ r ɛ 
petere,p ɛ t ɛ r ɛ 
rogāre,r ɔ ɡ a r ɛ 
prōmittere,p  r ɔ m ɪ t ɛ r ɛ 
recūsāre,r ɛ k ʊ s a r ɛ 
vetāre,w ɛ t a r ɛ 
prohibēre,p  r ɔ h ɪ b ɛ r ɛ 
interdīcere,ɪ n t ɛ r d ɪ k ɛ r ɛ 
jurgāre,j ʊ r ɡ a r ɛ 
increpere,ɪ ŋ k  r ɛ p ɛ r ɛ 
castīgāre,k a s t ɪ ɡ a r ɛ 
vocāre,w ɔ k a r ɛ 
vocāre,w ɔ k a r ɛ 
nōmināre,n ɔ m ɪ n a r ɛ 
nūntiāre,n ʊ n t ɪ  a r ɛ 
minārī,m ɪ n a r ɪ 
glōriārī,ɡ l ɔ r ɪ  a r ɪ 
iactāre sē,j a k t a r ɛ  s ɛ 
scrībere,s k  r ɪ b ɛ r ɛ 
legere,l ɛ ɡ ɛ r ɛ 
charta,kʰ a r t a 
papȳrus,p a p y r ʊ s 
calamus,k a l a m ʊ s 
penna,p ɛ n n a 
liber,l ɪ b ɛ r 
poēta,p ɔɪ t a 
calamus,k a l a m ʊ s 
tībia,t ɪ b ɪ  a 
fistula,f ɪ s t ʊ l a 
tympanum,t y m p a n ʊ m 
lituus,l ɪ t ʊ ʊ s 
cornū,k ɔ r n ʊ 
crepitāculum,k  r ɛ p ɪ t a k ʊ l ʊ m 
fīnēs,f ɪ n ɛ s 
terra,t ɛ r ɾ a 
patria,p a t  r ɪ  a 
urbs,ʊ r b s 
oppidum,ɔ p ɪ d ʊ m 
vīcus,w ɪ k ʊ s 
fīnis,f ɪ n ɪ s 
līmes,l ɪ m ɛ s 
populus,p ɔ p ʊ l ʊ s 
plēbs,p l ɛ b s 
vulgus,w ʊ l ɡ ʊ s 
tribus,t  r ɪ b ʊ s 
gēns,ɡ ɛ n s 
prīnceps,p  r ɪ ŋ k ɛ p s 
baculum,b a k ʊ l ʊ m 
regere,r ɛ ɡ ɛ r ɛ 
imperāre,ɪ m p ɛ r a r ɛ 
rēx,r ɛ k s 
rēgīna,r ɛ ɡ ɪ n a 
nōbilis,n ɔ b ɪ l ɪ s 
patricius,p a t  r ɪ k ɪ  ʊ s 
cīvis,k ɪ w ɪ s 
dominus,d ɔ m ɪ n ʊ s 
erus,ɛ r ʊ s 
servus,s ɛ r w ʊ s 
mancipium,m a ŋ k ɪ p ɪ  ʊ m 
famulus,f a m ʊ l ʊ s 
minister,m ɪ n ɪ s t ɛ r 
ancilla,a ŋ k ɪ l l a 
līber,l ɪ b ɛ r 
iubēre,j ʊ b ɛ r ɛ 
imperāre,ɪ m p ɛ r a r ɛ 
oboedīre,ɔ b ɔɪ d ɪ r ɛ 
pārēre,p a r ɛ r ɛ 
sinere,s ɪ n ɛ r ɛ 
patī,p a t ɪ 
permittere,p ɛ r m ɪ t ɛ r ɛ 
amīcus,a m ɪ k ʊ s 
inimīcus,ɪ n ɪ m ɪ k ʊ s 
hostis,h ɔ s t ɪ s 
vīcīnus,w ɪ k ɪ n ʊ s 
peregrīnus,p ɛ r ɛ ɡ  r ɪ n ʊ s 
hospes,h ɔ s p ɛ s 
advena,a d w ɛ n a 
hospes,h ɔ s p ɛ s 
hospes,h ɔ s p ɛ s 
(ad)iuvāre,  a d    j ʊ w a r ɛ 
adiūtare,a d ɪ  ʊ t a r ɛ 
impedīre,ɪ m p ɛ d ɪ r ɛ 
obstāre,ɔ b s t a r ɛ 
prohibēre,p  r ɔ h ɪ b ɛ r ɛ 
mōs,m ɔ s 
cōnsuētūdō,k ɔ n s ʊ ɛ t ʊ d ɔ 
līs,l ɪ s 
iūrgium,j ʊ r ɡ ɪ  ʊ m 
rixa,r ɪ k s a 
coniūrātiō,k ɔ n ɪ  ʊ r a t ɪ  ɔ 
cōnspīrātiō,k ɔ n s p ɪ r a t ɪ  ɔ 
obviam,ɔ b w ɪ  a m 
meretrīx,m ɛ r ɛ t  r ɪ k s 
scortum,s k ɔ r t ʊ m 
pugnāre,p ʊ ŋ n a r ɛ 
proeliārī,p  r ɔɪ l ɪ  a r ɪ 
bellum,b ɛ l l ʊ m 
proelium,p  r ɔɪ l ɪ  ʊ m 
pāx,p a k s 
exercitus,ɛ k s ɛ r k ɪ t ʊ s 
mīles,m ɪ l ɛ s 
arma,a r m a 
tēla,t ɛ l a 
clāva,k l a w a 
fūstis,f ʊ s t ɪ s 
bipennis,b ɪ p ɛ n n ɪ s 
funda,f ʊ n d a 
arcus,a r k ʊ s 
sagitta,s a ɡ ɪ t a 
hasta,h a s t a 
lancea,l a ŋ k ɛ a 
gladius,ɡ l a d ɪ  ʊ s 
ēnsis,ɛ n s ɪ s 
arma,a r m a 
armatūra,a r m a t ʊ r a 
cassis,k a s s ɪ s 
galea,ɡ a l ɛ a 
scūtum,s k ʊ t ʊ m 
clipeus,k l ɪ p ɛʊ s 
castellum,k a s t ɛ l l ʊ m 
turris,t ʊ r ɾ ɪ s 
victōria,w ɪ k t ɔ r ɪ  a 
clādēs,k l a d ɛ s 
impetus,ɪ m p ɛ t ʊ s 
dēfēnsiō,d ɛ f ɛ n s ɪ  ɔ 
receptus,r ɛ k ɛ p t ʊ s 
dēdere,d ɛ d ɛ r ɛ 
trādere,t  r a d ɛ r ɛ 
captīvus,k a p t ɪ w ʊ s 
custōdiae,k ʊ s t ɔ d ɪ  aɪ 
custōs,k ʊ s t ɔ s 
praeda,p  r aɪ d a 
spolia,s p ɔ l ɪ  a 
īnsidiae,ɪ n s ɪ d ɪ  aɪ 
piscātor,p ɪ s k a t ɔ r 
hāmus,h a m ʊ s 
līnea,l ɪ n ɛ a 
verriculum,w ɛ r ɾ ɪ k ʊ l ʊ m 
sagēna,s a ɡ ɛ n a 
rēte,r ɛ t ɛ 
laqueus,l a k w ɛʊ s 
ēsca,ɛ s k a 
vēnārī,w ɛ n a r ɪ 
sectārī,s ɛ k t a r ɪ 
jactāre,j a k t a r ɛ 
jaculārī,j a k ʊ l a r ɪ 
errāre,ɛ r ɾ a r ɛ 
laqueus,l a k w ɛʊ s 
laqueāre,l a k w ɛ a r ɛ 
irrētīre,ɪ r ɾ ɛ t ɪ r ɛ 
iūs,ɪ  ʊ s 
lēx,l ɛ k s 
iūdicium,j ʊ d ɪ k ɪ  ʊ m 
iūdicēs,j ʊ d ɪ k ɛ s 
iūdicāre,j ʊ d ɪ k a r ɛ 
iūdicium,j ʊ d ɪ k ɪ  ʊ m 
iūdex,j ʊ d ɛ k s 
petītor,p ɛ t ɪ t ɔ r 
accūsātor,a k ʊ s a t ɔ r 
actor,a k t ɔ r 
reus,r ɛʊ s 
testis,t ɛ s t ɪ s 
iūrāre,j ʊ r a r ɛ 
iūs iūrandum,ɪ  ʊ s  j ʊ r a n d ʊ m 
accūsāre,a k ʊ s a r ɛ 
damnāre,d a m n a r ɛ 
condemnāre,k ɔ n d ɛ m n a r ɛ 
convincere,k ɔ n w ɪ ŋ k ɛ r ɛ 
absolvere,a b s ɔ l w ɛ r ɛ 
sōns,s ɔ n s 
noxius,n ɔ k s ɪ  ʊ s 
innocēns,ɪ n n ɔ k ɛ n s 
poena,p ɔɪ n a 
damnum,d a m n ʊ m 
noxa,n ɔ k s a 
multa,m ʊ l t a 
carcer,k a r k ɛ r 
caedēs,k aɪ d ɛ s 
nex,n ɛ k s 
homicīdium,h ɔ m ɪ k ɪ d ɪ  ʊ m 
adulterium,a d ʊ l t ɛ r ɪ  ʊ m 
stuprum,s t ʊ p  r ʊ m 
incendium,ɪ ŋ k ɛ n d ɪ  ʊ m 
periūrium,p ɛ r ɪ  ʊ r ɪ  ʊ m 
fūrārī,f ʊ r a r ɪ 
fūr,f ʊ r 
religiō,r ɛ l ɪ ɡ ɪ  ɔ 
deus,d ɛʊ s 
templum,t ɛ m p l ʊ m 
aedēs,aɪ d ɛ s 
āra,a r a 
altāre,a l t a r ɛ 
sacrificium,s a k  r ɪ f ɪ k ɪ  ʊ m 
venerārī,w ɛ n ɛ r a r ɪ 
adōrāre,a d ɔ r a r ɛ 
precārī,p  r ɛ k a r ɪ 
ōrāre,ɔ r a r ɛ 
sacerdōs,s a k ɛ r d ɔ s 
sacer,s a k ɛ r 
sanctus,s a ŋ k t ʊ s 
praedicāre,p  r aɪ d ɪ k a r ɛ 
benedīcere,b ɛ n ɛ d ɪ k ɛ r ɛ 
exsecrārī,ɛ k s s ɛ k  r a r ɪ 
maledīcere,m a l ɛ d ɪ k ɛ r ɛ 
iēiūnāre,j ɛ ɪ  ʊ n a r ɛ 
caelum,k aɪ l ʊ m 
inferna,ɪ n f ɛ r n a 
daemōn,d aɪ m ɔ n 
diabolus,d ɪ  a b ɔ l ʊ s 
īdōlum,ɪ d ɔ l ʊ m 
magica ars,m a ɡ ɪ k a  a r s 
magicē,m a ɡ ɪ k ɛ 
magia,m a ɡ ɪ  a 
sāga,s a ɡ a 
striga,s t  r ɪ ɡ a 
maga,m a ɡ a 
nympha,n y m pʰ a 
mānēs,m a n ɛ s 
lārva,l a r w a 
phantasma,pʰ a n t a s m a 
ōmen,ɔ m ɛ n 
augurium,aʊ ɡ ʊ r ɪ  ʊ m 
auspicium,aʊ s p ɪ k ɪ  ʊ m 
