,Matthews,AUC,Accuracy,F1,ActionAccuracy,ThingAccuracy,language_name
24,0.14963637118884893,0.5496801279488205,0.5839664134346261,0.40384615384615385,0.5121951219512195,0.6557377049180327,Upper Chehalis
25,0.08978989021937869,0.5217912834866054,0.5372850859656138,0.41340782122905034,0.9024390243902439,0.1721311475409836,Upper Chehalis
26,0.048211341243787516,0.5166933226709316,0.5234906037584965,0.27848101265822783,0.2682926829268293,0.7786885245901639,Upper Chehalis
27,0.13424177320802294,0.5363854458216714,0.568172730907637,0.35714285714285715,0.36585365853658536,0.7704918032786885,Upper Chehalis
28,0.12238133170305976,0.5706717313074771,0.5677728908436626,0.38,0.4634146341463415,0.6721311475409836,Upper Chehalis
29,0.12245268486531666,0.4920031987205118,0.545281887245102,0.4216216216216216,0.9512195121951219,0.13934426229508196,Upper Chehalis
30,0.24663447513915182,0.6114554178328668,0.6190523790483806,0.4670658682634731,0.9512195121951219,0.28688524590163933,Upper Chehalis
31,0.1306086945536833,0.5187924830067973,0.5493802479008396,0.42391304347826086,0.9512195121951219,0.14754098360655737,Upper Chehalis
32,0.159404681868371,0.5573770491803279,0.5783686525389844,0.4363636363636364,0.8780487804878049,0.2786885245901639,Upper Chehalis
33,0.1063998162921324,0.4906037584966013,0.5441823270691724,0.27272727272727276,0.21951219512195122,0.8688524590163934,Upper Chehalis
34,0.12245268486531666,0.5008996401439425,0.545281887245102,0.4216216216216216,0.9512195121951219,0.13934426229508196,Upper Chehalis
35,0.08095259555352945,0.5246901239504198,0.537485005997601,0.4093567251461988,0.8536585365853658,0.22131147540983606,Upper Chehalis
36,0.12955132697788568,0.5292882846861255,0.5662734906037585,0.425,0.8292682926829268,0.30327868852459017,Upper Chehalis
37,0.1304059311848628,0.5680727708916433,0.5680727708916433,0.36363636363636365,0.3902439024390244,0.7459016393442623,Upper Chehalis
38,0.1442000115360014,0.46071571371451425,0.5617752898840465,0.4293785310734463,0.926829268292683,0.19672131147540983,Upper Chehalis
39,0.09672185118585479,0.540483806477409,0.5516793282686925,0.34782608695652173,0.3902439024390244,0.7131147540983607,Upper Chehalis
40,0.07935143634666812,0.44922031187524986,0.5358856457417034,0.2777777777777778,0.24390243902439024,0.8278688524590164,Upper Chehalis
41,0.11312434387864326,0.5175929628148741,0.5453818472610956,0.4198895027624309,0.926829268292683,0.16393442622950818,Upper Chehalis
42,0.14191536325450607,0.5307876849260296,0.5524790083966413,0.26666666666666666,0.1951219512195122,0.9098360655737705,Upper Chehalis
43,0.09632017802973517,0.512794882047181,0.5371851259496202,0.4153005464480874,0.926829268292683,0.14754098360655737,Upper Chehalis
44,0.0989547613013382,0.5224910035985606,0.5543782487005198,0.40816326530612246,0.7317073170731707,0.3770491803278688,Upper Chehalis
45,0.17608375372351678,0.5967612954818072,0.5963614554178329,0.41237113402061853,0.4878048780487805,0.7049180327868853,Upper Chehalis
46,0.1479166625515724,0.5702718912435026,0.5838664534186326,0.40740740740740744,0.5365853658536586,0.6311475409836066,Upper Chehalis
47,0.074540252622948,0.49420231907237105,0.5428828468612555,0.37288135593220334,0.5365853658536586,0.5491803278688525,Upper Chehalis
48,0.08995129546297405,0.4583166733306678,0.5360855657736905,0.25000000000000006,0.1951219512195122,0.8770491803278688,Upper Chehalis
49,0.0700518892633327,0.48830467812874845,0.5334866053578569,0.40476190476190477,0.8292682926829268,0.23770491803278687,Upper Chehalis
50,0.05903242209957305,0.4710115953618553,0.5207916833266694,0.4064171122994652,0.926829268292683,0.11475409836065574,Upper Chehalis
51,0.10205477102640616,0.5310875649740103,0.5401839264294283,0.25396825396825395,0.1951219512195122,0.8852459016393442,Upper Chehalis
52,0.13187645583856789,0.5430827668932428,0.5755697720911636,0.40350877192982454,0.5609756097560976,0.5901639344262295,Upper Chehalis
53,0.13852498722018364,0.5234906037584965,0.5534786085565774,0.42622950819672134,0.9512195121951219,0.1557377049180328,Upper Chehalis
54,0.16630279696600953,0.5961615353858457,0.582467013194722,0.43902439024390244,0.8780487804878049,0.28688524590163933,Upper Chehalis
55,0.18089402738703028,0.5861655337864854,0.6036585365853658,0.44274809160305345,0.7073170731707317,0.5,Upper Chehalis
56,0.18089402738703028,0.5768692522990804,0.6036585365853658,0.44274809160305345,0.7073170731707317,0.5,Upper Chehalis
57,0.14343518813412806,0.5500799680127949,0.5564774090363854,0.28571428571428575,0.21951219512195122,0.8934426229508197,Upper Chehalis
58,0.023801611045133467,0.44062375049980007,0.5085965613754498,0.39784946236559143,0.9024390243902439,0.11475409836065574,Upper Chehalis
59,0.04441753175105019,0.49320271891243506,0.5167932826869253,0.4021739130434783,0.9024390243902439,0.13114754098360656,Upper Chehalis
60,0.08808623839212464,0.515093962415034,0.5459816073570571,0.4076433121019109,0.7804878048780488,0.3114754098360656,Upper Chehalis
61,0.07566881874203038,0.5299880047980808,0.5430827668932428,0.3636363636363637,0.4878048780487805,0.5983606557377049,Upper Chehalis
62,0.07414797026926667,0.5040983606557378,0.5426829268292683,0.38095238095238093,0.5853658536585366,0.5,Upper Chehalis
63,0.1483344313384339,0.5033986405437825,0.5644742103158736,0.31884057971014496,0.2682926829268293,0.860655737704918,Upper Chehalis
64,0.08265628122812607,0.5277888844462215,0.5463814474210316,0.3971631205673759,0.6829268292682927,0.4098360655737705,Upper Chehalis
65,0.08995129546297405,0.4998000799680128,0.5360855657736905,0.25000000000000006,0.1951219512195122,0.8770491803278688,Upper Chehalis
66,0.07566881874203038,0.5298880447820872,0.5430827668932428,0.3636363636363637,0.4878048780487805,0.5983606557377049,Upper Chehalis
67,0.0991664137671022,0.5246901239504198,0.5554778088764495,0.36893203883495146,0.4634146341463415,0.6475409836065574,Upper Chehalis
68,0.12626314724522755,0.5544782087165134,0.5620751699320272,0.42424242424242425,0.8536585365853658,0.27049180327868855,Upper Chehalis
69,0.19254621649151446,0.5844662135145942,0.5946621351459416,0.4484848484848485,0.9024390243902439,0.28688524590163933,Upper Chehalis
70,0.01110333372124981,0.429828068772491,0.5036985205917633,0.14285714285714285,0.0975609756097561,0.9098360655737705,Upper Chehalis
71,0.13361656498652774,0.4936025589764095,0.5563774490203919,0.2985074626865672,0.24390243902439024,0.8688524590163934,Upper Chehalis
72,0.12203334309600117,0.5390843662534985,0.5522790883646541,0.2941176470588235,0.24390243902439024,0.860655737704918,Upper Chehalis
73,0.18873539974981646,0.6021591363454618,0.6076569372251099,0.44776119402985076,0.7317073170731707,0.48360655737704916,Upper Chehalis
74,0.11004130033520422,0.5388844462215114,0.5628748500599761,0.40601503759398494,0.6585365853658537,0.4672131147540984,Upper Chehalis
75,0.17098885951932752,0.5907636945221911,0.5908636545381847,0.4415584415584416,0.8292682926829268,0.3524590163934426,Upper Chehalis
76,0.04257258363247342,0.47580967612954816,0.5230907636945221,0.3157894736842105,0.36585365853658536,0.680327868852459,Upper Chehalis
77,0.1211770384667748,0.5086965213914434,0.5494802079168333,0.4222222222222223,0.926829268292683,0.1721311475409836,Upper Chehalis
