Form,alt_form,language,english.name,ontological.category,old.phon,phon,has.homophone
vejce,NA,Czech,egg,Thing,veɪtse,veɪtse,FALSE
kvas,NA,Czech,fermented drink,Thing,kvas,kvas,FALSE
kvašený nápoj,NA,Czech,fermented drink,Thing,kvaʃeninapoj,kvaʃeninapoj,FALSE
pivo,NA,Czech,beer,Thing,pivo,pivo,FALSE
víno,NA,Czech,wine,Thing,vino,vino,FALSE
medovina,NA,Czech,mead,Thing,medovina,medovina,FALSE
nápoj,NA,Czech,"beverage, drink",Thing,napoj,napoj,FALSE
pití,NA,Czech,"beverage, drink",Thing,pici,pic,FALSE
máslo,NA,Czech,butter,Thing,maslo,maslo,FALSE
sýr,NA,Czech,cheese,Thing,sir,sir,FALSE
tvaroh,NA,Czech,cheese,Thing,tvarox,tvarox,FALSE
cukr,NA,Czech,sugar,Thing,tsukr,tsukr,FALSE
mléko,NA,Czech,milk (noun),Thing,mleko,mleko,FALSE
med,NA,Czech,honey,Thing,met,met,FALSE
[čili],NA,Czech,chili pepper,Thing,tʃili,tʃil,FALSE
pepř,NA,Czech,pepper,Thing,pepr,pepr,FALSE
sůl,NA,Czech,salt,Thing,sul,sul,FALSE
sádlo,NA,Czech,"grease, fat",Thing,sadlo,sadlo,FALSE
olej,NA,Czech,oil,Thing,oleɪ,oleɪ,FALSE
oliva,NA,Czech,olive,Thing,oliva,oliva,FALSE
hrozen,NA,Czech,grape,Thing,hrozen,hrozen,FALSE
ořech,NA,Czech,nut,Thing,orex,orex,FALSE
fík,NA,Czech,fig,Thing,fik,fik,FALSE
svazek,NA,Czech,bunch,Thing,svazek,svazek,FALSE
ovoce,NA,Czech,fruit,Thing,ovotse,ovotse,FALSE
brambor,NA,Czech,potato,Thing,brambor,brambor,FALSE
zemák,NA,Czech,potato,Thing,zemak,zemak,FALSE
bob,NA,Czech,bean,Thing,bop,bop,FALSE
fazol,NA,Czech,bean,Thing,fazol,fazol,FALSE
zelenina,NA,Czech,vegetables,Thing,zeleɲina,zeleɲina,FALSE
polévka,NA,Czech,"soup, broth",Thing,polefka,polefka,FALSE
jítrnice,NA,Czech,sausage,Thing,jitrɲitse,jitrɲitse,FALSE
klobása,NA,Czech,sausage,Thing,klobasa,klobasa,FALSE
maso,NA,Czech,meat,Thing,maso,maso,FALSE
palička,NA,Czech,pestle,Thing,palitʃka,palitʃka,FALSE
mlýn,NA,Czech,mill,Thing,mlin,mlin,FALSE
mouka,NA,Czech,"meal, flour",Thing,moʊka,moʊka,FALSE
těsto,NA,Czech,dough,Thing,cesto,cesto,FALSE
chléb,NA,Czech,bread,Thing,xlep,xlep,FALSE
večeře,NA,Czech,supper,Thing,vetʃere,vetʃere,FALSE
oběd,NA,Czech,dinner,Thing,objet,objet,FALSE
hostina,NA,Czech,dinner,Thing,hoscina,hoscina,FALSE
snídaně,NA,Czech,breakfast,Thing,sɲidaɲe,sɲidaɲe,FALSE
jídlo,NA,Czech,meal (a),Thing,jidlo,jidlo,FALSE
kleště,NA,Czech,tongs,Thing,kleʃce,kleʃce,FALSE
vidlička,NA,Czech,fork (2),Thing,vidlitʃka,vidlitʃka,FALSE
lžíce,NA,Czech,spoon,Thing,lʒitse,lʒitse,FALSE
miska,NA,Czech,saucer,Thing,miska,miska,FALSE
talířek,NA,Czech,saucer,Thing,talirek,talirek,FALSE
šálek,NA,Czech,"cup, drinking vessel",Thing,ʃalek,ʃalek,FALSE
číše,NA,Czech,"cup, drinking vessel",Thing,tʃiʃe,tʃiʃe,FALSE
mísa,NA,Czech,bowl,Thing,misa,misa,FALSE
džbán,NA,Czech,"pitcher, jug",Thing,dʒban,dʒban,FALSE
talíř,NA,Czech,plate,Thing,talir,talir,FALSE
pánev,NA,Czech,pan,Thing,panev,panev,FALSE
hrnek,NA,Czech,"pot, cooking vessel",Thing,hrnek,hrnek,FALSE
hrnec,NA,Czech,"pot, cooking vessel",Thing,hrnets,hrnets,FALSE
kotel,NA,Czech,kettle,Thing,kotel,kotel,FALSE
pec,NA,Czech,oven,Thing,pets,pets,FALSE
žízeň,NA,Czech,thirst,Thing,ʒizeɲ,ʒizeɲ,FALSE
hladomor,NA,Czech,famine,Thing,hladomor,hladomor,FALSE
hlad,NA,Czech,hunger,Thing,hlat,hlat,FALSE
pokrm,NA,Czech,food,Thing,pokrm,pokrm,FALSE
potrava,NA,Czech,food,Thing,potrava,potrava,FALSE
jed,NA,Czech,poison,Thing,jet,jet,FALSE
otrava,NA,Czech,poison,Thing,otrava,otrava,FALSE
lék,NA,Czech,"medicine, drug",Thing,lek,lek,FALSE
lékař,NA,Czech,physician,Thing,lekar,lekar,FALSE
jizva,NA,Czech,scar,Thing,jizva,jizva,FALSE
hnis,NA,Czech,pus,Thing,hɲis,hɲis,FALSE
vřed,NA,Czech,boil (noun),Thing,vret,vret,FALSE
vřídek,NA,Czech,boil (noun),Thing,vridek,vridek,FALSE
puchýř,NA,Czech,blister,Thing,puxir,puxir,FALSE
svrab,NA,Czech,itch,Thing,svrap,svrap,FALSE
otok,NA,Czech,swelling,Thing,otok,otok,FALSE
modřina,NA,Czech,bruise,Thing,modrina,modrina,FALSE
podlitina,NA,Czech,bruise,Thing,podlicina,podlicina,FALSE
pohmožděnina,NA,Czech,bruise,Thing,pohmoʒɟeɲina,pohmoʒɟeɲina,FALSE
rána,NA,Czech,"wound, sore",Thing,rana,rana,FALSE
rýma,NA,Czech,cold (catarrh),Thing,rima,rima,FALSE
nastuzení,NA,Czech,cold (catarrh),Thing,nastuzeɲi,nastuzeɲ,FALSE
katar,NA,Czech,cold (catarrh),Thing,katar,katar,FALSE
vole,NA,Czech,goiter,Thing,vole,vole,FALSE
horečka,NA,Czech,fever,Thing,horetʃka,horetʃka,FALSE
teplota,NA,Czech,fever,Thing,teplota,teplota,FALSE
hrob,NA,Czech,"grave, tomb",Thing,hrop,hrop,FALSE
mrtvola,NA,Czech,corpse,Thing,mrtvola,mrtvola,FALSE
pyj,NA,Czech,penis,Thing,pij,pij,FALSE
pohlavní úd,NA,Czech,penis,Thing,pohlavɲiut,pohlavɲiut,FALSE
