language,ontological.category,marker,n,position
Bezhta,Thing,#,931,Suffix
Bezhta,Thing,#,931,Prefix
Botlikh,Action,#,34,Suffix
Botlikh,Action,ay,49,Suffix
Botlikh,Action,i,240,Suffix
Botlikh,Action,kuy,7,Suffix
Botlikh,Action,#,330,Prefix
Botlikh,Thing,#,259,Suffix
Botlikh,Thing,a,196,Suffix
Botlikh,Thing,an,33,Suffix
Botlikh,Thing,ar,25,Suffix
Botlikh,Thing,i,176,Suffix
Botlikh,Thing,ir,38,Suffix
Botlikh,Thing,u,87,Suffix
Botlikh,Thing,#,814,Prefix
Breton,Action,#,158,Suffix
Breton,Action,aɲ,101,Suffix
Breton,Action,ad,43,Suffix
Breton,Action,al,23,Suffix
Breton,Action,iɲ,51,Suffix
Breton,Action,oud,19,Suffix
Breton,Action,#,395,Prefix
Breton,Thing,#,723,Suffix
Breton,Thing,enn,124,Suffix
Breton,Thing,er,60,Suffix
Breton,Thing,ez,39,Suffix
Breton,Thing,ou,29,Suffix
Breton,Thing,#,975,Prefix
Budukh,Action,#,140,Suffix
Budukh,Action,ǯi,6,Suffix
Budukh,Action,miyixar,28,Suffix
Budukh,Action,siʔi,104,Suffix
Budukh,Action,u,89,Suffix
Budukh,Action,#,367,Prefix
Budukh,Thing,#,966,Suffix
Budukh,Thing,#,966,Prefix
Bulang,Action,#,243,Suffix
Bulang,Action,#,112,Prefix
Bulang,Action,h,24,Prefix
Bulang,Action,k𮂗,34,Prefix
Bulang,Action,kh,12,Prefix
Bulang,Action,p,33,Prefix
Bulang,Action,t,28,Prefix
Bulang,Thing,#,408,Suffix
Bulang,Thing,k,71,Suffix
Bulang,Thing,#,238,Prefix
Bulang,Thing,h,34,Prefix
Bulang,Thing,k𮂗,70,Prefix
Bulang,Thing,kh,41,Prefix
Bulang,Thing,m,38,Prefix
Bulang,Thing,ph,19,Prefix
Bulang,Thing,t,39,Prefix
Bulgarian,Action,#,23,Suffix
Bulgarian,Action,a,38,Suffix
Bulgarian,Action,á,22,Suffix
Bulgarian,Action,am,142,Suffix
Bulgarian,Action,íram,18,Suffix
Bulgarian,Action,ja,76,Suffix
Bulgarian,Action,já,21,Suffix
Bulgarian,Action,jase,9,Suffix
Bulgarian,Action,vam,187,Suffix
