Name,geo.cluster,ID,Glottocode,ISO639P3code,wals_code,latitude,longitude,genus,family
Selknam,18,311,onaa1245,ona,sel,-53,-70,Chon Proper,Chon
Gününa Küne,18,312,puel1244,pue,gku,-41,-67,Puelche,Chon
Qawasqar,18,313,qawa1238,alc,qaw,-49,-75,Alacalufan,Alacalufan
Toba,17,314,toba1269,tob,tob,-26.5,-59,South Guaicuruan,Guaicuruan
Yagán,18,315,yama1264,yag,yah,-55,-68,Yámana,Yámana
Uncunwee,8,318,ghul1238,ghl,nbh,12,31,Nubian,Eastern Sudanic
Central Thai,19,401,thai1261,tha,tha,16,101,Kam-Tai,Tai-Kadai
Tai Lü,19,407,luuu1242,khb,lu,22,100.666666667,Kam-Tai,Tai-Kadai
Tai Khün,19,408,khun1259,kkh,khn,21,100,Kam-Tai,Tai-Kadai
Shan,19,409,shan1277,shn,sha,22,98,Kam-Tai,Tai-Kadai
Nung-Fengshan,19,411,guib1244,zgn,nun,21.9166666667,106.416666667,Kam-Tai,Tai-Kadai
Nung-Lazhai,19,412,guib1244,zgn,nun,21.9166666667,106.416666667,Kam-Tai,Tai-Kadai
Nung-Ninbei,19,413,nung1283,nut,nun,21.9166666667,106.416666667,Kam-Tai,Tai-Kadai
Zhuang-Longzhou,19,414,zuoj1238,zzj,zhn,24,108,Kam-Tai,Tai-Kadai
Sui,19,415,suii1243,swi,sui,26,107.5,Kam-Tai,Tai-Kadai
Lakkia,19,420,lakk1238,lbc,lkk,24.0833333333,110.166666667,Kadai,Tai-Kadai
Hlai (Baoting variety),19,421,hlai1239,lic,lic,19,109.5,Hlai,Tai-Kadai
Sanchong Kelao,19,424,gree1278,giq,gla,22.9166666667,105.5,Kadai,Tai-Kadai
Qau Kelao,19,425,qaua1234,gqu,gla,22.9166666667,105.5,Kadai,Tai-Kadai
Ingush,1,516,ingu1240,inh,ing,43.1666666667,45.0833333333,Nakh,Nakh-Daghestanian
Kryz,1,518,kryt1240,kry,krz,41.0833333333,48,Lezgic,Nakh-Daghestanian
Tsova-Tush,1,533,bats1242,bbl,ttu,42.5,45.5,Nakh,Nakh-Daghestanian
Archi (variety 2),1,534,arch1244,aqc,arc,42,46.8333333333,Lezgic,Nakh-Daghestanian
Bengali,20,701,beng1280,ben,ben,24,90,Indic,Indo-European
Hindi,20,702,hind1269,hin,hin,25,77,Indic,Indo-European
Marathi,20,705,mara1378,mar,mhi,19,76,Indic,Indo-European
Nepali,20,706,east1436,nep,nep,28,85,Indic,Indo-European
Punjabi,20,707,west2386,pnb,pan,31,74,Indic,Indo-European
Tamil,20,708,tami1289,tam,tml,11,78.5,Southern Dravidian,Dravidian
Telugu,20,709,telu1262,tel,tel,16,79,South-Central Dravidian,Dravidian
Tibetan,20,710,tibe1272,bod,tib,30,91,Bodic,Sino-Tibetan
Wa,19,807,nucl1290,wbm,puk,23.25,99.5,Palaung-Khmuic,Austro-Asiatic
Rumai,19,808,ruma1248,rbb,plg,22.6666666667,96.6666666667,Palaung-Khmuic,Austro-Asiatic
Mlabri,19,814,mlab1235,mra,mlm,18.5,101,Palaung-Khmuic,Austro-Asiatic
Vietnamese,19,816,viet1252,vie,vie,10.5,106.5,Viet-Muong,Austro-Asiatic
Nyakur,19,829,nyah1250,cbn,nkt,15.6666666667,101.666666667,Monic,Austro-Asiatic
Kasong,19,832,suoy1242,syo,ksn,12.75,102.116666667,Pearic,Austro-Asiatic
Surin Khmer,19,836,suri1265,NA,khm,12.5,105,Khmer,Austro-Asiatic
Botlikh,1,37,botl1242,bph,NA,42.665,46.22,Avar-Andic-Tsezic,Nakh-Daghestanian
Judeo-Tat,1,74,jude1256,jdt,NA,42.068306,48.264749,Iranian,Indo-European
Avestan,1,213,aves1237,ave,NA,31.541,53.633,Iranian,Indo-European
Polci,8,221,polc1243,plj,NA,10.0258,9.53362,West Chadic,Afro-Asiatic
Yuwana,5,250,yuwa1244,yau,NA,5.63879,-65.4267,Jodi-Saliban,Jodi-Saliban
Trinitario,15,265,trin1274,trn,NA,-15.3331,-65.4096,Bolivia-Parana,Arawakan
Yavitero,5,268,yavi1244,yvt,NA,2.800281,-68.084219,Alto Orinoco,Arawakan
Catuquina,15,278,pano1254,knt,NA,-7.97456,-71.56151,Panoan,Panoan
Sanapaná (Angaité dialect),NA,298,anga1295,NA,NA,NA,NA,Bookkeeping,Bookkeeping
Sanapaná (Enlhet dialect),17,299,sana1281,sap,NA,-22.11454,-58.90698,Bookkeeping,Bookkeeping
Southern Tai (Songkhla variety),19,402,sout2746,sou,NA,6.85668,99.7031,Kam-Tai,Tai-Kadai
Thai (Korat variety),19,403,sout2746,sou,NA,6.85668,99.7031,Kam-Tai,Tai-Kadai
Khamuang (Chiang Mai variety),19,404,nort2740,nod,NA,18.857495,100.20739,Kam-Tai,Tai-Kadai
Dehong,19,405,tain1252,tdd,NA,21.7837,99.722,Kam-Tai,Tai-Kadai
