ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
423,Ecun Buyang,NA,23.0105,104.449,lang1316,yln
424,Sanchong Kelao,NA,22.5632,104.698,gree1278,giq
425,Qau Kelao,NA,26.155438,106.16455,qaua1234,gqu
516,Ingush,NA,42.9525,44.158,ingu1240,inh
518,Kryz,NA,41.1811,48.1846,kryt1240,kry
533,Tsova-Tush,NA,42.1806,45.344,bats1242,bbl
534,Archi (variety 2),NA,42.3239,46.8267,arch1244,aqc
701,Bengali,NA,24,90,beng1280,ben
702,Hindi,NA,25,77,hind1269,hin
704,Mahasu Pahari (Kotghari dialect),NA,31.0088,77.5317,maha1287,bfz
705,Marathi,NA,17.9344,76.6665,mara1378,mar
706,Nepali,NA,NA,NA,east1436,nep
707,Punjabi,NA,30.0948,75.3474,west2386,pnb
708,Tamil,NA,10.520219,78.825989,tami1289,tam
709,Telugu,NA,16.4529,78.7024,telu1262,tel
710,Tibetan,NA,28.3681,90.1872,tibe1272,bod
801,Bulang,NA,22.0092,99.7405,blan1242,blr
804,Keme (Kemie variety),NA,22.0743,100.842,manm1238,mml
805,Xu,NA,22.0163,100.881,huuu1240,huo
807,Wa,NA,23.1024,99.108,nucl1290,wbm
808,Rumai,NA,23.6404,97.3172,ruma1248,rbb
810,Pusing,NA,21.3474,101.916,bitt1240,bgk
811,Paliu,NA,24.7013,104.955,boly1239,ply
814,Mlabri,NA,18.5533,101.163,mlab1235,mra
815,Cuoi,NA,NA,NA,cuoi1242,NA
816,Vietnamese,NA,18.3887,106.757,viet1252,vie
819,LiHa,NA,NA,NA,cuoi1242,NA
820,Phong,NA,19.9622,104.088,phon1246,pnx
822,Tum,NA,NA,NA,cuoi1242,NA
825,Kha Poong,NA,NA,NA,khap1242,NA
826,Malieng,NA,NA,NA,mali1278,NA
827,Ahlao Th,NA,17.7655,104.229,aheu1239,thm
829,Nyakur,NA,15.8909,101.515,nyah1250,cbn
830,Pear,NA,13.593,105.028,pear1247,pcb
832,Kasong,NA,11.936,104.136,suoy1242,syo
833,Samre,NA,13.479,103.978,samr1245,sxm
834,Chong,NA,12.5218,102.514,chon1284,cog
836,Surin Khmer,NA,NA,NA,suri1265,NA
838,Iduh,NA,19.3497,104.106,oduu1239,tyh
839,Mang Ch,NA,21.4305,102.133,mang1378,zng
