49A Number of Cases,98A Alignment of Case Marking of Full Noun Phrases,22A Inflectional Synthesis of the Verb,122A Relativization on Subjects,28A Case Syncretism,128A Utterance Complement Clauses,29A Syncretism in Verbal Person/Number Marking,129A Hand and Arm,102A Verbal Person Marking,48A Person Marking on Adpositions,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,34A Occurrence of Nominal Plurality,134A Green and Blue,36A The Associative Plural,136A M-T Pronouns,136B M in First Person Singular,92A Position of Polar Question Particles,65A Perfective/Imperfective Aspect,70A The Morphological Imperative,57A Position of Pronominal Possessive Affixes,59A Possessive Classification,73A The Optative,41A Distance Contrasts in Demonstratives,141A Writing Systems
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,1 Identical,NA,NA,NA,NA,NA,NA,NA,NA,1 Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,1 Inflectional optative present,NA,NA
8 10 or more cases,4 Ergative - absolutive,NA,NA,2 Core cases only,NA,2 Syncretic,NA,3 Only the P argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,1 No grammatical evidentials,"6 All nouns, always obligatory",NA,1 Associative same as additive plural,NA,NA,NA,NA,1 Second singular and second plural,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8 10 or more cases,4 Ergative - absolutive,2 2-3 categories per word,4 Gap,3 Core and non-core,2 Balanced/deranked,1 No subject person/number marking,1 Identical,1 No person marking,2 No person marking,2 Verbal constructions,3 Other,3 No overlap,2 Indirect only,"6 All nouns, always obligatory",NA,1 Associative same as additive plural,1 No M-T pronouns,1 No m in first person singular,6 No question particle,1 Grammatical marking,4 Second person number-neutral,4 No possessive affixes,1 No possessive classification,1 Inflectional optative present,3 Three-way contrast,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Verbal constructions,2 Affixes on verbs,3 No overlap,NA,NA,NA,NA,NA,NA,1 Initial,NA,1 Second singular and second plural,2 Possessive suffixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 Indirect only,NA,NA,1 Associative same as additive plural,NA,NA,NA,NA,NA,4 No possessive affixes,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 All nouns, always obligatory",NA,NA,NA,NA,NA,NA,NA,2 Possessive suffixes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Second singular and second plural,NA,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Second singular and second plural,4 No possessive affixes,NA,NA,NA,NA
8 10 or more cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 All nouns, always obligatory",NA,1 Associative same as additive plural,NA,NA,NA,2 No grammatical marking,NA,2 Possessive suffixes,NA,2 Inflectional optative absent,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 Inflectional optative present,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 No morphological case-marking,NA,NA,1 Relative pronoun,NA,2 Balanced/deranked,NA,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,NA,"6 All nouns, always obligatory",NA,4 No associative plural,NA,NA,6 No question particle,NA,2 Second singular,4 No possessive affixes,NA,NA,2 Two-way contrast,NA
1 No morphological case-marking,1 Neutral,3 4-5 categories per word,1 Relative pronoun,3 Core and non-core,2 Balanced/deranked,2 Syncretic,2 Different,2 Only the A argument,2 No person marking,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,"6 All nouns, always obligatory",1 Green vs. blue,4 No associative plural,"2 M-T pronouns, paradigmatic",2 m in first person singular,1 Initial,1 Grammatical marking,2 Second singular,4 No possessive affixes,1 No possessive classification,2 Inflectional optative absent,1 No distance contrast,NA
