ID,Name,iso_code,latitude,longitude,family,macroarea,countrycodes
72,Kumyk,kum,43,47.3333333333,Altaic,Eurasia,RU
308,Kunza,kuz,-23,-69,Kunza,South America,CL BO AR
56,Lak,lbe,42.1666666667,47.1666666667,Nakh-Daghestanian,Eurasia,RU
420,Lakkia,lbc,24.0833333333,110.166666667,Tai-Kadai,Eurasia,CN
300,Lengua,enx,-22.5,-59,Mascoian,South America,PY
64,Lezgian,lez,41.6666666667,47.8333333333,Nakh-Daghestanian,Eurasia,AZ RU
305,Maca,mca,-25,-57.5,Matacoan,South America,PY
173,Macushi,mbc,4,-60,Cariban,South America,GY BR VR
146,Mansi,mns,62,62,Uralic,Eurasia,RU
236,Maori,mri,-40,176,Austronesian,Papunesia,NZ
309,Mapudungun,arn,-38,-72,Araucanian,South America,CL
705,Marathi,mar,19,76,Indo-European,Eurasia,IN
147,Mari,mhr,57,48,Uralic,Eurasia,RU
237,Marquesan,mrq,-8.91666666667,-140.083333333,Austronesian,Papunesia,PF
814,Mlabri,mra,18.5,101,Austro-Asiatic,Eurasia,TH
301,Mocoví,moc,-28,-60.5,Guaicuruan,South America,AR
271,Mosetén,cas,-14.75,-67.8333333333,Mosetenan,South America,BO
285,Movima,mzp,-13.8333333333,-65.6666666667,Movima,South America,BO
243,Muisca,chb,5,-74,Chibchan,South America,CO
287,Mundurukú,myu,-7,-58,Tupian,South America,BR
222,Nahuatl (Sierra de Zacapoaxtla variety),azz,19.5833333333,-97.3333333333,Uto-Aztecan,North America,MX
148,Nenets,yrk,69,72,Uralic,Eurasia,RU
706,Nepali,nep,28,85,Indo-European,Eurasia,NP
252,Ninam (Shirishana variety),shb,3.5,-62.8333333333,Yanomam,South America,VR BR
307,Nivaclé,cag,-23.5,-60.5,Matacoan,South America,PY
73,Nogai,nog,44,46,Altaic,Eurasia,RU
227,Northern Haida,hdn,54,-132.5,Haida,North America,CA
143,Northern Saami,sme,69,24,Uralic,Eurasia,FI SE NO
413,Nung-Ninbei,nut,21.9166666667,106.416666667,Tai-Kadai,Eurasia,VN
230,Nuu-chah-nulth,noo,49.6666666667,-126.666666667,Wakashan,North America,CA
829,Nyakur,cbn,15.6666666667,101.666666667,Austro-Asiatic,Eurasia,TH
319,Ossetic,oss,43,44,Indo-European,Eurasia,GE RU
286,Pacaas Novos,pav,-11.3333333333,-65,Chapacura-Wanham,South America,BR
244,Páez,pbb,2.66666666667,-76,Páezan,South America,CO
172,Panare,pbh,6.5,-66,Cariban,South America,VR
214,Persian,pes,32,54,Indo-European,Eurasia,IR
302,Pilagá,plg,-25,-60,Guaicuruan,South America,AR
203,Polish,pol,52,20,Indo-European,Eurasia,PL
178,Portuguese,por,39,-8,Indo-European,Eurasia,PT
249,Puinave,pui,4,-68,Puinave,South America,VR CO
707,Punjabi,pan,31,74,Indo-European,Eurasia,PK IN
425,Qau Kelao,gqu,22.9166666667,105.5,Tai-Kadai,Eurasia,VN
313,Qawasqar,alc,-49,-75,Alacalufan,South America,CL
238,Rapa Nui,rap,-27.1166666667,-109.366666667,Austronesian,Papunesia,CL
212,Romani,rmy,47,21.5,Indo-European,Eurasia,RO HU
179,Romanian,ron,46,25,Indo-European,Eurasia,RO
239,Rotuman,rtm,-12.5,177.066666667,Austronesian,Papunesia,FJ
808,Rumai,rbb,22.6666666667,96.6666666667,Austro-Asiatic,Eurasia,MM
204,Russian,rus,56,38,Indo-European,Eurasia,RU
66,Rutul,rut,41.5,47.4166666667,Nakh-Daghestanian,Eurasia,RU AZ
311,Selknam,ona,-53,-70,Chon,South America,AR
151,Selkup,sel,65,82,Uralic,Eurasia,RU
201,Serbo-Croatian,bos,44,19,Indo-European,Eurasia,BA RS HR
225,Seri,sei,29,-112,Hokan,North America,MX
409,Shan,shn,22,98,Tai-Kadai,Eurasia,MM
281,Shipibo-Conibo,shp,-7.5,-75,Panoan,South America,PE
256,Siona,snn,0.333333333333,-76.25,Tucanoan,South America,EC CO
291,Sirionó,srq,-15.5833333333,-64,Tupian,South America,BO
176,Spanish,spa,40,-4,Indo-European,Eurasia,ES
415,Sui,swi,26,107.5,Tai-Kadai,Eurasia,CN
