Form,transcription,englishName,language,englishPOS,languageFamily,alt_transcription,alt_form,concepticonID,phon,method,ontologicalCategory,include
caminar,StandardOrth,walk,Catalan,verb,Indo-European,NA,NA,NA,kaminaɾ,NA,Action,FALSE
ballar,StandardOrth,dance,Catalan,verb,Indo-European,NA,NA,NA,baʎaɾ,NA,Action,TRUE
saltar,StandardOrth,"jump, leap",Catalan,verb,Indo-European,NA,NA,NA,saltaɾ,NA,Action,FALSE
relliscar,StandardOrth,"slide, slip",Catalan,verb,Indo-European,NA,NA,NA,ɾɛʎiskaɾ,NA,Action,FALSE
ajopir-se,StandardOrth,crouch,Catalan,verb,Indo-European,NA,NA,NA,aʒɔpiɾsɛ,NA,Action,FALSE
agenollar-se,StandardOrth,kneel,Catalan,verb,Indo-European,NA,NA,NA,aʒɛnɔʎaɾsɛ,NA,Action,FALSE
arrossegar-se,StandardOrth,"creep, crawl",Catalan,verb,Indo-European,NA,NA,NA,aɾɾɔsɛɡaɾsɛ,NA,Action,FALSE
bufar,StandardOrth,blow,Catalan,verb,Indo-European,NA,NA,NA,bufaɾ,NA,Action,TRUE
volar,StandardOrth,fly (vb),Catalan,verb,Indo-European,NA,NA,NA,bɔlaɾ,NA,Action,FALSE
navegar,StandardOrth,sail (vb),Catalan,verb,Indo-European,NA,NA,NA,nabɛɡaɾ,NA,Action,FALSE
esquitxar,StandardOrth,splash,Catalan,verb,Indo-European,NA,NA,NA,ɛskitʃaɾ,NA,Action,FALSE
capbussar-se,StandardOrth,dive,Catalan,verb,Indo-European,NA,NA,NA,kabusaɾsɛ,NA,Action,FALSE
nadar,StandardOrth,swim,Catalan,verb,Indo-European,NA,NA,NA,nadaɾ,NA,Action,FALSE
flotar,StandardOrth,float,Catalan,verb,Indo-European,NA,NA,NA,flɔtaɾ,NA,Action,FALSE
enfonsar,StandardOrth,sink,Catalan,verb,Indo-European,NA,NA,NA,ɛnfɔnsaɾ,NA,Action,FALSE
agitar,StandardOrth,shake,Catalan,verb,Indo-European,NA,NA,NA,aʒitaɾ,NA,Action,FALSE
sacsejar,StandardOrth,shake,Catalan,verb,Indo-European,NA,NA,NA,saksɛʒaɾ,NA,Action,FALSE
agafar,StandardOrth,catch (ball),Catalan,verb,Indo-European,NA,NA,NA,aɡafaɾ,NA,Action,FALSE
tirar,StandardOrth,throw,Catalan,verb,Indo-European,NA,NA,NA,tiɾaɾ,NA,Action,FALSE
