word,language,AoA,rank,included,form
open,Finnish,1.92,64,TRUE,awata
pour,Finnish,1.92,65,TRUE,kaataa
fly,Finnish,1.94,66,TRUE,k�r�p�nen
butterfly,Finnish,1.96,67,TRUE,per�honen
star,Finnish,1.96,68,TRUE,t�hti
telephone,Finnish,1.96,69,FALSE,NA
draw,Finnish,1.96,70,FALSE,NA
hug,Finnish,1.96,71,FALSE,NA
talk [on the phone],Finnish,1.96,72,TRUE,puhua
bicycle,Finnish,2,73,FALSE,NA
fork,Finnish,2,74,TRUE,haar�ukka
knife,Finnish,2,75,TRUE,weitsi
sandwich,Finnish,2,76,FALSE,NA
brush [teeth],Finnish,2,77,FALSE,NA
drive,Finnish,2,78,TRUE,ohyata
snow,Finnish,2,79,FALSE,NA
throw,Finnish,2,80,TRUE,heitt��
ant,Finnish,2.04,81,TRUE,muur�ahainen
nose,German,1.62,1,TRUE,Nase
dummy,German,1.75,2,FALSE,NA
apple,German,1.81,3,FALSE,NA
bed,German,1.81,4,TRUE,bett
drink,German,1.86,5,TRUE,trinken
flower,German,1.9,6,TRUE,Blume
house,German,1.9,7,TRUE,Haus
spoon,German,1.9,8,TRUE,Lo?ffel
sun,German,1.9,9,TRUE,Sonne
sleep,German,1.9,10,TRUE,schlafen
dog,German,1.95,11,FALSE,NA
eat,German,1.95,12,TRUE,essen
sit,German,1.95,13,TRUE,sitzen
ball,German,2,14,FALSE,NA
door,German,2,15,TRUE,Tu?r
ear,German,2,16,TRUE,Ohr
eye,German,2,17,TRUE,Auge
moon,German,2,18,TRUE,Mond
mouse,German,2,19,FALSE,NA
shoe,German,2,20,TRUE,Schuh
tree,German,2,21,TRUE,Baum
banana,German,2.05,22,FALSE,NA
cow,German,2.05,23,TRUE,Kuh
swing,German,2.05,24,FALSE,NA
trousers,German,2.05,25,TRUE,Hosen
chair,German,2.1,26,TRUE,Stuhl
doll,German,2.1,27,FALSE,NA
rabbit,German,2.1,28,FALSE,NA
listen,German,2.1,29,TRUE,zuh�ren
walk,German,2.1,30,TRUE,gehen
bird,German,2.14,31,TRUE,Vogel
cat,German,2.14,32,TRUE,Katze
cry,German,2.14,33,TRUE,weinen
car,German,2.19,34,FALSE,NA
leg,German,2.19,35,TRUE,Bein
swing,German,2.19,36,FALSE,NA
leaf,German,2.24,37,TRUE,Blatt
sock,German,2.24,38,TRUE,Socke
bath,German,2.24,baden,TRUE,baden
wave,German,2.24,40,FALSE,NA
cap,German,2.29,41,FALSE,NA
Hen,German,2.29,42,TRUE,Huhn
pen,German,2.29,43,TRUE,Stift
slide,German,2.29,44,FALSE,NA
stairs,German,2.29,45,FALSE,NA
draw,German,2.29,46,FALSE,NA
laugh,German,2.29,47,TRUE,lachen
sing,German,2.29,48,TRUE,singen
bear,German,2.38,49,TRUE,Ba?r
duck,German,2.38,50,TRUE,Ente
snail,German,2.38,51,TRUE,Schnecke
brush [teeth],German,2.38,52,FALSE,NA
slide,German,2.38,53,FALSE,NA
balloon,German,2.43,54,FALSE,NA
bottle,German,2.43,55,FALSE,NA
lamp,German,2.43,56,FALSE,NA
toothbrush,German,2.43,57,FALSE,NA
bite,German,2.43,58,TRUE,bei�en
rain,German,2.43,59,FALSE,NA
run,German,2.43,60,TRUE,rennen
fish,German,2.48,61,TRUE,Fisch
glass,German,2.48,62,TRUE,Glas
tomato,German,2.48,63,FALSE,NA
clap,German,2.48,64,FALSE,NA
search,German,2.48,65,TRUE,suchen
smell,German,2.48,66,TRUE,riechen
cheese,German,2.52,67,TRUE,Ka?se
scissors,German,2.52,68,TRUE,Schere
strawberry,German,2.52,69,FALSE,NA
carry,German,2.52,70,TRUE,tragen
fall,German,2.52,71,TRUE,fallen
ski,German,2.52,72,TRUE,fahren
stroke,German,2.52,73,FALSE,NA
cloud,German,2.57,74,TRUE,Wolke
fork,German,2.57,75,TRUE,Gabel
key,German,2.57,76,TRUE,Schlu?ssel
sofa,German,2.57,77,FALSE,NA
crawl,German,2.57,78,FALSE,NA
lion,German,2.62,79,TRUE,Lo?we
bark,German,2.62,80,FALSE,NA
boil,German,2.62,81,TRUE,kochen
snow,German,2.62,82,FALSE,NA
doll,Hungarian,2.1,1,FALSE,NA
dummy,Hungarian,2.14,2,FALSE,NA
ball,Hungarian,2.19,3,TRUE,labda
peel,Hungarian,2.33,4,TRUE,h�moz
dog,Hungarian,2.43,5,FALSE,NA
leg,Hungarian,2.43,6,FALSE,NA
glass,Hungarian,2.48,7,FALSE,NA\
erupt,Hungarian,2.48,8,FALSE,NA
bed,Hungarian,2.52,9,TRUE,�gy
eye,Hungarian,2.52,10,TRUE,szem
nose,Hungarian,2.52,11,TRUE,orr
sock,Hungarian,2.52,12,TRUE,zokni
house,Hungarian,2.57,13,TRUE,h�z
cry,Hungarian,2.57,14,TRUE,s�rdog�l
apple,Hungarian,2.6,15,FALSE,NA
cat,Hungarian,2.62,16,TRUE,maczka
ear,Hungarian,2.62,17,TRUE,f�l
spoon,Hungarian,2.62,18,TRUE,kan�l
sun,Hungarian,2.62,19,TRUE,nap
knit,Hungarian,2.62,20,TRUE,k�t
sit,Hungarian,2.62,21,TRUE,�l
tree,Hungarian,2.67,22,TRUE,fa
chair,Hungarian,2.71,23,TRUE,sz�k
flower,Hungarian,2.76,24,TRUE,vir�g
shoe,Hungarian,2.76,25,TRUE,cip?
bath,Hungarian,2.76,26,TRUE,f�rdik
trousers,Hungarian,2.81,27,TRUE,nadr�g
drip,Hungarian,2.81,28,FALSE,NA
walk,Hungarian,2.81,29,FALSE,NA
